Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,23.405875,[28  3] ; [20 35],[17.30232558 13.69767442] ; [30.69767442 24.30232558],1
r4,1,0.002956,8.834268,[25  7] ; [25 30],[18.3908046 13.6091954] ; [31.6091954 23.3908046],0
p11,1,0.003745,8.403703,[29  3] ; [34 21],[23.17241379  8.82758621] ; [39.82758621 15.17241379],0
p2,1,0.004654,8.009114,[27  4] ; [31 23],[21.15294118  9.84705882] ; [36.84705882 17.15294118],0
v1,1,0.004779,7.961378,[20 11] ; [17 35],[13.81927711 17.18072289] ; [23.18072289 28.81927711],0
p7,1,0.005153,7.825016,[21 10] ; [20 35],[14.77906977 16.22093023] ; [26.22093023 28.77906977],0
p6,1,0.011091,6.450702,[16 12] ; [15 38],[10.71604938 17.28395062] ; [20.28395062 32.71604938],0
p9,1,0.016826,5.714407,[29  3] ; [36 17],[24.47058824  7.52941176] ; [40.52941176 12.47058824],0
r3,1,0.018355,5.561902,[31  1] ; [43 12],[27.2183908  4.7816092] ; [46.7816092  8.2183908],0
p8,1,0.022636,5.196204,[16 13] ; [16 38],[11.18072289 17.81927711] ; [20.81927711 33.18072289],0
n6,1,0.042586,4.111758,[29  3] ; [39 15],[25.30232558  6.69767442] ; [42.69767442 11.30232558],0
s6,1,0.067136,3.351679,[21 10] ; [26 29],[16.94186047 14.05813953] ; [30.05813953 24.94186047],0
v4,1,0.068158,3.326844,[29  3] ; [41 14],[25.74712644  6.25287356] ; [44.25287356 10.74712644],0
s3,1,0.075354,3.162358,[18 13] ; [21 34],[14.05813953 16.94186047] ; [24.94186047 30.05813953],0
s8,1,0.076785,3.13168,[16 16] ; [17 38],[12.13793103 19.86206897] ; [20.86206897 34.13793103],0
n4,1,0.11643,2.464702,[26  6] ; [36 19],[22.8045977  9.1954023] ; [39.1954023 15.8045977],0
p3,1,0.123497,2.372395,[18 13] ; [22 32],[14.58823529 16.41176471] ; [25.41176471 28.58823529],0
p10,1,0.136345,2.218726,[25  6] ; [36 19],[21.98837209  9.01162791] ; [39.01162791 15.98837209],0
s7,1,0.149521,2.07713,[16 16] ; [17 33],[12.87804878 19.12195122] ; [20.12195122 29.87804878],0
a3,1,0.150323,2.068972,[28  4] ; [41 14],[25.37931034  6.62068966] ; [43.62068966 11.37931034],0
d3,1,0.166518,1.914018,[25  7] ; [49  6],[27.2183908  4.7816092] ; [46.7816092  8.2183908],0
n5,1,0.208499,1.581818,[24  8] ; [34 21],[21.33333333 10.66666667] ; [36.66666667 18.33333333],0
a1,1,0.244014,1.357256,[ 4 28] ; [ 3 52],[ 2.57471264 29.42528736] ; [ 4.42528736 50.57471264],0
p12,1,0.26085,1.264238,[ 2 29] ; [ 1 54],[ 1.08139535 29.91860465] ; [ 1.91860465 53.08139535],0
n3,1,0.290466,1.11746,[7 3] ; [11 11],[5.625 4.375] ; [12.375  9.625],0
b1,1,0.311626,1.023772,[11 21] ; [25 30],[13.24137931 18.75862069] ; [22.75862069 32.24137931],0
u1,1,0.338759,0.915122,[ 2 30] ; [ 7 48],[ 3.31034483 28.68965517] ; [ 5.68965517 49.31034483],0
a4,1,0.467513,0.527848,[14 18] ; [28 26],[15.62790698 16.37209302] ; [26.37209302 27.62790698],0
s4,1,0.482357,0.493529,[ 5 27] ; [12 43],[ 6.25287356 25.74712644] ; [10.74712644 44.25287356],0
r2,1,0.505941,0.442453,[28  4] ; [41  9],[26.92682927  5.07317073] ; [42.07317073  7.92682927],0
a5,1,0.507398,0.43943,[23  9] ; [43 12],[24.27586207  7.72413793] ; [41.72413793 13.27586207],0
d2,1,0.522287,0.409375,[24  8] ; [37 17],[22.69767442  9.30232558] ; [38.30232558 15.69767442],0
a6,1,0.609538,0.260848,[18 14] ; [34 21],[19.12643678 12.87356322] ; [32.87356322 22.12643678],0
n2,1,0.6515,0.204014,[6 4] ; [15  7],[6.5625 3.4375] ; [14.4375  7.5625],0
d5,1,0.694911,0.15382,[31  1] ; [54  1],[31.26436782  0.73563218] ; [53.73563218  1.26436782],0
d4,1,0.694911,0.15382,[31  1] ; [54  1],[31.26436782  0.73563218] ; [53.73563218  1.26436782],0
b4,1,0.722532,0.126079,[21 11] ; [34 21],[20.22988506 11.77011494] ; [34.77011494 20.22988506],0
s2,1,0.750547,0.101072,[14 18] ; [26 29],[14.71264368 17.28735632] ; [25.28735632 29.71264368],0
n1,1,0.770515,0.08509,[2 7] ; [ 6 16],[2.32258065 6.67741935] ; [ 5.67741935 16.32258065],0
a2,1,0.776299,0.080739,[ 6 26] ; [ 9 46],[ 5.51724138 26.48275862] ; [ 9.48275862 45.51724138],0
