Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3e-06,22.092154,[145   8] ; [4 4],[141.59627329  11.40372671] ; [7.40372671 0.59627329],1
r4,1,5e-06,20.953977,[140  14] ; [3 5],[135.9382716  18.0617284] ; [7.0617284 0.9382716],1
r1,1,5e-06,20.747797,[125  29] ; [1 7],[119.77777778  34.22222222] ; [6.22222222 1.77777778],1
r2,1,0.00019,13.922747,[144   7] ; [5 3],[141.50314465   9.49685535] ; [7.49685535 0.50314465],1
p2,1,0.000192,13.906767,[123  29] ; [2 6],[118.75  33.25] ; [6.25 1.75],1
p7,1,0.001324,10.309186,[102  48] ; [1 7],[97.78481013 52.21518987] ; [5.21518987 2.78481013],0
n6,1,0.007293,7.199418,[132  22] ; [4 4],[129.28395062  24.71604938] ; [6.71604938 1.28395062],0
p1,1,0.010579,6.534667,[ 14 140] ; [3 5],[ 16.16049383 137.83950617] ; [0.83950617 7.16049383],0
s1,1,0.023574,5.125685,[  2 149] ; [1 7],[  2.8490566 148.1509434] ; [0.1509434 7.8490566],0
a1,1,0.035746,4.409189,[  9 145] ; [2 6],[ 10.45679012 143.54320988] ; [0.54320988 7.45679012],0
p11,1,0.038754,4.271605,[124  30] ; [4 4],[121.67901235  32.32098765] ; [6.32098765 1.67901235],0
p10,1,0.044238,4.047438,[120  30] ; [4 4],[117.72151899  32.27848101] ; [6.27848101 1.72151899],0
a5,1,0.046951,3.947153,[109  45] ; [3 5],[106.4691358  47.5308642] ; [5.5308642 2.4691358],0
p4,1,0.06931,3.299293,[86 63] ; [2 6],[83.51592357 65.48407643] ; [4.48407643 3.51592357],0
v2,1,0.075682,3.155276,[117  34] ; [4 4],[114.91194969  36.08805031] ; [6.08805031 1.91194969],0
p8,1,0.097079,2.75288,[82 67] ; [2 6],[79.71974522 69.28025478] ; [4.28025478 3.71974522],0
b1,1,0.10621,2.609728,[ 53 101] ; [5 3],[55.13580247 98.86419753] ; [2.86419753 5.13580247],0
b4,1,0.140476,2.172737,[95 59] ; [7 1],[96.96296296 57.03703704] ; [5.03703704 2.96296296],0
p9,1,0.163309,1.94332,[125  27] ; [5 3],[123.5  28.5] ; [6.5 1.5],0
p6,1,0.163823,1.93858,[55 95] ; [1 7],[53.16455696 96.83544304] ; [2.83544304 5.16455696],0
v1,1,0.182602,1.776316,[93 59] ; [3 5],[91.2 60.8] ; [4.8 3.2],0
d5,1,0.217268,1.522322,[124  30] ; [5 3],[122.62962963  31.37037037] ; [6.37037037 1.62962963],0
d1,1,0.242847,1.363992,[90 64] ; [3 5],[88.40740741 65.59259259] ; [4.59259259 3.40740741],0
d4,1,0.244196,1.356209,[122  31] ; [5 3],[120.68944099  32.31055901] ; [6.31055901 1.68944099],0
a8,1,0.325639,0.966164,[ 17 116] ; [2 6],[ 17.92198582 115.07801418] ; [1.07801418 6.92198582],0
a4,1,0.363316,0.8264,[63 90] ; [2 6],[61.77018634 91.22981366] ; [3.22981366 4.77018634],0
p12,1,0.52321,0.407561,[ 10 141] ; [1 7],[ 10.44654088 140.55345912] ; [0.55345912 7.44654088],0
d2,1,0.572722,0.31815,[73 80] ; [3 5],[72.22360248 80.77639752] ; [3.77639752 4.22360248],0
s6,1,0.573972,0.316082,[72 79] ; [3 5],[71.22641509 79.77358491] ; [3.77358491 4.22641509],0
d3,1,0.617068,0.250011,[109  45] ; [5 3],[108.37037037  45.62962963] ; [5.62962963 2.37037037],0
a6,1,0.740359,0.109811,[107  47] ; [6 2],[107.41975309  46.58024691] ; [5.58024691 2.41975309],0
s8,1,0.746876,0.104175,[ 49 104] ; [3 5],[ 49.41614907 103.58385093] ; [2.58385093 5.41614907],0
a2,1,0.775007,0.0817,[ 32 122] ; [2 6],[ 32.32098765 121.67901235] ; [1.67901235 6.32098765],0
n4,1,0.782576,0.076156,[121  32] ; [6 2],[120.68944099  32.31055901] ; [6.31055901 1.68944099],0
a3,1,0.818575,0.052614,[109  44] ; [6 2],[109.28571429  43.71428571] ; [5.71428571 2.28571429],0
b2,1,0.862645,0.029932,[38 67] ; [2 3],[38.18181818 66.81818182] ; [1.81818182 3.18181818],0
b3,1,0.862645,0.029932,[38 67] ; [2 3],[38.18181818 66.81818182] ; [1.81818182 3.18181818],0
s7,1,0.88377,0.021372,[50 93] ; [3 5],[50.19205298 92.80794702] ; [2.80794702 5.19205298],0
s3,1,0.905436,0.014113,[ 35 116] ; [2 6],[ 35.13836478 115.86163522] ; [1.86163522 6.13836478],0
a7,1,0.910813,0.012547,[112  41] ; [6 2],[112.13664596  40.86335404] ; [5.86335404 2.13664596],0
b5,1,0.963268,0.002121,[95 59] ; [5 3],[95.0617284 58.9382716] ; [4.9382716 3.0617284],0
n5,1,0.991681,0.000109,[115  38] ; [6 2],[114.98757764  38.01242236] ; [6.01242236 1.98757764],0
