Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,23.547197,[86 47] ; [19 48],[69.825 63.175] ; [35.175 31.825],1
d3,1,1e-05,19.496128,[94 38] ; [26 41],[79.59798995 52.40201005] ; [40.40201005 26.59798995],1
d5,1,0.000131,14.625221,[98 35] ; [31 36],[85.785 47.215] ; [43.215 23.785],1
b1,1,0.000205,13.783526,[ 31 102] ; [33 34],[42.56 90.44] ; [21.44 45.56],1
d1,1,0.000915,10.991425,[55 78] ; [12 55],[44.555 88.445] ; [22.445 44.555],1
d4,1,0.00121,10.475015,[103  30] ; [37 30],[93.1 39.9] ; [46.9 20.1],0
n3,1,0.003955,8.304578,[24  3] ; [12 11],[19.44  7.56] ; [16.56  6.44],0
p3,1,0.028524,4.796099,[59 74] ; [19 48],[51.87 81.13] ; [26.13 40.87],0
p2,1,0.039864,4.223643,[114  18] ; [50 17],[108.7839196  23.2160804] ; [55.2160804 11.7839196],0
r1,1,0.056306,3.642987,[91 41] ; [37 30],[84.90452261 47.09547739] ; [43.09547739 23.90452261],0
r4,1,0.065973,3.38048,[115  18] ; [51 16],[110.39  22.61] ; [55.61 11.39],0
p10,1,0.07531,3.163322,[116  15] ; [53 14],[111.81313131  19.18686869] ; [57.18686869  9.81313131],0
a1,1,0.080522,3.054335,[  2 131] ; [ 4 63],[  3.99 129.01] ; [ 2.01 64.99],0
v3,1,0.091825,2.84208,[45 82] ; [15 49],[39.89528796 87.10471204] ; [20.10471204 43.89528796],0
r3,1,0.179885,1.79857,[125   7] ; [60  7],[122.71356784   9.28643216] ; [62.28643216  4.71356784],0
a4,1,0.199185,1.648342,[ 25 107] ; [18 49],[ 28.52261307 103.47738693] ; [14.47738693 52.52261307],0
n5,1,0.200755,1.636873,[89 44] ; [50 16],[92.89949749 40.10050251] ; [46.10050251 19.89949749],0
r2,1,0.20926,1.576536,[123   9] ; [58  8],[120.66666667  11.33333333] ; [60.33333333  5.66666667],0
d2,1,0.267085,1.231656,[ 23 110] ; [16 51],[ 25.935 107.065] ; [13.065 53.935],0
u1,1,0.272896,1.202134,[  6 127] ; [ 1 66],[  4.655 128.345] ; [ 2.345 64.655],0
n4,1,0.27853,1.174249,[83 50] ; [47 20],[86.45 46.55] ; [43.55 23.45],0
p11,1,0.28117,1.161428,[108  25] ; [50 17],[105.07  27.93] ; [52.93 14.07],0
p4,1,0.29219,1.109503,[62 71] ; [36 30],[65.49748744 67.50251256] ; [32.50251256 33.49748744],0
u2,1,0.292521,1.107983,[41 28] ; [17 18],[38.48076923 30.51923077] ; [19.51923077 15.48076923],0
v2,1,0.369156,0.806505,[60 67] ; [25 37],[57.11640212 69.88359788] ; [27.88359788 34.11640212],0
v4,1,0.380201,0.770053,[126   6] ; [61  5],[124.66666667   7.33333333] ; [62.33333333  3.66666667],0
u3,1,0.407434,0.686275,[38 32] ; [16 19],[36. 34.] ; [18. 17.],0
a8,1,0.474575,0.511304,[ 16 106] ; [ 6 57],[ 14.50810811 107.49189189] ; [ 7.49189189 55.50810811],0
s5,1,0.477021,0.505666,[31 97] ; [18 44],[33.01052632 94.98947368] ; [15.98947368 46.01052632],0
s2,1,0.507524,0.439168,[61 72] ; [27 39],[58.81407035 74.18592965] ; [29.18592965 36.81407035],0
p12,1,0.536435,0.382188,[  7 126] ; [ 5 62],[  7.98 125.02] ; [ 4.02 62.98],0
s6,1,0.549878,0.357536,[81 51] ; [37 28],[79.06598985 52.93401015] ; [38.93401015 26.06598985],0
p7,1,0.566001,0.32942,[77 52] ; [36 29],[75.13917526 53.86082474] ; [37.86082474 27.13917526],0
p8,1,0.583831,0.300082,[66 65] ; [31 36],[64.17676768 66.82323232] ; [32.82323232 34.17676768],0
v1,1,0.610469,0.259492,[61 67] ; [34 32],[62.68041237 65.31958763] ; [32.31958763 33.68041237],0
u4,1,0.619276,0.246886,[  1 132] ; [ 1 66],[  1.33 131.67] ; [ 0.67 66.33],0
s4,1,0.63184,0.229574,[ 22 110] ; [13 54],[ 23.2160804 108.7839196] ; [11.7839196 55.2160804],0
p6,1,0.663598,0.189183,[40 90] ; [22 43],[41.33333333 88.66666667] ; [20.66666667 44.33333333],0
n6,1,0.668164,0.183757,[104  28] ; [51 16],[102.81407035  29.18592965] ; [52.18592965 14.81407035],0
s3,1,0.674274,0.176643,[73 59] ; [38 27],[74.37563452 57.62436548] ; [36.62436548 28.37563452],0
b2,1,0.76218,0.091579,[19 48] ; [10 29],[18.33018868 48.66981132] ; [10.66981132 28.33018868],0
b3,1,0.76218,0.091579,[19 48] ; [10 29],[18.33018868 48.66981132] ; [10.66981132 28.33018868],0
p5,1,0.762912,0.090998,[ 14 117] ; [ 8 58],[ 14.62944162 116.37055838] ; [ 7.37055838 58.62944162],0
s8,1,0.805155,0.060851,[46 87] ; [22 45],[45.22 87.78] ; [22.78 44.22],0
b5,1,0.806638,0.05991,[81 52] ; [42 25],[81.795 51.205] ; [41.205 25.795],0
s7,1,0.822625,0.050252,[49 78] ; [24 41],[48.28645833 78.71354167] ; [24.71354167 40.28645833],0
p1,1,0.83942,0.041061,[ 13 119] ; [ 6 61],[ 12.60301508 119.39698492] ; [ 6.39698492 60.60301508],0
b4,1,0.873586,0.025314,[77 56] ; [38 29],[76.475 56.525] ; [38.525 28.475],0
a3,1,0.878078,0.023533,[62 69] ; [32 34],[62.50761421 68.49238579] ; [31.49238579 34.50761421],0
n1,1,0.879192,0.023102,[10 17] ; [ 9 14],[10.26 16.74] ; [ 8.74 14.26],0
s1,1,0.982366,0.000489,[  6 126] ; [ 3 62],[  6.03045685 125.96954315] ; [ 2.96954315 62.03045685],0
n2,1,0.989677,0.000167,[20  7] ; [17  6],[19.98  7.02] ; [17.02  5.98],0
