Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.4e-05,18.902725,[31 19] ; [ 2 22],[22.2972973 27.7027027] ; [10.7027027 13.2972973],1
p7,1,0.000104,15.063697,[42  8] ; [ 9 14],[34.93150685 15.06849315] ; [16.06849315  6.93150685],1
p3,1,0.000275,13.236363,[37 13] ; [ 8 18],[29.60526316 20.39473684] ; [15.39473684 10.60526316],1
p8,1,0.0006,11.77653,[35 14] ; [ 7 17],[28.19178082 20.80821918] ; [13.80821918 10.19178082],1
d1,1,0.000861,11.10532,[37 13] ; [ 9 17],[30.26315789 19.73684211] ; [15.73684211 10.26315789],1
p2,1,0.007265,7.206359,[44  6] ; [16 10],[39.47368421 10.52631579] ; [20.52631579  5.47368421],0
n4,1,0.009217,6.780324,[41  9] ; [14 12],[36.18421053 13.81578947] ; [18.81578947  7.18421053],0
n5,1,0.015191,5.894182,[43  7] ; [16 10],[38.81578947 11.18421053] ; [20.18421053  5.81578947],0
d2,1,0.024245,5.077038,[29 21] ; [ 8 18],[24.34210526 25.65789474] ; [12.65789474 13.34210526],0
n6,1,0.02612,4.948054,[46  4] ; [19  7],[42.76315789  7.23684211] ; [22.23684211  3.76315789],0
a2,1,0.039382,4.244308,[14 36] ; [ 2 24],[10.52631579 39.47368421] ; [ 5.47368421 20.52631579],0
a7,1,0.048706,3.885444,[38 12] ; [14 12],[34.21052632 15.78947368] ; [17.78947368  8.21052632],0
u2,1,0.051927,3.778127,[ 2 11] ; [4 3],[3.9 9.1] ; [2.1 4.9],0
d3,1,0.082926,3.006593,[40 10] ; [16 10],[36.84210526 13.15789474] ; [19.15789474  6.84210526],0
s5,1,0.118113,2.442163,[30 16] ; [11 13],[26.94285714 19.05714286] ; [14.05714286  9.94285714],0
r1,1,0.134054,2.244923,[42  8] ; [18  8],[39.47368421 10.52631579] ; [20.52631579  5.47368421],0
a6,1,0.134932,2.234825,[32 18] ; [12 14],[28.94736842 21.05263158] ; [15.05263158 10.94736842],0
s3,1,0.161576,1.959412,[32 17] ; [21  5],[34.62666667 14.37333333] ; [18.37333333  7.62666667],0
p11,1,0.162725,1.948718,[40 10] ; [17  9],[37.5 12.5] ; [19.5  6.5],0
a8,1,0.179931,1.798193,[ 2 45] ; [ 3 20],[ 3.35714286 43.64285714] ; [ 1.64285714 21.35714286],0
s6,1,0.193197,1.693067,[41  6] ; [18  6],[39.05633803  7.94366197] ; [19.94366197  4.05633803],0
