Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9e-06,19.626266,[106  30] ; [22 28],[93.59139785 42.40860215] ; [34.40860215 15.59139785],1
d5,1,0.000222,13.639163,[108  28] ; [26 24],[97.97849462 38.02150538] ; [36.02150538 13.97849462],1
a6,1,0.000232,13.553873,[97 39] ; [21 29],[86.27956989 49.72043011] ; [31.72043011 18.27956989],1
d4,1,0.001457,10.132578,[114  22] ; [31 19],[106.02150538  29.97849462] ; [38.97849462 11.02150538],0
p10,1,0.001963,9.584266,[85 49] ; [19 31],[75.73913043 58.26086957] ; [28.26086957 21.73913043],0
p9,1,0.003843,8.356568,[92 41] ; [23 27],[83.57923497 49.42076503] ; [31.42076503 18.57923497],0
d1,1,0.003874,8.341812,[76 60] ; [16 34],[67.2688172 68.7311828] ; [24.7311828 25.2688172],0
r3,1,0.007544,7.138661,[127   9] ; [40 10],[122.10752688  13.89247312] ; [44.89247312  5.10752688],0
p2,1,0.011245,6.426182,[106  29] ; [30 20],[99.24324324 35.75675676] ; [36.75675676 13.24324324],0
a2,1,0.022089,5.238744,[ 23 113] ; [ 2 48],[ 18.27956989 117.72043011] ; [ 6.72043011 43.27956989],0
r2,1,0.023696,5.116733,[121  13] ; [38 11],[116.42622951  17.57377049] ; [42.57377049  6.42622951],0
b5,1,0.02405,5.091006,[90 46] ; [24 26],[83.35483871 52.64516129] ; [30.64516129 19.35483871],0
v4,1,0.031715,4.613824,[124  12] ; [39 10],[119.82702703  16.17297297] ; [43.17297297  5.82702703],0
u3,1,0.031846,4.606749,[31 16] ; [ 8 13],[26.95588235 20.04411765] ; [12.04411765  8.95588235],0
r4,1,0.047004,3.945247,[111  25] ; [34 16],[106.02150538  29.97849462] ; [38.97849462 11.02150538],0
p6,1,0.055106,3.678874,[ 31 102] ; [ 5 43],[ 26.45303867 106.54696133] ; [ 9.54696133 38.45303867],0
n6,1,0.075076,3.168405,[85 51] ; [24 26],[79.69892473 56.30107527] ; [29.30107527 20.69892473],0
s6,1,0.145298,2.120932,[62 73] ; [17 33],[57.64864865 77.35135135] ; [21.35135135 28.64864865],0
b1,1,0.195589,1.675005,[51 85] ; [24 26],[54.83870968 81.16129032] ; [20.16129032 29.83870968],0
v2,1,0.224242,1.477017,[65 63] ; [19 28],[61.44 66.56] ; [22.56 24.44],0
a4,1,0.242217,1.367647,[42 94] ; [20 30],[45.33333333 90.66666667] ; [16.66666667 33.33333333],0
n4,1,0.243051,1.362809,[55 81] ; [25 25],[58.49462366 77.50537634] ; [21.50537634 28.49462366],0
r1,1,0.2655,1.239848,[101  35] ; [33 17],[97.97849462 38.02150538] ; [36.02150538 13.97849462],0
n1,1,0.270685,1.21327,[ 7 35] ; [ 5 12],[ 8.54237288 33.45762712] ; [ 3.45762712 13.54237288],0
a5,1,0.293701,1.10258,[85 51] ; [27 23],[81.89247312 54.10752688] ; [30.10752688 19.89247312],0
b3,1,0.300035,1.074041,[16 55] ; [10 21],[18.09803922 52.90196078] ; [ 7.90196078 23.09803922],0
b2,1,0.300035,1.074041,[16 55] ; [10 21],[18.09803922 52.90196078] ; [ 7.90196078 23.09803922],0
s1,1,0.331136,0.944451,[  4 132] ; [ 3 47],[  5.11827957 130.88172043] ; [ 1.88172043 48.11827957],0
b4,1,0.338532,0.915983,[84 52] ; [27 23],[81.16129032 54.83870968] ; [29.83870968 20.16129032],0
p8,1,0.376549,0.781938,[57 79] ; [17 32],[54.4 81.6] ; [19.6 29.4],0
p4,1,0.376549,0.781938,[57 79] ; [17 32],[54.4 81.6] ; [19.6 29.4],0
n2,1,0.389226,0.741359,[24 17] ; [12  5],[25.44827586 15.55172414] ; [10.55172414  6.44827586],0
a3,1,0.456174,0.555265,[87 49] ; [29 21],[84.8172043 51.1827957] ; [31.1827957 18.8172043],0
s3,1,0.457862,0.551117,[52 83] ; [21 26],[54.14835165 80.85164835] ; [18.85164835 28.14835165],0
s8,1,0.47192,0.517476,[37 99] ; [11 39],[ 35.09677419 100.90322581] ; [12.90322581 37.09677419],0
p1,1,0.48932,0.478021,[  9 125] ; [ 2 48],[  8.01086957 125.98913043] ; [ 2.98913043 47.01086957],0
a1,1,0.502403,0.449858,[  3 133] ; [ 2 48],[  3.65591398 132.34408602] ; [ 1.34408602 48.65591398],0
p11,1,0.531878,0.390802,[91 45] ; [31 19],[89.20430108 46.79569892] ; [32.79569892 17.20430108],0
p7,1,0.547207,0.362345,[71 63] ; [24 26],[69.18478261 64.81521739] ; [25.81521739 24.18478261],0
s7,1,0.551631,0.354404,[37 93] ; [11 35],[35.45454545 94.54545455] ; [12.54545455 33.45454545],0
v3,1,0.652407,0.202879,[36 93] ; [11 34],[34.84482759 94.15517241] ; [12.15517241 32.84482759],0
d2,1,0.660355,0.193093,[51 85] ; [17 33],[49.72043011 86.27956989] ; [18.27956989 31.72043011],0
s2,1,0.732989,0.116385,[40 96] ; [16 34],[40.94623656 95.05376344] ; [15.05376344 34.94623656],0
n3,1,0.785628,0.07398,[30 12] ; [12  4],[30.4137931 11.5862069] ; [11.5862069  4.4137931],0
