Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,9e-06,19.777488,[18  1] ; [14 28],[9.96721311 9.03278689] ; [22.03278689 19.96721311],1
d3,1,1e-05,19.455908,[17  2] ; [12 30],[9.03278689 9.96721311] ; [19.96721311 22.03278689],1
d5,1,1.8e-05,18.352566,[18  1] ; [15 27],[10.27868852  8.72131148] ; [22.72131148 19.27868852],1
d2,1,0.001595,9.965824,[12  6] ; [10 32],[ 6.6 11.4] ; [15.4 26.6],0
p5,1,0.011995,6.311573,[ 4 14] ; [ 1 40],[ 1.52542373 16.47457627] ; [ 3.47457627 37.52542373],0
a5,1,0.016282,5.772125,[14  5] ; [17 25],[9.6557377 9.3442623] ; [21.3442623 20.6557377],0
p2,1,0.023835,5.106597,[ 3 15] ; [20 22],[ 6.9 11.1] ; [16.1 25.9],0
a7,1,0.02916,4.758165,[12  7] ; [14 28],[ 8.09836066 10.90163934] ; [17.90163934 24.09836066],0
a4,1,0.052569,3.757558,[9 9] ; [10 31],[ 5.79661017 12.20338983] ; [13.20338983 27.79661017],0
a2,1,0.114454,2.491616,[ 4 15] ; [ 3 39],[ 2.18032787 16.81967213] ; [ 4.81967213 37.18032787],0
v2,1,0.139339,2.185246,[ 6 13] ; [ 6 34],[ 3.86440678 15.13559322] ; [ 8.13559322 31.86440678],0
n2,1,0.157299,2.0,[4 8] ; [14 10],[6. 6.] ; [12. 12.],0
p3,1,0.161056,1.964286,[ 7 11] ; [ 9 33],[ 4.8 13.2] ; [11.2 30.8],0
a6,1,0.206131,1.598397,[11  8] ; [17 25],[ 8.72131148 10.27868852] ; [19.27868852 22.72131148],0
r1,1,0.213441,1.547932,[10  9] ; [15 27],[ 7.78688525 11.21311475] ; [17.21311475 24.78688525],0
n1,1,0.237867,1.393189,[4 8] ; [13 11],[5.66666667 6.33333333] ; [11.33333333 12.66666667],0
u2,1,0.29203,1.11024,[1 5] ; [ 8 12],[2.07692308 3.92307692] ; [ 6.92307692 13.07692308],0
n4,1,0.315117,1.009107,[13  6] ; [23 19],[11.21311475  7.78688525] ; [24.78688525 17.21311475],0
a3,1,0.326804,0.961523,[13  6] ; [22 18],[11.27118644  7.72881356] ; [23.72881356 16.27118644],0
