Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000292,13.119625,[ 9 65] ; [14 18],[16.05660377 57.94339623] ; [ 6.94339623 25.05660377],1
s2,1,0.004008,8.2804,[16 57] ; [16 16],[22.24761905 50.75238095] ; [ 9.75238095 22.24761905],0
p10,1,0.005982,7.555865,[15 58] ; [15 17],[20.85714286 52.14285714] ; [ 9.14285714 22.85714286],0
s3,1,0.007083,7.251712,[25 48] ; [20 12],[31.28571429 41.71428571] ; [13.71428571 18.28571429],0
s6,1,0.007651,7.113445,[30 44] ; [22 10],[36.30188679 37.69811321] ; [15.69811321 16.30188679],0
v3,1,0.009861,6.659784,[16 57] ; [15 17],[21.55238095 51.44761905] ; [ 9.44761905 22.55238095],0
p8,1,0.016812,5.715873,[21 52] ; [17 15],[26.41904762 46.58095238] ; [11.58095238 20.41904762],0
n6,1,0.020912,5.334074,[45 28] ; [27  5],[50.05714286 22.94285714] ; [21.94285714 10.05714286],0
p11,1,0.034367,4.476351,[32 42] ; [21 11],[37. 37.] ; [16. 16.],0
p6,1,0.070775,3.264963,[12 61] ; [10 21],[15.44230769 57.55769231] ; [ 6.55769231 24.44230769],0
u1,1,0.071776,3.241929,[10 64] ; [ 9 23],[13.26415094 60.73584906] ; [ 5.73584906 26.26415094],0
n1,1,0.074574,3.179348,[10 20] ; [6 3],[12.30769231 17.69230769] ; [3.69230769 5.30769231],0
r4,1,0.077091,3.125179,[53 21] ; [28  4],[56.54716981 17.45283019] ; [24.45283019  7.54716981],0
r2,1,0.0799,3.066936,[63 11] ; [31  1],[65.62264151  8.37735849] ; [28.37735849  3.62264151],0
a8,1,0.084897,2.968566,[ 5 65] ; [ 5 21],[ 7.29166667 62.70833333] ; [ 2.70833333 23.29166667],0
p7,1,0.100126,2.703534,[30 44] ; [18 13],[33.82857143 40.17142857] ; [14.17142857 16.82857143],0
p4,1,0.110279,2.550222,[31 42] ; [19 13],[34.76190476 38.23809524] ; [15.23809524 16.76190476],0
v1,1,0.161734,1.957942,[22 52] ; [14 18],[25.13207547 48.86792453] ; [10.86792453 21.13207547],0
v4,1,0.164139,1.935674,[62 12] ; [30  2],[64.22641509  9.77358491] ; [27.77358491  4.22641509],0
v2,1,0.168545,1.895833,[30 42] ; [18 14],[33.23076923 38.76923077] ; [14.76923077 17.23076923],0
p2,1,0.179471,1.802003,[43 31] ; [23  9],[46.0754717 27.9245283] ; [19.9245283 12.0754717],0
s5,1,0.185024,1.756799,[ 9 64] ; [ 7 24],[11.23076923 61.76923077] ; [ 4.76923077 26.23076923],0
d3,1,0.220167,1.503283,[49 25] ; [25  7],[51.66037736 22.33962264] ; [22.33962264  9.66037736],0
u2,1,0.244071,1.356923,[10 16] ; [6 4],[11.55555556 14.44444444] ; [4.44444444 5.55555556],0
d4,1,0.270495,1.214236,[58 16] ; [28  4],[60.03773585 13.96226415] ; [25.96226415  6.03773585],0
b4,1,0.275502,1.189143,[45 29] ; [23  9],[47.47169811 26.52830189] ; [20.52830189 11.47169811],0
n2,1,0.28219,1.156511,[18 13] ; [7 2],[19.375 11.625] ; [5.625 3.375],0
u3,1,0.322386,0.979244,[14 13] ; [7 3],[15.32432432 11.67567568] ; [5.67567568 4.32432432],0
r1,1,0.363215,0.826748,[54 20] ; [26  6],[55.8490566 18.1509434] ; [24.1509434  7.8490566],0
a2,1,0.375036,0.78691,[15 59] ; [ 9 23],[16.75471698 57.24528302] ; [ 7.24528302 24.75471698],0
s4,1,0.386747,0.749144,[ 9 64] ; [ 6 26],[10.42857143 62.57142857] ; [ 4.57142857 27.42857143],0
p5,1,0.387077,0.748105,[ 2 71] ; [ 2 30],[ 2.78095238 70.21904762] ; [ 1.21904762 30.78095238],0
n4,1,0.403999,0.696392,[47 27] ; [23  9],[48.86792453 25.13207547] ; [21.13207547 10.86792453],0
r3,1,0.443447,0.587347,[63 11] ; [29  3],[64.22641509  9.77358491] ; [27.77358491  4.22641509],0
d1,1,0.446871,0.578576,[38 36] ; [19 13],[39.79245283 34.20754717] ; [17.20754717 14.79245283],0
s1,1,0.449166,0.572755,[ 5 68] ; [ 1 31],[ 4.17142857 68.82857143] ; [ 1.82857143 30.17142857],0
a4,1,0.500143,0.454634,[25 49] ; [13 19],[26.52830189 47.47169811] ; [11.47169811 20.52830189],0
d5,1,0.528995,0.396321,[56 18] ; [26  6],[57.24528302 16.75471698] ; [24.75471698  7.24528302],0
n5,1,0.581697,0.303499,[42 32] ; [20 12],[43.28301887 30.71698113] ; [18.71698113 13.28301887],0
a6,1,0.619708,0.246278,[52 22] ; [24  8],[53.05660377 20.94339623] ; [22.94339623  9.05660377],0
a1,1,0.639438,0.219478,[ 5 69] ; [ 3 29],[ 5.58490566 68.41509434] ; [ 2.41509434 29.58490566],0
a3,1,0.664366,0.188263,[47 26] ; [22 10],[47.97142857 25.02857143] ; [21.02857143 10.97142857],0
b5,1,0.8157,0.054326,[48 26] ; [20 12],[47.47169811 26.52830189] ; [20.52830189 11.47169811],0
p1,1,0.829907,0.046148,[ 6 68] ; [ 3 29],[ 6.28301887 67.71698113] ; [ 2.71698113 29.28301887],0
