Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,41.890309,[ 18 147] ; [43 49],[ 39.16342412 125.83657588] ; [21.83657588 70.16342412],1
r1,1,0.000448,12.32045,[96 72] ; [74 20],[109.00763359  58.99236641] ; [60.99236641 33.00763359],1
a3,1,0.003482,8.535835,[92 75] ; [69 25],[103.01532567  63.98467433] ; [57.98467433 36.01532567],0
r3,1,0.005082,7.849895,[133  35] ; [86  7],[140.96551724  27.03448276] ; [78.03448276 14.96551724],0
r4,1,0.007218,7.217972,[118  50] ; [80 14],[126.96183206  41.03816794] ; [71.03816794 22.96183206],0
a7,1,0.008142,7.001978,[97 71] ; [69 24],[106.85057471  61.14942529] ; [59.14942529 33.85057471],0
p10,1,0.009803,6.670417,[92 73] ; [67 26],[101.68604651  63.31395349] ; [57.31395349 35.68604651],0
r2,1,0.01062,6.527757,[133  32] ; [86  7],[140.05813953  24.94186047] ; [78.94186047 14.05813953],0
d5,1,0.010825,6.493888,[113  55] ; [77 17],[121.83206107  46.16793893] ; [68.16793893 25.83206107],0
p11,1,0.019392,5.465775,[103  65] ; [71 23],[111.57251908  56.42748092] ; [62.42748092 31.57251908],0
d4,1,0.02619,4.943429,[116  52] ; [76 17],[123.5862069  44.4137931] ; [68.4137931 24.5862069],0
d1,1,0.026502,4.922942,[69 99] ; [52 42],[77.58778626 90.41221374] ; [43.41221374 50.58778626],0
s5,1,0.040285,4.205853,[ 26 139] ; [24 67],[ 32.2265625 132.7734375] ; [17.7734375 73.2265625],0
p7,1,0.056246,3.644755,[71 94] ; [51 41],[78.32684825 86.67315175] ; [43.67315175 48.32684825],0
d3,1,0.059544,3.550048,[92 75] ; [63 31],[99.17624521 67.82375479] ; [55.82375479 38.17624521],0
u1,1,0.100178,2.70271,[ 10 158] ; [11 83],[ 13.46564885 154.53435115] ; [ 7.53435115 86.46564885],0
v4,1,0.11918,2.428068,[138  30] ; [84 10],[142.35114504  25.64885496] ; [79.64885496 14.35114504],0
s1,1,0.122566,2.384217,[  8 159] ; [ 1 90],[  5.8255814 161.1744186] ; [ 3.1744186 87.8255814],0
n6,1,0.156114,2.011469,[118  49] ; [74 20],[122.85057471  44.14942529] ; [69.14942529 24.85057471],0
s8,1,0.167862,1.901938,[ 29 138] ; [23 71],[ 33.27203065 133.72796935] ; [18.72796935 75.27203065],0
p4,1,0.169055,1.891308,[ 62 104] ; [42 49],[67.17509728 98.82490272] ; [36.82490272 54.17509728],0
a5,1,0.169553,1.886894,[100  68] ; [64 30],[105.16030534  62.83969466] ; [58.83969466 35.16030534],0
p9,1,0.185098,1.756207,[103  61] ; [66 27],[107.84435798  56.15564202] ; [61.15564202 31.84435798],0
n1,1,0.204331,1.611148,[24 41] ; [ 6 20],[21.42857143 43.57142857] ; [ 8.57142857 17.42857143],0
p3,1,0.227254,1.457969,[ 52 116] ; [36 58],[ 56.42748092 111.57251908] ; [31.57251908 62.42748092],0
n4,1,0.233644,1.418536,[107  61] ; [66 27],[111.35632184  56.64367816] ; [61.64367816 31.35632184],0
a6,1,0.234964,1.410558,[102  66] ; [64 30],[106.44274809  61.55725191] ; [59.55725191 34.44274809],0
p8,1,0.246817,1.341228,[ 60 106] ; [40 52],[ 64.34108527 101.65891473] ; [35.65891473 56.34108527],0
n2,1,0.26848,1.224498,[38 29] ; [18  8],[40.34408602 26.65591398] ; [15.65591398 10.34408602],0
n3,1,0.275514,1.189088,[39 25] ; [19  7],[41.24444444 22.75555556] ; [16.75555556  9.24444444],0
