Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,77.541224,[86  5] ; [ 8 33],[64.8030303 26.1969697] ; [29.1969697 11.8030303],1
n6,1,0.008043,7.023895,[84  7] ; [31 10],[79.28030303 11.71969697] ; [35.71969697  5.28030303],0
a6,1,0.008118,7.007302,[58 33] ; [16 25],[51.01515152 39.98484848] ; [22.98484848 18.01515152],0
p10,1,0.022636,5.196224,[76 14] ; [26 13],[71.1627907 18.8372093] ; [30.8372093  8.1627907],0
a2,1,0.030689,4.670256,[24 67] ; [ 4 37],[19.3030303 71.6969697] ; [ 8.6969697 32.3030303],0
r4,1,0.036732,4.362796,[83  8] ; [32  9],[79.28030303 11.71969697] ; [35.71969697  5.28030303],0
r1,1,0.04298,4.0962,[74 17] ; [26 14],[69.46564885 21.53435115] ; [30.53435115  9.46564885],0
p9,1,0.049229,3.867544,[76 12] ; [28 11],[72.06299213 15.93700787] ; [31.93700787  7.06299213],0
n1,1,0.053824,3.718155,[ 3 11] ; [7 5],[5.38461538 8.61538462] ; [4.61538462 7.38461538],0
p2,1,0.054335,3.702386,[80 11] ; [29 10],[76.3 14.7] ; [32.7  6.3],0
p1,1,0.068609,3.315981,[15 75] ; [ 2 38],[11.76923077 78.23076923] ; [ 5.23076923 34.76923077],0
p11,1,0.069723,3.289536,[75 16] ; [28 13],[71.00757576 19.99242424] ; [31.99242424  9.00757576],0
p4,1,0.071423,3.25,[60 30] ; [20 20],[55.38461538 34.61538462] ; [24.61538462 15.38461538],0
p3,1,0.074794,3.174543,[54 37] ; [17 23],[49.32061069 41.67938931] ; [21.67938931 18.32061069],0
a8,1,0.087271,2.923997,[11 74] ; [ 1 35],[ 8.42975207 76.57024793] ; [ 3.57024793 32.42975207],0
r3,1,0.127099,2.327578,[80  9] ; [40  1],[82.15384615  6.84615385] ; [37.84615385  3.15384615],0
v3,1,0.174078,1.847473,[32 59] ; [ 9 30],[28.7 62.3] ; [12.3 26.7],0
a4,1,0.179047,1.805514,[47 44] ; [16 25],[43.43181818 47.56818182] ; [19.56818182 21.43181818],0
n2,1,0.182698,1.775543,[14  1] ; [9 3],[12.77777778  2.22222222] ; [10.22222222  1.77777778],0
a5,1,0.18444,1.761481,[66 25] ; [25 16],[62.73484848 28.26515152] ; [28.26515152 12.73484848],0
v1,1,0.187003,1.741071,[45 45] ; [15 25],[41.53846154 48.46153846] ; [18.46153846 21.53846154],0
u1,1,0.194521,1.683042,[17 74] ; [ 4 37],[14.47727273 76.52272727] ; [ 6.52272727 34.47727273],0
s6,1,0.195702,1.674164,[72 17] ; [29 12],[69.14615385 19.85384615] ; [31.85384615  9.14615385],0
a3,1,0.196773,1.666162,[65 26] ; [24 16],[61.82442748 29.17557252] ; [27.17557252 12.82442748],0
s4,1,0.215428,1.534572,[19 69] ; [13 28],[21.82945736 66.17054264] ; [10.17054264 30.82945736],0
p5,1,0.224728,1.473923,[20 71] ; [ 5 34],[17.5 73.5] ; [ 7.5 31.5],0
v2,1,0.237039,1.398115,[49 40] ; [18 23],[45.86923077 43.13076923] ; [21.13076923 19.86923077],0
s7,1,0.256888,1.285452,[36 51] ; [12 27],[33.14285714 53.85714286] ; [14.85714286 24.14285714],0
p7,1,0.306446,1.045933,[58 30] ; [22 17],[55.43307087 32.56692913] ; [24.56692913 14.43307087],0
s1,1,0.31184,1.022865,[ 3 87] ; [ 3 38],[ 4.1221374 85.8778626] ; [ 1.8778626 39.1221374],0
p8,1,0.367795,0.8111,[47 43] ; [17 22],[44.65116279 45.34883721] ; [19.34883721 19.65116279],0
a1,1,0.368721,0.80797,[ 5 86] ; [ 4 37],[ 6.20454545 84.79545455] ; [ 2.79545455 38.20454545],0
p6,1,0.378807,0.77457,[35 55] ; [12 27],[32.79069767 57.20930233] ; [14.20930233 24.79069767],0
d2,1,0.409493,0.680271,[46 43] ; [18 23],[43.81538462 45.18461538] ; [20.18461538 20.81538462],0
d5,1,0.434934,0.609612,[70 21] ; [34  7],[71.6969697 19.3030303] ; [32.3030303  8.6969697],0
v4,1,0.472607,0.515873,[85  6] ; [35  4],[84.  7.] ; [36.  3.],0
b1,1,0.506043,0.442241,[32 59] ; [12 29],[30.33333333 60.66666667] ; [13.66666667 27.33333333],0
d1,1,0.526471,0.401198,[52 39] ; [21 20],[50.32575758 40.67424242] ; [22.67424242 18.32575758],0
p12,1,0.53846,0.378401,[10 81] ; [ 3 37],[ 9.03053435 81.96946565] ; [ 3.96946565 36.03053435],0
d4,1,0.612523,0.256517,[76 14] ; [36  5],[76.94656489 13.05343511] ; [35.05343511  5.94656489],0
u2,1,0.662763,0.190184,[12 13] ; [ 7 10],[11.30952381 13.69047619] ; [7.69047619 9.30952381],0
s3,1,0.6665,0.185723,[47 41] ; [23 17],[48.125 39.875] ; [21.875 18.125],0
a7,1,0.667133,0.184974,[58 32] ; [28 13],[59.08396947 30.91603053] ; [26.91603053 14.08396947],0
b2,1,0.686634,0.162753,[19 35] ; [ 7 16],[18.23376623 35.76623377] ; [ 7.76623377 15.23376623],0
b3,1,0.686634,0.162753,[19 35] ; [ 7 16],[18.23376623 35.76623377] ; [ 7.76623377 15.23376623],0
r2,1,0.725765,0.123036,[85  6] ; [38  2],[85.44274809  5.55725191] ; [37.55725191  2.44274809],0
u3,1,0.759047,0.094085,[15 11] ; [9 8],[14.51162791 11.48837209] ; [9.48837209 7.51162791],0
s2,1,0.798661,0.065066,[51 40] ; [22 19],[50.32575758 40.67424242] ; [22.67424242 18.32575758],0
b5,1,0.830575,0.045781,[44 47] ; [19 22],[43.43181818 47.56818182] ; [19.56818182 21.43181818],0
n3,1,0.872518,0.025748,[10  5] ; [7 4],[9.80769231 5.19230769] ; [7.19230769 3.80769231],0
d3,1,0.894192,0.01769,[61 30] ; [27 14],[60.66666667 30.33333333] ; [27.33333333 13.66666667],0
b4,1,0.914172,0.011616,[63 28] ; [28 13],[62.73484848 28.26515152] ; [28.26515152 12.73484848],0
