Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000184,13.98625,[29 19] ; [66  8],[37.37704918 10.62295082] ; [57.62295082 16.37704918],1
r3,1,0.003627,8.461726,[31 19] ; [62 11],[37.80487805 12.19512195] ; [55.19512195 17.80487805],0
p11,1,0.006379,7.440089,[14 36] ; [39 35],[21.37096774 28.62903226] ; [31.62903226 42.37096774],0
n5,1,0.008222,6.984408,[19 31] ; [46 28],[26.20967742 23.79032258] ; [38.79032258 35.20967742],0
r4,1,0.016647,5.733248,[26 24] ; [54 20],[32.25806452 17.74193548] ; [47.74193548 26.25806452],0
r2,1,0.025509,4.988967,[36 13] ; [65  8],[40.56557377  8.43442623] ; [60.43442623 12.56557377],0
s6,1,0.033431,4.523593,[ 9 41] ; [26 47],[14.22764228 35.77235772] ; [20.77235772 52.22764228],0
p4,1,0.034427,4.473375,[11 39] ; [29 43],[16.39344262 33.60655738] ; [23.60655738 48.39344262],0
p10,1,0.036355,4.380356,[ 6 44] ; [20 52],[10.6557377 39.3442623] ; [15.3442623 56.6557377],0
s7,1,0.036854,4.357165,[ 4 40] ; [18 55],[ 8.27350427 35.72649573] ; [13.72649573 59.27350427],0
v3,1,0.044451,4.039336,[ 7 40] ; [23 51],[11.65289256 35.34710744] ; [18.34710744 55.65289256],0
s8,1,0.049857,3.846263,[ 2 48] ; [11 62],[ 5.28455285 44.71544715] ; [ 7.71544715 65.28455285],0
n2,1,0.065282,3.397848,[11 15] ; [17  8],[14.2745098 11.7254902] ; [13.7254902 11.2745098],0
v2,1,0.070733,3.265934,[13 35] ; [32 42],[17.70491803 30.29508197] ; [27.29508197 46.70491803],0
u1,1,0.078793,3.089627,[ 2 48] ; [10 64],[ 4.83870968 45.16129032] ; [ 7.16129032 66.83870968],0
a4,1,0.082068,3.023456,[23 27] ; [22 50],[18.44262295 31.55737705] ; [26.55737705 45.44262295],0
n1,1,0.083265,3.0,[ 7 18] ; [13 12],[10. 15.] ; [10. 15.],0
b5,1,0.090557,2.864442,[22 28] ; [44 30],[26.61290323 23.38709677] ; [39.38709677 34.61290323],0
n4,1,0.126603,2.333667,[27 23] ; [50 24],[31.0483871 18.9516129] ; [45.9516129 28.0483871],0
a3,1,0.129819,2.294662,[30 19] ; [35 39],[25.89430894 23.10569106] ; [39.10569106 34.89430894],0
