Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,26.706696,[63 81] ; [52 11],[80. 64.] ; [35. 28.],1
s2,1,1e-06,24.895513,[ 43 102] ; [42 21],[59.25480769 85.74519231] ; [25.74519231 37.25480769],1
s4,1,0.000279,13.208973,[ 19 126] ; [22 41],[ 28.58173077 116.41826923] ; [12.41826923 50.58173077],1
s3,1,0.000481,12.186716,[54 88] ; [40 22],[65.43137255 76.56862745] ; [28.56862745 33.43137255],1
s7,1,0.001349,10.273627,[38 98] ; [31 29],[47.87755102 88.12244898] ; [21.12244898 38.87755102],0
n4,1,0.006361,7.444943,[66 79] ; [16 47],[57.16346154 87.83653846] ; [24.83653846 38.16346154],0
s8,1,0.009315,6.76135,[ 36 109] ; [27 36],[ 43.91826923 101.08173077] ; [19.08173077 43.91826923],0
a6,1,0.015964,5.806809,[97 48] ; [31 32],[89.23076923 55.76923077] ; [38.76923077 24.23076923],0
p10,1,0.016819,5.715177,[84 60] ; [47 15],[91.57281553 52.42718447] ; [39.42718447 22.57281553],0
p1,1,0.029011,4.766984,[  5 138] ; [ 7 55],[  8.37073171 134.62926829] ; [ 3.62926829 58.37073171],0
p9,1,0.029691,4.727112,[93 50] ; [49 12],[99.53921569 43.46078431] ; [42.46078431 18.53921569],0
p5,1,0.034555,4.467025,[  4 140] ; [ 6 56],[  6.99029126 137.00970874] ; [ 3.00970874 58.99029126],0
a1,1,0.036107,4.392043,[  4 141] ; [ 6 57],[  6.97115385 138.02884615] ; [ 3.02884615 59.97115385],0
p6,1,0.051537,3.790729,[ 30 110] ; [21 40],[ 35.52238806 104.47761194] ; [15.47761194 45.52238806],0
p3,1,0.06492,3.407,[50 94] ; [30 32],[55.9223301 88.0776699] ; [24.0776699 37.9223301],0
u1,1,0.086158,2.944738,[ 15 130] ; [12 51],[ 18.82211538 126.17788462] ; [ 8.17788462 54.82211538],0
s1,1,0.091696,2.84434,[  4 141] ; [ 5 58],[  6.27403846 138.72596154] ; [ 2.72596154 60.27403846],0
v1,1,0.093448,2.813957,[49 91] ; [29 32],[54.32835821 85.67164179] ; [23.67164179 37.32835821],0
r3,1,0.107024,2.597628,[131  14] ; [61  2],[133.84615385  11.15384615] ; [58.15384615  4.84615385],0
n1,1,0.112443,2.51955,[ 9 34] ; [ 8 12],[11.6031746 31.3968254] ; [ 5.3968254 14.6031746],0
p12,1,0.112456,2.519365,[  3 141] ; [ 4 58],[  4.89320388 139.10679612] ; [ 2.10679612 59.89320388],0
a7,1,0.173335,1.853858,[114  31] ; [44 19],[110.14423077  34.85576923] ; [47.85576923 15.14423077],0
n6,1,0.185242,1.755061,[84 61] ; [42 20],[88.26086957 56.73913043] ; [37.73913043 24.26086957],0
b2,1,0.272746,1.202885,[22 55] ; [14 22],[24.53097345 52.46902655] ; [11.46902655 24.53097345],0
b3,1,0.272746,1.202885,[22 55] ; [14 22],[24.53097345 52.46902655] ; [11.46902655 24.53097345],0
b1,1,0.299184,1.077827,[57 88] ; [20 43],[53.67788462 91.32211538] ; [23.32211538 39.67788462],0
a5,1,0.306545,1.045505,[93 52] ; [45 18],[96.20192308 48.79807692] ; [41.79807692 21.20192308],0
p4,1,0.324412,0.971076,[59 85] ; [30 32],[62.21359223 81.78640777] ; [26.78640777 35.21359223],0
r1,1,0.328765,0.953756,[110  35] ; [43 19],[107.17391304  37.82608696] ; [45.82608696 16.17391304],0
r2,1,0.338138,0.917478,[124  18] ; [57  5],[125.99019608  16.00980392] ; [55.00980392  6.99019608],0
