Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,3.5e-05,17.12814,[11  2] ; [ 9 33],[4.72727273 8.27272727] ; [15.27272727 26.72727273],1
p6,1,4.3e-05,16.71793,[6 7] ; [ 1 40],[ 1.68518519 11.31481481] ; [ 5.31481481 35.68518519],1
p7,1,0.000517,12.05486,[8 6] ; [ 5 37],[ 3.25 10.75] ; [ 9.75 32.25],1
s6,1,0.001501,10.077457,[8 5] ; [ 7 35],[3.54545455 9.45454545] ; [11.45454545 30.54545455],0
p3,1,0.002626,9.050505,[7 7] ; [ 5 37],[ 3. 11.] ; [ 9. 33.],0
d3,1,0.00536,7.753846,[11  3] ; [15 27],[6.5 7.5] ; [19.5 22.5],0
v2,1,0.00672,7.346249,[9 5] ; [10 31],[4.83636364 9.16363636] ; [14.16363636 26.83636364],0
p9,1,0.018234,5.573571,[10  4] ; [14 26],[6.22222222 7.77777778] ; [17.77777778 22.22222222],0
b5,1,0.020557,5.363985,[11  3] ; [18 24],[7.25 6.75] ; [21.75 20.25],0
a5,1,0.043637,4.070538,[11  3] ; [20 22],[7.75 6.25] ; [23.25 18.75],0
s5,1,0.063119,3.453463,[4 9] ; [ 4 37],[ 1.92592593 11.07407407] ; [ 6.07407407 34.92592593],0
a4,1,0.129403,2.299652,[8 6] ; [14 27],[5.6 8.4] ; [16.4 24.6],0
p10,1,0.129403,2.299652,[8 6] ; [14 27],[5.6 8.4] ; [16.4 24.6],0
r3,1,0.141726,2.159117,[10  4] ; [20 21],[7.63636364 6.36363636] ; [22.36363636 18.63636364],0
d5,1,0.197703,1.659259,[11  3] ; [25 17],[9. 5.] ; [27. 15.],0
r4,1,0.20084,1.636255,[5 9] ; [ 8 34],[ 3.25 10.75] ; [ 9.75 32.25],0
b2,1,0.224244,1.477005,[2 8] ; [12 17],[3.58974359 6.41025641] ; [10.41025641 18.58974359],0
b3,1,0.224244,1.477005,[2 8] ; [12 17],[3.58974359 6.41025641] ; [10.41025641 18.58974359],0
n6,1,0.246219,1.344632,[9 5] ; [19 22],[7.12727273 6.87272727] ; [20.87272727 20.12727273],0
a6,1,0.353309,0.861538,[8 6] ; [18 24],[6.5 7.5] ; [19.5 22.5],0
a2,1,0.377822,0.777778,[ 3 11] ; [ 5 37],[ 2. 12.] ; [ 6. 36.],0
d2,1,0.391584,0.734018,[8 6] ; [18 23],[6.61818182 7.38181818] ; [19.38181818 21.61818182],0
v1,1,0.411409,0.674724,[5 9] ; [10 31],[ 3.81818182 10.18181818] ; [11.18181818 29.81818182],0
a8,1,0.422539,0.643242,[ 1 12] ; [ 7 35],[ 1.89090909 11.10909091] ; [ 6.10909091 35.89090909],0
s3,1,0.448756,0.573792,[6 8] ; [13 28],[4.83636364 9.16363636] ; [14.16363636 26.83636364],0
s2,1,0.45199,0.565657,[ 4 10] ; [ 8 34],[ 3. 11.] ; [ 9. 33.],0
n3,1,0.483578,0.490783,[2 1] ; [ 9 11],[1.43478261 1.56521739] ; [ 9.56521739 10.43478261],0
r2,1,0.498996,0.457071,[9 5] ; [21 18],[7.9245283 6.0754717] ; [22.0754717 16.9245283],0
d1,1,0.532884,0.388889,[7 7] ; [17 25],[6. 8.] ; [18. 24.],0
n1,1,0.537094,0.380952,[1 2] ; [11 10],[1.5 1.5] ; [10.5 10.5],0
n2,1,0.537094,0.380952,[2 1] ; [10 11],[1.5 1.5] ; [10.5 10.5],0
s8,1,0.617859,0.248889,[ 2 12] ; [ 4 38],[ 1.5 12.5] ; [ 4.5 37.5],0
r1,1,0.632585,0.228571,[6 8] ; [15 27],[5.25 8.75] ; [15.75 26.25],0
a3,1,0.676648,0.173923,[8 6] ; [26 15],[8.65454545 5.34545455] ; [25.34545455 15.65454545],0
n4,1,0.72158,0.126984,[10  4] ; [32 10],[10.5  3.5] ; [31.5 10.5],0
n5,1,0.7411,0.109162,[9 5] ; [29 13],[9.5 4.5] ; [28.5 13.5],0
d4,1,0.7411,0.109162,[10  4] ; [28 14],[9.5 4.5] ; [28.5 13.5],0
b1,1,0.752044,0.099822,[9 5] ; [25 17],[8.5 5.5] ; [25.5 16.5],0
p11,1,0.752044,0.099822,[6 8] ; [16 26],[5.5 8.5] ; [16.5 25.5],0
v3,1,0.764763,0.08954,[ 2 11] ; [ 8 34],[ 2.36363636 10.63636364] ; [ 7.63636364 34.36363636],0
u3,1,0.799782,0.064327,[1 5] ; [ 2 14],[0.81818182 5.18181818] ; [ 2.18181818 13.81818182],0
s4,1,0.81554,0.054422,[ 2 12] ; [ 5 37],[ 1.75 12.25] ; [ 5.25 36.75],0
b4,1,0.870557,0.026553,[9 5] ; [28 14],[9.25 4.75] ; [27.75 14.25],0
u2,1,0.910162,0.012731,[1 5] ; [ 3 13],[1.09090909 4.90909091] ; [ 2.90909091 13.09090909],0
s7,1,0.96446,0.001985,[3 9] ; [10 29],[3.05882353 8.94117647] ; [ 9.94117647 29.05882353],0
p1,1,1.0,0.0,[ 2 12] ; [ 6 36],[ 2. 12.] ; [ 6. 36.],0
u1,1,1.0,0.0,[ 1 13] ; [ 3 39],[ 1. 13.] ; [ 3. 39.],0
a7,1,1.0,0.0,[6 8] ; [18 24],[6. 8.] ; [18. 24.],0
