Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000244,13.460099,[12  7] ; [14 56],[ 5.5505618 13.4494382] ; [20.4494382 49.5505618],1
d3,1,0.004515,8.06408,[14  5] ; [26 44],[ 8.53932584 10.46067416] ; [31.46067416 38.53932584],0
d1,1,0.006979,7.278438,[12  7] ; [21 50],[ 6.96666667 12.03333333] ; [26.03333333 44.96666667],0
d4,1,0.017874,5.608448,[16  3] ; [38 32],[11.52808989  7.47191011] ; [42.47191011 27.52808989],0
d5,1,0.020874,5.337287,[15  4] ; [35 36],[10.55555556  8.44444444] ; [39.44444444 31.55555556],0
n6,1,0.030353,4.689195,[14  4] ; [34 35],[9.93103448 8.06896552] ; [38.06896552 30.93103448],0
p2,1,0.031222,4.640705,[13  6] ; [28 41],[ 8.85227273 10.14772727] ; [32.14772727 36.85227273],0
s2,1,0.032396,4.577398,[ 6 13] ; [ 8 62],[ 2.98876404 16.01123596] ; [11.01123596 58.98876404],0
v1,1,0.056433,3.639237,[ 8 11] ; [14 54],[ 4.8045977 14.1954023] ; [17.1954023 50.8045977],0
b3,1,0.090998,2.856625,[2 9] ; [19 22],[4.44230769 6.55769231] ; [16.55769231 24.44230769],0
b2,1,0.090998,2.856625,[2 9] ; [19 22],[4.44230769 6.55769231] ; [16.55769231 24.44230769],0
p11,1,0.094128,2.802314,[11  8] ; [26 45],[ 7.81111111 11.18888889] ; [29.18888889 41.81111111],0
p7,1,0.118,2.443673,[ 8 11] ; [16 51],[ 5.30232558 13.69767442] ; [18.69767442 48.30232558],0
p8,1,0.125349,2.349173,[ 8 11] ; [17 53],[ 5.33707865 13.66292135] ; [19.66292135 50.33707865],0
p10,1,0.142006,2.156081,[12  7] ; [30 38],[9.17241379 9.82758621] ; [32.82758621 35.17241379],0
p5,1,0.154058,2.031606,[ 3 16] ; [ 4 65],[ 1.51136364 17.48863636] ; [ 5.48863636 63.51136364],0
s4,1,0.185813,1.75051,[ 4 15] ; [ 7 64],[ 2.32222222 16.67777778] ; [ 8.67777778 62.32222222],0
p9,1,0.213629,1.546663,[12  7] ; [31 35],[9.61176471 9.38823529] ; [33.38823529 32.61176471],0
n4,1,0.225278,1.47043,[13  6] ; [37 33],[10.6741573  8.3258427] ; [39.3258427 30.6741573],0
s1,1,0.24255,1.365712,[ 3 16] ; [ 5 65],[ 1.70786517 17.29213483] ; [ 6.29213483 63.70786517],0
s3,1,0.305969,1.047995,[ 6 12] ; [15 54],[ 4.34482759 13.65517241] ; [16.65517241 52.34482759],0
u2,1,0.31125,1.025365,[2 7] ; [13 19],[3.29268293 5.70731707] ; [11.70731707 20.29268293],0
a7,1,0.316324,1.004086,[11  8] ; [31 38],[9.06818182 9.93181818] ; [32.93181818 36.06818182],0
