Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.012866,6.1875,[6 3] ; [ 5 19],[3. 6.] ; [ 8. 16.],0
p4,1,0.022234,5.227371,[3 6] ; [ 1 23],[1.09090909 7.90909091] ; [ 2.90909091 21.09090909],0
b2,1,0.032924,4.549715,[1 5] ; [9 4],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
b3,1,0.032924,4.549715,[1 5] ; [9 4],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
r2,1,0.060614,3.520507,[3 6] ; [16  7],[5.34375 3.65625] ; [13.65625  9.34375],0
p11,1,0.074447,3.182143,[3 6] ; [ 2 22],[1.36363636 7.63636364] ; [ 3.63636364 20.36363636],0
p8,1,0.079989,3.065134,[2 6] ; [ 1 23],[0.75 7.25] ; [ 2.25 21.75],0
b4,1,0.100728,2.693981,[7 2] ; [11 13],[4.90909091 4.09090909] ; [13.09090909 10.90909091],0
a6,1,0.100728,2.693981,[2 7] ; [13 11],[4.09090909 4.90909091] ; [10.90909091 13.09090909],0
n4,1,0.133975,2.245833,[3 6] ; [15  9],[4.90909091 4.09090909] ; [13.09090909 10.90909091],0
b5,1,0.160475,1.969742,[5 4] ; [ 7 17],[3.27272727 5.72727273] ; [ 8.72727273 15.27272727],0
p3,1,0.166994,1.909722,[3 6] ; [ 3 21],[1.63636364 7.36363636] ; [ 4.36363636 19.63636364],0
p9,1,0.186923,1.741707,[5 4] ; [ 7 16],[3.375 5.625] ; [ 8.625 14.375],0
d1,1,0.201754,1.62963,[1 8] ; [ 8 16],[2.45454545 6.54545455] ; [ 6.54545455 17.45454545],0
d2,1,0.216358,1.528365,[2 7] ; [11 13],[3.54545455 5.45454545] ; [ 9.45454545 14.54545455],0
d3,1,0.216358,1.528365,[2 7] ; [11 13],[3.54545455 5.45454545] ; [ 9.45454545 14.54545455],0
v4,1,0.244607,1.353846,[5 4] ; [ 8 16],[3.54545455 5.45454545] ; [ 9.45454545 14.54545455],0
s6,1,0.276271,1.185345,[2 7] ; [ 2 22],[1.09090909 7.90909091] ; [ 2.90909091 21.09090909],0
v2,1,0.298223,1.082126,[2 7] ; [ 2 21],[1.125 7.875] ; [ 2.875 20.125],0
a8,1,0.399075,0.711111,[1 7] ; [ 1 23],[0.5 7.5] ; [ 1.5 22.5],0
b1,1,0.407016,0.6875,[7 2] ; [15  9],[6. 3.] ; [16.  8.],0
s3,1,0.495868,0.463768,[3 6] ; [ 5 18],[2.25 6.75] ; [ 5.75 17.25],0
a5,1,0.517585,0.418703,[3 6] ; [11 13],[3.81818182 5.18181818] ; [10.18181818 13.81818182],0
a4,1,0.517585,0.418703,[3 6] ; [11 13],[3.81818182 5.18181818] ; [10.18181818 13.81818182],0
a3,1,0.59933,0.276008,[6 3] ; [13 10],[5.34375 3.65625] ; [13.65625  9.34375],0
d4,1,0.618698,0.247702,[5 4] ; [11 13],[4.36363636 4.63636364] ; [11.63636364 12.36363636],0
d5,1,0.618698,0.247702,[4 5] ; [13 11],[4.63636364 4.36363636] ; [12.36363636 11.63636364],0
r1,1,0.632142,0.229167,[3 6] ; [ 6 18],[2.45454545 6.54545455] ; [ 6.54545455 17.45454545],0
n2,1,0.681777,0.168132,[2 2] ; [5 8],[1.64705882 2.35294118] ; [5.35294118 7.64705882],0
p10,1,0.681867,0.168032,[3 6] ; [ 6 17],[2.53125 6.46875] ; [ 6.46875 16.53125],0
s1,1,0.804748,0.061111,[1 8] ; [ 2 22],[0.81818182 8.18181818] ; [ 2.18181818 21.81818182],0
u3,1,0.836813,0.042424,[1 2] ; [3 8],[0.85714286 2.14285714] ; [3.14285714 7.85714286],0
n5,1,0.885663,0.020677,[5 4] ; [14 10],[5.18181818 3.81818182] ; [13.81818182 10.18181818],0
n1,1,0.892795,0.018162,[2 2] ; [6 7],[1.88235294 2.11764706] ; [6.11764706 6.88235294],0
s4,1,0.913303,0.011853,[1 8] ; [ 3 21],[1.09090909 7.90909091] ; [ 2.90909091 21.09090909],0
s5,1,0.913303,0.011853,[1 8] ; [ 3 21],[1.09090909 7.90909091] ; [ 2.90909091 21.09090909],0
a7,1,0.943109,0.005093,[4 5] ; [11 13],[4.09090909 4.90909091] ; [10.90909091 13.09090909],0
v1,1,1.0,0.0,[3 6] ; [ 8 16],[3. 6.] ; [ 8. 16.],0
