Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.9e-05,18.296814,[25 20] ; [ 1 24],[16.71428571 28.28571429] ; [ 9.28571429 15.71428571],1
d5,1,0.00024,13.486667,[33 12] ; [ 7 18],[25.71428571 19.28571429] ; [14.28571429 10.71428571],1
n5,1,0.001034,10.764786,[19 26] ; [20  4],[25.43478261 19.56521739] ; [13.56521739 10.43478261],0
v4,1,0.019927,5.418269,[30 15] ; [ 9 15],[25.43478261 19.56521739] ; [13.56521739 10.43478261],0
r1,1,0.031972,4.6,[19 26] ; [ 4 20],[15. 30.] ; [ 8. 16.],0
d2,1,0.034508,4.469373,[22 22] ; [ 6 19],[17.85507246 26.14492754] ; [10.14492754 14.85507246],0
r3,1,0.034936,4.448278,[21 24] ; [ 5 19],[16.95652174 28.04347826] ; [ 9.04347826 14.95652174],0
d3,1,0.049842,3.846769,[28 17] ; [ 9 15],[24.13043478 20.86956522] ; [12.86956522 11.13043478],0
p3,1,0.050288,3.83183,[12 31] ; [ 2 23],[ 8.85294118 34.14705882] ; [ 5.14705882 19.85294118],0
a3,1,0.053401,3.731318,[29 15] ; [10 14],[25.23529412 18.76470588] ; [13.76470588 10.23529412],0
n1,1,0.091696,2.844341,[ 5 20] ; [6 7],[ 7.23684211 17.76315789] ; [3.76315789 9.23684211],0
v2,1,0.093574,2.811788,[14 30] ; [ 3 20],[11.1641791 32.8358209] ; [ 5.8358209 17.1641791],0
p1,1,0.097961,2.738426,[ 2 43] ; [ 4 21],[ 3.85714286 41.14285714] ; [ 2.14285714 22.85714286],0
s6,1,0.106878,2.599794,[13 32] ; [ 3 22],[10.28571429 34.71428571] ; [ 5.71428571 19.28571429],0
b5,1,0.108232,2.579853,[27 18] ; [10 15],[23.78571429 21.21428571] ; [13.21428571 11.78571429],0
a4,1,0.110334,2.549433,[17 27] ; [ 5 20],[14.02898551 29.97101449] ; [ 7.97101449 17.02898551],0
s5,1,0.129692,2.296186,[ 7 36] ; [ 1 24],[ 5.05882353 37.94117647] ; [ 2.94117647 22.05882353],0
a7,1,0.153059,2.041492,[25 20] ; [ 9 15],[22.17391304 22.82608696] ; [11.82608696 12.17391304],0
s3,1,0.155625,2.016234,[16 28] ; [ 5 20],[13.39130435 30.60869565] ; [ 7.60869565 17.39130435],0
v1,1,0.155625,2.016234,[16 28] ; [ 5 20],[13.39130435 30.60869565] ; [ 7.60869565 17.39130435],0
b3,1,0.170294,1.880357,[ 9 15] ; [9 6],[11.07692308 12.92307692] ; [6.92307692 8.07692308],0
b2,1,0.170294,1.880357,[ 9 15] ; [9 6],[11.07692308 12.92307692] ; [6.92307692 8.07692308],0
n4,1,0.21444,1.541197,[23 22] ; [16  8],[25.43478261 19.56521739] ; [13.56521739 10.43478261],0
u2,1,0.231998,1.428571,[6 9] ; [ 3 12],[ 4.5 10.5] ; [ 4.5 10.5],0
a8,1,0.236487,1.401416,[ 1 42] ; [ 2 21],[ 1.95454545 41.04545455] ; [ 1.04545455 21.95454545],0
n6,1,0.251413,1.315436,[21 23] ; [ 8 16],[18.76470588 25.23529412] ; [10.23529412 13.76470588],0
p10,1,0.283549,1.15,[17 28] ; [ 6 18],[15. 30.] ; [ 8. 16.],0
a5,1,0.284853,1.143791,[24 21] ; [10 15],[21.85714286 23.14285714] ; [12.14285714 12.85714286],0
p6,1,0.354135,0.858586,[ 4 40] ; [ 4 20],[ 5.17647059 38.82352941] ; [ 2.82352941 21.17647059],0
