Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,6.1e-05,16.063488,[15 35] ; [29 11],[24.44444444 25.55555556] ; [19.55555556 20.44444444],1
s8,1,0.00059,11.807474,[ 6 44] ; [18 23],[13.18681319 36.81318681] ; [10.81318681 30.18681319],1
s4,1,0.000773,11.304984,[ 1 49] ; [10 29],[ 6.17977528 43.82022472] ; [ 4.82022472 34.17977528],1
s2,1,0.001517,10.057284,[12 37] ; [23 17],[19.26966292 29.73033708] ; [15.73033708 24.26966292],0
n5,1,0.004222,8.185956,[23 27] ; [31 10],[29.67032967 20.32967033] ; [24.32967033 16.67032967],0
p4,1,0.005708,7.640232,[16 34] ; [25 16],[22.52747253 27.47252747] ; [18.47252747 22.52747253],0
s7,1,0.015202,5.892857,[12 36] ; [20 20],[17.45454545 30.54545455] ; [14.54545455 25.45454545],0
p1,1,0.083656,2.992395,[ 6 43] ; [ 1 40],[ 3.81111111 45.18888889] ; [ 3.18888889 37.81111111],0
a2,1,0.106328,2.607974,[ 4 46] ; [ 8 33],[ 6.59340659 43.40659341] ; [ 5.40659341 35.59340659],0
p8,1,0.113938,2.498738,[14 36] ; [18 23],[17.58241758 32.41758242] ; [14.41758242 26.58241758],0
b1,1,0.11645,2.464431,[21 29] ; [24 17],[24.72527473 25.27472527] ; [20.27472527 20.72527473],0
b3,1,0.155861,2.013932,[10 20] ; [ 5 24],[ 7.62711864 22.37288136] ; [ 7.37288136 21.62711864],0
b2,1,0.155861,2.013932,[10 20] ; [ 5 24],[ 7.62711864 22.37288136] ; [ 7.37288136 21.62711864],0
u3,1,0.182422,1.777778,[13 12] ; [11  4],[15. 10.] ; [9. 6.],0
d3,1,0.182429,1.777726,[26 24] ; [27 14],[29.12087912 20.87912088] ; [23.87912088 17.12087912],0
u1,1,0.186489,1.745142,[ 4 46] ; [ 7 34],[ 6.04395604 43.95604396] ; [ 4.95604396 36.04395604],0
a3,1,0.19956,1.645594,[25 25] ; [26 15],[28.02197802 21.97802198] ; [22.97802198 18.02197802],0
b5,1,0.19956,1.645594,[25 25] ; [26 15],[28.02197802 21.97802198] ; [22.97802198 18.02197802],0
