Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,27.026087,[21 91] ; [90 94],[42. 70.] ; [ 69. 115.],1
a6,1,0.00017,14.134377,[50 62] ; [123  61],[65.45945946 46.54054054] ; [107.54054054  76.45945946],1
r4,1,0.000393,12.563147,[82 30] ; [164  20],[93.08108108 18.91891892] ; [152.91891892  31.08108108],1
r3,1,0.00136,10.258954,[93 19] ; [172  10],[100.95238095  11.04761905] ; [164.04761905  17.95238095],0
u3,1,0.004599,8.030617,[16 33] ; [44 31],[23.70967742 25.29032258] ; [36.29032258 38.70967742],0
b5,1,0.00832,6.963306,[55 57] ; [119  65],[65.83783784 46.16216216] ; [108.16216216  75.83783784],0
s7,1,0.014324,5.997824,[58 50] ; [ 65 103],[48.13043478 59.86956522] ; [74.86956522 93.13043478],0
b3,1,0.018221,5.574739,[38 42] ; [31 71],[30.32967033 49.67032967] ; [38.67032967 63.32967033],0
b2,1,0.018221,5.574739,[38 42] ; [31 71],[30.32967033 49.67032967] ; [38.67032967 63.32967033],0
s8,1,0.023987,5.095602,[47 65] ; [ 53 129],[38.0952381 73.9047619] ; [ 61.9047619 120.0952381],0
r2,1,0.024312,5.072209,[93 18] ; [167  14],[98.83561644 12.16438356] ; [161.16438356  19.83561644],0
a5,1,0.028287,4.810517,[58 54] ; [119  65],[66.97297297 45.02702703] ; [110.02702703  73.97297297],0
d4,1,0.033362,4.527095,[54 58] ; [112  72],[62.81081081 49.18918919] ; [103.18918919  80.81081081],0
v4,1,0.038877,4.266243,[94 16] ; [170  13],[99.11262799 10.88737201] ; [164.88737201  18.11262799],0
d2,1,0.05937,3.554884,[23 88] ; [ 23 161],[17.30847458 93.69152542] ; [ 28.69152542 155.30847458],0
d5,1,0.067146,3.351449,[56 56] ; [112  72],[63.56756757 48.43243243] ; [104.43243243  79.56756757],0
p2,1,0.069941,3.284393,[81 29] ; [151  32],[87.09897611 22.90102389] ; [144.90102389  38.09897611],0
r1,1,0.116098,2.469185,[75 37] ; [138  45],[80.86779661 31.13220339] ; [132.13220339  50.86779661],0
a2,1,0.11888,2.432016,[  4 108] ; [ 15 169],[  7.18918919 104.81081081] ; [ 11.81081081 172.18918919],0
v2,1,0.133902,2.246675,[44 61] ; [90 86],[50.07117438 54.92882562] ; [83.92882562 92.07117438],0
p12,1,0.1719,1.866294,[ 10 100] ; [  9 171],[  7.20689655 102.79310345] ; [ 11.79310345 168.20689655],0
s4,1,0.175872,1.832161,[20 92] ; [ 22 159],[16.05460751 95.94539249] ; [ 25.94539249 155.05460751],0
a8,1,0.186077,1.748405,[13 92] ; [ 32 142],[16.93548387 88.06451613] ; [ 28.06451613 145.93548387],0
p9,1,0.235039,1.410105,[80 29] ; [143  37],[84.10726644 24.89273356] ; [138.89273356  41.10726644],0
p8,1,0.261147,1.262667,[46 64] ; [87 92],[50.62283737 59.37716263] ; [82.37716263 96.62283737],0
p10,1,0.266879,1.232716,[77 32] ; [137  42],[80.99305556 28.00694444] ; [133.00694444  45.99305556],0
p4,1,0.29915,1.077978,[51 60] ; [95 87],[55.3105802 55.6894198] ; [90.6894198 91.3105802],0
n3,1,0.303701,1.057873,[23 11] ; [26  7],[24.86567164  9.13432836] ; [24.13432836  8.86567164],0
s1,1,0.334616,0.930951,[  7 103] ; [  7 174],[  5.29209622 104.70790378] ; [  8.70790378 172.29209622],0
n2,1,0.345446,0.890116,[26 10] ; [27  6],[27.65217391  8.34782609] ; [25.34782609  7.65217391],0
