Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2.7e-05,17.618134,[ 22 133] ; [18 23],[ 31.63265306 123.36734694] ; [ 8.36734694 32.63265306],1
s2,1,0.000271,13.25827,[ 52 109] ; [28 17],[62.52427184 98.47572816] ; [17.47572816 27.52427184],1
s7,1,0.000561,11.90114,[ 41 112] ; [24 20],[ 50.4822335 102.5177665] ; [14.5177665 29.4822335],1
s6,1,0.006526,7.398867,[66 92] ; [28 15],[73.89054726 84.10945274] ; [20.10945274 22.89054726],0
u3,1,0.006969,7.280879,[16 43] ; [15 11],[21.51764706 37.48235294] ; [ 9.48235294 16.51764706],0
a3,1,0.011921,6.322578,[101  59] ; [19 26],[93.65853659 66.34146341] ; [26.34146341 18.65853659],0
n4,1,0.015521,5.85629,[107  54] ; [21 24],[100.03883495  60.96116505] ; [27.96116505 17.03883495],0
s1,1,0.022087,5.238909,[  3 157] ; [ 4 41],[  5.46341463 154.53658537] ; [ 1.53658537 43.46341463],0
a2,1,0.037725,4.317382,[ 21 140] ; [ 1 44],[ 17.19417476 143.80582524] ; [ 4.80582524 40.19417476],0
a6,1,0.045266,4.008698,[95 66] ; [19 26],[89.09708738 71.90291262] ; [24.90291262 20.09708738],0
a8,1,0.055832,3.657051,[ 19 136] ; [ 1 42],[ 15.65656566 139.34343434] ; [ 4.34343434 38.65656566],0
s3,1,0.145834,2.115289,[65 93] ; [24 21],[69.27093596 88.72906404] ; [19.72906404 25.27093596],0
s8,1,0.181052,1.788968,[ 41 120] ; [16 29],[ 44.54854369 116.45145631] ; [12.45145631 32.54854369],0
p7,1,0.219884,1.505129,[72 87] ; [24 19],[75.56435644 83.43564356] ; [20.43564356 22.56435644],0
u2,1,0.272525,1.203995,[22 37] ; [13 13],[24.29411765 34.70588235] ; [10.70588235 15.29411765],0
v3,1,0.287345,1.132021,[ 45 113] ; [ 9 35],[ 42.23762376 115.76237624] ; [11.76237624 32.23762376],0
p8,1,0.29877,1.079676,[ 53 106] ; [18 25],[ 55.88613861 103.11386139] ; [15.11386139 27.88613861],0
p2,1,0.368937,0.807241,[106  54] ; [33 12],[108.48780488  51.51219512] ; [30.51219512 14.48780488],0
a5,1,0.381439,0.766058,[87 74] ; [21 24],[84.40776699 76.59223301] ; [23.59223301 21.40776699],0
v4,1,0.398845,0.711806,[126  34] ; [38  7],[128.  32.] ; [36.  9.],0
b1,1,0.405873,0.690858,[72 89] ; [17 28],[69.55825243 91.44174757] ; [19.44174757 25.55825243],0
b5,1,0.447457,0.577087,[103  58] ; [26 19],[100.82038835  60.17961165] ; [28.17961165 16.82038835],0
p6,1,0.449597,0.571669,[ 44 112] ; [15 29],[ 46.02 109.98] ; [12.98 31.02],0
a1,1,0.478314,0.502704,[ 12 149] ; [ 2 43],[ 10.94174757 150.05825243] ; [ 3.05825243 41.94174757],0
v2,1,0.496156,0.463149,[62 94] ; [15 29],[60.06 95.94] ; [16.94 27.06],0
