Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.009043,6.814243,[6 8] ; [10 64],[ 2.54545455 11.45454545] ; [13.45454545 60.54545455],0
b3,1,0.010487,6.550211,[6 2] ; [12 31],[2.82352941 5.17647059] ; [15.17647059 27.82352941],0
b2,1,0.010487,6.550211,[6 2] ; [12 31],[2.82352941 5.17647059] ; [15.17647059 27.82352941],0
a3,1,0.011417,6.399226,[11  3] ; [30 42],[6.6744186 7.3255814] ; [34.3255814 37.6744186],0
p1,1,0.018025,5.593747,[ 3 11] ; [ 3 71],[ 0.95454545 13.04545455] ; [ 5.04545455 68.95454545],0
a2,1,0.056394,3.640375,[ 2 12] ; [ 2 72],[ 0.63636364 13.36363636] ; [ 3.36363636 70.63636364],0
s6,1,0.097816,2.740798,[8 6] ; [25 49],[5.25 8.75] ; [27.75 46.25],0
s2,1,0.120477,2.411105,[6 8] ; [17 57],[ 3.65909091 10.34090909] ; [19.34090909 54.65909091],0
v1,1,0.127982,2.31681,[7 7] ; [21 51],[4.55813953 9.44186047] ; [23.44186047 48.55813953],0
d5,1,0.177909,1.815002,[8 6] ; [28 46],[5.72727273 8.27272727] ; [30.27272727 43.72727273],0
a5,1,0.177909,1.815002,[8 6] ; [28 46],[5.72727273 8.27272727] ; [30.27272727 43.72727273],0
r2,1,0.186273,1.74685,[9 5] ; [31 38],[6.74698795 7.25301205] ; [33.25301205 35.74698795],0
s7,1,0.194924,1.68,[6 8] ; [18 52],[ 4. 10.] ; [20. 50.],0
d3,1,0.202427,1.624776,[6 8] ; [19 54],[4.02298851 9.97701149] ; [20.97701149 52.02298851],0
n2,1,0.20586,1.600304,[6 1] ; [20 13],[4.55 2.45] ; [21.45 11.55],0
p2,1,0.206996,1.592316,[7 7] ; [50 24],[9.06818182 4.93181818] ; [47.93181818 26.06818182],0
d4,1,0.208084,1.584708,[9 5] ; [34 40],[6.84090909 7.15909091] ; [36.15909091 37.84090909],0
p11,1,0.208084,1.584708,[5 9] ; [40 34],[7.15909091 6.84090909] ; [37.84090909 36.15909091],0
n5,1,0.213132,1.550026,[11  3] ; [44 28],[8.95348837 5.04651163] ; [46.04651163 25.95348837],0
n4,1,0.228771,1.448486,[10  4] ; [40 34],[7.95454545 6.04545455] ; [42.04545455 31.95454545],0
a6,1,0.250127,1.322593,[8 6] ; [30 44],[6.04545455 7.95454545] ; [31.95454545 42.04545455],0
p3,1,0.312684,1.019305,[5 9] ; [17 57],[ 3.5 10.5] ; [18.5 55.5],0
r1,1,0.312684,1.019305,[ 2 12] ; [20 54],[ 3.5 10.5] ; [18.5 55.5],0
b1,1,0.338165,0.917375,[6 8] ; [42 32],[7.63636364 6.36363636] ; [40.36363636 33.63636364],0
d2,1,0.3389,0.914588,[ 4 10] ; [13 61],[ 2.70454545 11.29545455] ; [14.29545455 59.70454545],0
n1,1,0.388237,0.744456,[4 3] ; [13 20],[2.975 4.025] ; [14.025 18.975],0
p12,1,0.408193,0.684058,[ 1 13] ; [ 2 71],[ 0.48275862 13.51724138] ; [ 2.51724138 70.48275862],0
n6,1,0.428711,0.626313,[9 5] ; [38 34],[7.65116279 6.34883721] ; [39.34883721 32.65116279],0
b4,1,0.441799,0.591605,[6 8] ; [40 34],[7.31818182 6.68181818] ; [38.68181818 35.31818182],0
s1,1,0.460932,0.543629,[ 2 12] ; [ 6 68],[ 1.27272727 12.72727273] ; [ 6.72727273 67.27272727],0
v4,1,0.462959,0.538732,[7 7] ; [43 28],[8.23529412 5.76470588] ; [41.76470588 29.23529412],0
n3,1,0.477099,0.505488,[3 4] ; [19 14],[3.85 3.15] ; [18.15 14.85],0
a4,1,0.488785,0.4792,[ 4 10] ; [15 59],[ 3.02272727 10.97727273] ; [15.97727273 58.02272727],0
r3,1,0.496842,0.461675,[6 8] ; [38 34],[7.1627907 6.8372093] ; [36.8372093 35.1627907],0
a1,1,0.584717,0.298671,[ 2 12] ; [ 7 67],[ 1.43181818 12.56818182] ; [ 7.56818182 66.43181818],0
p8,1,0.611449,0.25807,[ 4 10] ; [26 47],[4.82758621 9.17241379] ; [25.17241379 47.82758621],0
p5,1,0.619616,0.246407,[ 1 13] ; [ 3 70],[ 0.64367816 13.35632184] ; [ 3.35632184 69.64367816],0
s3,1,0.631992,0.229369,[ 4 10] ; [25 46],[4.77647059 9.22352941] ; [24.22352941 46.77647059],0
p9,1,0.67828,0.172069,[9 5] ; [42 30],[8.30232558 5.69767442] ; [42.69767442 29.30232558],0
b5,1,0.78036,0.077757,[7 7] ; [40 34],[7.47727273 6.52272727] ; [39.52272727 34.47727273],0
p10,1,0.803712,0.061775,[8 6] ; [38 33],[7.57647059 6.42352941] ; [38.42352941 32.57647059],0
s5,1,0.854761,0.033506,[ 2 12] ; [ 9 63],[ 1.79069767 12.20930233] ; [ 9.20930233 62.79069767],0
v2,1,0.865943,0.028498,[ 4 10] ; [19 53],[ 3.74418605 10.25581395] ; [19.25581395 52.74418605],0
u2,1,0.871503,0.026163,[1 1] ; [19 24],[0.88888889 1.11111111] ; [19.11111111 23.88888889],0
u3,1,0.910149,0.012735,[1 2] ; [13 30],[0.91304348 2.08695652] ; [13.08695652 29.91304348],0
p7,1,0.924215,0.009049,[7 7] ; [35 37],[6.8372093 7.1627907] ; [35.1627907 36.8372093],0
a7,1,0.946508,0.004501,[6 8] ; [31 43],[5.88636364 8.11363636] ; [31.11363636 42.88636364],0
p6,1,0.960048,0.002509,[ 3 11] ; [15 57],[ 2.93023256 11.06976744] ; [15.06976744 56.93023256],0
p4,1,0.966817,0.001731,[5 9] ; [26 48],[4.93181818 9.06818182] ; [26.06818182 47.93181818],0
