Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,24.382185,[112  16] ; [21 20],[100.73372781  27.26627219] ; [32.26627219  8.73372781],1
s5,1,6e-05,16.099368,[48 72] ; [ 2 36],[37.97468354 82.02531646] ; [12.02531646 25.97468354],1
s7,1,0.000233,13.546804,[78 46] ; [11 27],[68.12345679 55.87654321] ; [20.87654321 17.12345679],1
p4,1,0.000267,13.288837,[68 63] ; [ 8 33],[57.88372093 73.11627907] ; [18.11627907 22.88372093],1
s8,1,0.002015,9.535566,[74 56] ; [12 29],[65.38011696 64.61988304] ; [20.61988304 20.38011696],0
r4,1,0.006403,7.433135,[118  13] ; [30 11],[112.72093023  18.27906977] ; [35.27906977  5.72093023],0
p9,1,0.006658,7.36307,[109  19] ; [27 14],[103.00591716  24.99408284] ; [32.99408284  8.00591716],0
b5,1,0.007117,7.243227,[91 40] ; [19 22],[83.77906977 47.22093023] ; [26.22093023 14.77906977],0
s4,1,0.01065,6.522736,[34 96] ; [ 3 38],[ 28.12865497 101.87134503] ; [ 8.87134503 32.12865497],0
p3,1,0.023754,5.11251,[55 75] ; [ 9 31],[48.94117647 81.05882353] ; [15.05882353 24.94117647],0
u3,1,0.026505,4.92278,[28  9] ; [6 8],[24.66666667 12.33333333] ; [9.33333333 4.66666667],0
v1,1,0.042278,4.124025,[64 58] ; [14 27],[58.3803681 63.6196319] ; [19.6196319 21.3803681],0
n3,1,0.052897,3.747172,[30 10] ; [6 7],[27.16981132 12.83018868] ; [8.83018868 4.16981132],0
p12,1,0.057276,3.614555,[ 17 113] ; [ 1 39],[ 13.76470588 116.23529412] ; [ 4.23529412 35.76470588],0
v4,1,0.072562,3.224103,[123   8] ; [34  6],[120.2748538  10.7251462] ; [36.7251462  3.2748538],0
d2,1,0.078435,3.097042,[78 53] ; [18 23],[73.11627907 57.88372093] ; [22.88372093 18.11627907],0
b1,1,0.089417,2.884845,[51 80] ; [10 31],[46.45930233 84.54069767] ; [14.54069767 26.45930233],0
a6,1,0.097176,2.751282,[77 54] ; [30 11],[81.49418605 49.50581395] ; [25.50581395 15.49418605],0
a7,1,0.188107,1.732385,[97 34] ; [26 15],[93.68023256 37.31976744] ; [29.31976744 11.68023256],0
n6,1,0.204461,1.610223,[105  26] ; [29 12],[102.05813953  28.94186047] ; [31.94186047  9.05813953],0
b2,1,0.212768,1.552491,[26 50] ; [9 9],[28.29787234 47.70212766] ; [ 6.70212766 11.29787234],0
b3,1,0.212768,1.552491,[26 50] ; [9 9],[28.29787234 47.70212766] ; [ 6.70212766 11.29787234],0
p6,1,0.213234,1.549329,[ 24 107] ; [ 4 36],[ 21.4502924 109.5497076] ; [ 6.5497076 33.4502924],0
a1,1,0.214022,1.544006,[  2 129] ; [ 2 39],[  3.04651163 127.95348837] ; [ 0.95348837 40.04651163],0
n1,1,0.214193,1.542857,[22 18] ; [5 9],[20. 20.] ; [7. 7.],0
d4,1,0.224242,1.477016,[110  21] ; [31 10],[107.38953488  23.61046512] ; [33.61046512  7.38953488],0
a5,1,0.22461,1.474671,[96 35] ; [26 15],[92.91860465 38.08139535] ; [29.08139535 11.91860465],0
n2,1,0.275349,1.189904,[30 10] ; [9 6],[28.36363636 11.63636364] ; [10.63636364  4.36363636],0
p10,1,0.278166,1.17603,[99 30] ; [28 13],[96.37058824 32.62941176] ; [30.62941176 10.37058824],0
r1,1,0.307989,1.039279,[102  28] ; [29 12],[99.59064327 30.40935673] ; [31.40935673  9.59064327],0
d1,1,0.309648,1.032176,[85 46] ; [23 18],[82.25581395 48.74418605] ; [25.74418605 15.25581395],0
a2,1,0.428054,0.628097,[ 30 101] ; [ 7 34],[ 28.18023256 102.81976744] ; [ 8.81976744 32.18023256],0
a8,1,0.433969,0.612177,[ 14 106] ; [ 3 38],[ 12.67080745 107.32919255] ; [ 4.32919255 36.67080745],0
p8,1,0.442536,0.589699,[33 97] ; [ 8 33],[31.16959064 98.83040936] ; [ 9.83040936 31.16959064],0
u1,1,0.454092,0.560417,[ 26 105] ; [ 6 35],[ 24.37209302 106.62790698] ; [ 7.62790698 33.37209302],0
v2,1,0.458021,0.550726,[62 61] ; [17 22],[59.98148148 63.01851852] ; [19.01851852 19.98148148],0
a3,1,0.470212,0.521478,[94 37] ; [27 14],[92.15697674 38.84302326] ; [28.84302326 12.15697674],0
p2,1,0.470648,0.520454,[97 34] ; [28 13],[95.20348837 35.79651163] ; [29.79651163 11.20348837],0
u2,1,0.474769,0.510856,[22 14] ; [7 7],[20.88 15.12] ; [8.12 5.88],0
n5,1,0.531807,0.390937,[93 38] ; [27 14],[91.39534884 39.60465116] ; [28.60465116 12.39534884],0
r3,1,0.541798,0.372217,[122   9] ; [37  4],[121.09883721   9.90116279] ; [37.90116279  3.09883721],0
r2,1,0.584724,0.298659,[126   4] ; [39  2],[125.43859649   4.56140351] ; [39.56140351  1.43859649],0
d3,1,0.688367,0.160859,[85 46] ; [28 13],[86.06395349 44.93604651] ; [26.93604651 14.06395349],0
p1,1,0.762626,0.091224,[ 15 116] ; [ 4 37],[ 14.47093023 116.52906977] ; [ 4.52906977 36.47093023],0
s1,1,0.786226,0.073558,[  8 122] ; [ 2 38],[  7.64705882 122.35294118] ; [ 2.35294118 37.64705882],0
b4,1,0.787486,0.072672,[80 51] ; [26 15],[80.73255814 50.26744186] ; [25.26744186 15.73255814],0
p11,1,0.803612,0.061839,[89 42] ; [27 14],[88.34883721 42.65116279] ; [27.65116279 13.34883721],0
a4,1,0.816345,0.053939,[58 73] ; [19 22],[58.64534884 72.35465116] ; [18.35465116 22.64534884],0
v3,1,0.821557,0.05087,[40 81] ; [14 26],[40.58385093 80.41614907] ; [13.41614907 26.58385093],0
n4,1,0.833793,0.044033,[98 33] ; [30 11],[97.48837209 33.51162791] ; [30.51162791 10.48837209],0
d5,1,0.853904,0.033908,[104  27] ; [32  9],[103.58139535  27.41860465] ; [32.41860465  8.58139535],0
p5,1,0.950551,0.003846,[  9 119] ; [ 3 38],[  9.0887574 118.9112426] ; [ 2.9112426 38.0887574],0
