Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.010616,6.528497,[22  7] ; [16 20],[16.95384615 12.04615385] ; [21.04615385 14.95384615],0
n5,1,0.01213,6.291834,[12 17] ; [26 10],[16.95384615 12.04615385] ; [21.04615385 14.95384615],0
p7,1,0.041477,4.156428,[17 12] ; [12 24],[12.93846154 16.06153846] ; [16.06153846 19.93846154],0
n4,1,0.041477,4.156428,[12 17] ; [24 12],[16.06153846 12.93846154] ; [19.93846154 16.06153846],0
p4,1,0.078449,3.096741,[ 9 20] ; [19 17],[12.49230769 16.50769231] ; [15.50769231 20.49230769],0
p11,1,0.083322,2.998883,[14 15] ; [25 11],[17.4 11.6] ; [21.6 14.4],0
s8,1,0.142247,2.153482,[ 5 24] ; [12 24],[ 7.58461538 21.41538462] ; [ 9.41538462 26.58461538],0
p2,1,0.144359,2.130867,[15 14] ; [25 11],[17.84615385 11.15384615] ; [22.15384615 13.84615385],0
p9,1,0.148605,2.086515,[13 15] ; [22 12],[15.80645161 12.19354839] ; [19.19354839 14.80645161],0
u2,1,0.154157,2.030625,[11  5] ; [ 9 11],[8.88888889 7.11111111] ; [11.11111111  8.88888889],0
r3,1,0.183964,1.765308,[17 12] ; [26  9],[19.484375  9.515625] ; [23.515625 11.484375],0
s2,1,0.191966,1.702463,[ 5 24] ; [11 24],[ 7.25 21.75] ; [ 8.75 26.25],0
b4,1,0.206369,1.596718,[14 15] ; [23 13],[16.50769231 12.49230769] ; [20.49230769 15.50769231],0
a2,1,0.20697,1.592492,[ 3 26] ; [ 1 35],[ 1.78461538 27.21538462] ; [ 2.21538462 33.78461538],0
a1,1,0.20697,1.592492,[ 3 26] ; [ 1 35],[ 1.78461538 27.21538462] ; [ 2.21538462 33.78461538],0
d3,1,0.255784,1.291434,[12 17] ; [20 16],[14.27692308 14.72307692] ; [17.72307692 18.27692308],0
p6,1,0.281862,1.158088,[ 7 21] ; [ 5 30],[ 5.33333333 22.66666667] ; [ 6.66666667 28.33333333],0
n2,1,0.344503,0.893601,[7 6] ; [10  4],[8.18518519 4.81481481] ; [8.81481481 5.18518519],0
r1,1,0.384238,0.757099,[11 18] ; [10 26],[ 9.36923077 19.63076923] ; [11.63076923 24.36923077],0
v1,1,0.403394,0.698187,[10 19] ; [ 9 27],[ 8.47692308 20.52307692] ; [10.52307692 25.47692308],0
p1,1,0.415261,0.663687,[ 1 28] ; [ 3 33],[ 1.78461538 27.21538462] ; [ 2.21538462 33.78461538],0
a4,1,0.421618,0.6458,[ 9 20] ; [ 8 28],[ 7.58461538 21.41538462] ; [ 9.41538462 26.58461538],0
b5,1,0.447423,0.577172,[15 14] ; [22 14],[16.50769231 12.49230769] ; [20.49230769 15.50769231],0
b3,1,0.479265,0.500535,[ 3 14] ; [ 6 16],[ 3.92307692 13.07692308] ; [ 5.07692308 16.92307692],0
b2,1,0.479265,0.500535,[ 3 14] ; [ 6 16],[ 3.92307692 13.07692308] ; [ 5.07692308 16.92307692],0
s5,1,0.480276,0.498238,[ 4 25] ; [ 3 33],[ 3.12307692 25.87692308] ; [ 3.87692308 32.12307692],0
d1,1,0.509609,0.434871,[ 6 23] ; [10 26],[ 7.13846154 21.86153846] ; [ 8.86153846 27.13846154],0
p10,1,0.535351,0.384224,[13 15] ; [19 16],[14.22222222 13.77777778] ; [17.77777778 17.22222222],0
p3,1,0.560624,0.338624,[ 6 22] ; [10 26],[ 7. 21.] ; [ 9. 27.],0
n3,1,0.581206,0.304289,[7 6] ; [9 5],[7.7037037 5.2962963] ; [8.2962963 5.7037037],0
d5,1,0.594137,0.28393,[15 14] ; [21 15],[16.06153846 12.93846154] ; [19.93846154 16.06153846],0
s7,1,0.621218,0.244159,[ 5 19] ; [ 9 25],[ 5.79310345 18.20689655] ; [ 8.20689655 25.79310345],0
v4,1,0.629114,0.233265,[16 13] ; [22 14],[16.95384615 12.04615385] ; [21.04615385 14.95384615],0
u3,1,0.677392,0.173077,[ 5 11] ; [ 5 15],[ 4.44444444 11.55555556] ; [ 5.55555556 14.44444444],0
p12,1,0.687311,0.162011,[ 1 28] ; [ 2 34],[ 1.33846154 27.66153846] ; [ 1.66153846 34.33846154],0
d2,1,0.739943,0.110177,[ 7 22] ; [10 26],[ 7.58461538 21.41538462] ; [ 9.41538462 26.58461538],0
s3,1,0.758906,0.094199,[ 9 19] ; [10 25],[ 8.44444444 19.55555556] ; [10.55555556 24.44444444],0
a8,1,0.802927,0.06228,[ 4 24] ; [ 4 29],[ 3.67213115 24.32786885] ; [ 4.32786885 28.67213115],0
v3,1,0.819984,0.051786,[ 5 24] ; [ 7 29],[ 5.35384615 23.64615385] ; [ 6.64615385 29.35384615],0
s1,1,0.823041,0.050013,[ 2 27] ; [ 2 34],[ 1.78461538 27.21538462] ; [ 2.21538462 33.78461538],0
a6,1,0.847343,0.03706,[13 16] ; [17 19],[13.38461538 15.61538462] ; [16.61538462 19.38461538],0
a3,1,0.874313,0.025022,[13 15] ; [16 20],[12.6875 15.3125] ; [16.3125 19.6875],0
a7,1,0.890073,0.019103,[15 14] ; [18 18],[14.72307692 14.27692308] ; [18.27692308 17.72307692],0
d4,1,0.891442,0.018627,[19 10] ; [23 13],[18.73846154 10.26153846] ; [23.26153846 12.73846154],0
n1,1,0.900552,0.015616,[4 9] ; [ 4 10],[3.85185185 9.14814815] ; [4.14814815 9.85185185],0
s4,1,0.900713,0.015565,[ 6 23] ; [ 7 29],[ 5.8 23.2] ; [ 7.2 28.8],0
r4,1,0.900713,0.015565,[ 6 23] ; [ 7 29],[ 5.8 23.2] ; [ 7.2 28.8],0
p8,1,0.922447,0.009477,[10 19] ; [12 24],[ 9.81538462 19.18461538] ; [12.18461538 23.81538462],0
s6,1,0.937108,0.006226,[11 18] ; [14 22],[11.15384615 17.84615385] ; [13.84615385 22.15384615],0
v2,1,0.939784,0.005707,[10 17] ; [13 23],[ 9.85714286 17.14285714] ; [13.14285714 22.85714286],0
a5,1,0.975357,0.000954,[13 16] ; [16 20],[12.93846154 16.06153846] ; [16.06153846 19.93846154],0
