Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.5e-05,18.76507,[122  28] ; [51 41],[107.23140496  42.76859504] ; [65.76859504 26.23140496],1
p8,1,0.00042,12.442106,[106  41] ; [45 46],[93.26470588 53.73529412] ; [57.73529412 33.26470588],1
p12,1,0.002606,9.064966,[ 26 122] ; [ 4 88],[ 18.5 129.5] ; [11.5 80.5],0
p7,1,0.008127,7.005351,[120  27] ; [57 29],[111.6695279  35.3304721] ; [65.3304721 20.6695279],0
p6,1,0.008441,6.937427,[88 59] ; [39 53],[78.11297071 68.88702929] ; [48.88702929 43.11297071],0
p5,1,0.008742,6.874751,[ 37 112] ; [10 81],[ 29.17916667 119.82083333] ; [17.82083333 73.17916667],0
d1,1,0.011742,6.349355,[109  41] ; [53 40],[100.  50.] ; [62. 31.],0
p2,1,0.014972,5.919716,[135  14] ; [74 19],[128.68181818  20.31818182] ; [80.31818182 12.68181818],0
v3,1,0.033541,4.51793,[90 54] ; [43 46],[82.19742489 61.80257511] ; [50.80257511 38.19742489],0
n6,1,0.046684,3.95673,[135  13] ; [76 16],[130.11666667  17.88333333] ; [80.88333333 11.11666667],0
b3,1,0.050434,3.826957,[56 54] ; [24 43],[49.71751412 60.28248588] ; [30.28248588 36.71751412],0
b2,1,0.050434,3.826957,[56 54] ; [24 43],[49.71751412 60.28248588] ; [30.28248588 36.71751412],0
n5,1,0.050518,3.824193,[132  17] ; [73 19],[126.74273859  22.25726141] ; [78.25726141 13.74273859],0
n4,1,0.050518,3.824193,[132  17] ; [73 19],[126.74273859  22.25726141] ; [78.25726141 13.74273859],0
r2,1,0.06758,3.340853,[146   2] ; [87  5],[143.68333333   4.31666667] ; [89.31666667  2.68333333],0
b1,1,0.08004,3.064091,[67 83] ; [31 62],[60.49382716 89.50617284] ; [37.50617284 55.49382716],0
s1,1,0.093843,2.807185,[  8 141] ; [ 1 89],[  5.61087866 143.38912134] ; [ 3.38912134 86.61087866],0
v2,1,0.100474,2.698005,[108  37] ; [58 32],[102.42553191  42.57446809] ; [63.57446809 26.42553191],0
a5,1,0.116132,2.46872,[128  22] ; [72 21],[123.45679012  26.54320988] ; [76.54320988 16.45679012],0
p10,1,0.122096,2.390221,[136  12] ; [77 13],[132.45378151  15.54621849] ; [80.54621849  9.45378151],0
r1,1,0.141391,2.16275,[127  23] ; [83  8],[130.70539419  19.29460581] ; [79.29460581 11.70539419],0
b5,1,0.144827,2.125912,[91 59] ; [65 28],[96.2962963 53.7037037] ; [59.7037037 33.2962963],0
d5,1,0.148618,2.086378,[133  16] ; [77 16],[129.29752066  19.70247934] ; [80.70247934 12.29752066],0
p1,1,0.151454,2.057545,[ 20 128] ; [ 7 86],[ 16.58091286 131.41908714] ; [10.41908714 82.58091286],0
a3,1,0.16101,1.964711,[126  23] ; [72 21],[121.90909091  27.09090909] ; [76.09090909 16.90909091],0
p9,1,0.203726,1.615458,[142   7] ; [83  8],[139.6875   9.3125] ; [85.3125  5.6875],0
s5,1,0.208079,1.584743,[78 62] ; [42 47],[73.36244541 66.63755459] ; [46.63755459 42.36244541],0
a8,1,0.211909,1.558334,[ 24 112] ; [20 61],[ 27.57603687 108.42396313] ; [16.42396313 64.57603687],0
p11,1,0.220433,1.50155,[127  23] ; [73 20],[123.45679012  26.54320988] ; [76.54320988 16.45679012],0
d4,1,0.222239,1.489852,[133  16] ; [78 15],[129.91322314  19.08677686] ; [81.08677686 11.91322314],0
a1,1,0.25846,1.276985,[ 12 138] ; [ 4 89],[  9.87654321 140.12345679] ; [ 6.12345679 86.87654321],0
n1,1,0.268129,1.226296,[14  7] ; [11 11],[12.20930233  8.79069767] ; [12.79069767  9.20930233],0
a4,1,0.271908,1.207098,[73 77] ; [52 41],[77.16049383 72.83950617] ; [47.83950617 45.16049383],0
s2,1,0.274701,1.193119,[115  33] ; [65 26],[111.46443515  36.53556485] ; [68.53556485 22.46443515],0
u2,1,0.304559,1.054126,[13 10] ; [15  6],[14.63636364  8.36363636] ; [13.36363636  7.63636364],0
r4,1,0.352344,0.864996,[143   7] ; [86  7],[141.35802469   8.64197531] ; [87.64197531  5.35802469],0
n2,1,0.412773,0.670801,[19  2] ; [18  4],[18.06976744  2.93023256] ; [18.93023256  3.06976744],0
u4,1,0.442422,0.589992,[  8 142] ; [ 3 90],[  6.79012346 143.20987654] ; [ 4.20987654 88.79012346],0
a6,1,0.45037,0.56972,[100  49] ; [58 35],[97.28099174 51.71900826] ; [60.71900826 32.28099174],0
u3,1,0.53835,0.378606,[18  6] ; [14  7],[17.06666667  6.93333333] ; [14.93333333  6.06666667],0
d3,1,0.551669,0.354336,[106  44] ; [69 24],[108.02469136  41.97530864] ; [66.97530864 26.02469136],0
u1,1,0.571886,0.319537,[ 37 113] ; [20 73],[ 35.18518519 114.81481481] ; [21.81481481 71.18518519],0
n3,1,0.585705,0.297102,[15  6] ; [14  8],[14.1627907  6.8372093] ; [14.8372093  7.1627907],0
a7,1,0.602546,0.271172,[101  48] ; [66 27],[102.82231405  46.17768595] ; [64.17768595 28.82231405],0
s6,1,0.67284,0.178298,[123  24] ; [78 13],[124.14705882  22.85294118] ; [76.85294118 14.14705882],0
