Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,26.864367,[ 4 33] ; [47 28],[16.84821429 20.15178571] ; [34.15178571 40.84821429],1
a3,1,2e-06,22.828622,[14 23] ; [62 13],[25.10714286 11.89285714] ; [50.89285714 24.10714286],1
v2,1,0.000322,12.936444,[10 24] ; [48 24],[18.60377358 15.39622642] ; [39.39622642 32.60377358],1
d2,1,0.000745,11.372951,[12 25] ; [49 25],[20.33333333 16.66666667] ; [40.66666667 33.33333333],1
a6,1,0.001531,10.040869,[15 22] ; [53 21],[22.66666667 14.33333333] ; [45.33333333 28.66666667],0
u1,1,0.00253,9.118677,[ 2 35] ; [23 52],[ 8.25892857 28.74107143] ; [16.74107143 58.25892857],0
d1,1,0.008804,6.862251,[14 23] ; [48 27],[20.48214286 16.51785714] ; [41.51785714 33.48214286],0
p5,1,0.026902,4.897059,[ 6 31] ; [ 3 71],[ 3. 34.] ; [ 6. 68.],0
p9,1,0.033834,4.50308,[21 12] ; [61 13],[25.28971963  7.71028037] ; [56.71028037 17.28971963],0
a8,1,0.038965,4.262404,[ 1 34] ; [11 54],[ 4.2 30.8] ; [ 7.8 57.2],0
p1,1,0.043217,4.086892,[ 8 29] ; [ 6 68],[ 4.66666667 32.33333333] ; [ 9.33333333 64.66666667],0
d5,1,0.053554,3.726539,[25 11] ; [63 11],[28.8  7.2] ; [59.2 14.8],0
n4,1,0.056535,3.636219,[19 18] ; [51 22],[23.54545455 13.45454545] ; [46.45454545 26.54545455],0
r2,1,0.074937,3.171429,[33  4] ; [72  2],[35.  2.] ; [70.  4.],0
v3,1,0.08196,3.025599,[ 9 26] ; [31 41],[13.08411215 21.91588785] ; [26.91588785 45.08411215],0
s5,1,0.084176,2.982366,[12 23] ; [35 32],[16.12745098 18.87254902] ; [30.87254902 36.12745098],0
p4,1,0.104016,2.642857,[17 20] ; [46 28],[21. 16.] ; [42. 32.],0
p6,1,0.117217,2.454114,[10 26] ; [32 42],[13.74545455 22.25454545] ; [28.25454545 45.74545455],0
n3,1,0.136037,2.222222,[10  6] ; [20  4],[12.  4.] ; [18.  6.],0
r1,1,0.14229,2.153017,[26 11] ; [61 13],[29.  8.] ; [58. 16.],0
n6,1,0.148558,2.086994,[24 13] ; [56 16],[27.1559633  9.8440367] ; [52.8440367 19.1559633],0
a7,1,0.183065,1.772569,[23 13] ; [57 18],[25.94594595 10.05405405] ; [54.05405405 20.94594595],0
d3,1,0.197283,1.662375,[23 13] ; [56 18],[25.85454545 10.14545455] ; [53.14545455 20.85454545],0
p7,1,0.197307,1.662198,[15 21] ; [40 33],[18.16513761 17.83486239] ; [36.83486239 36.16513761],0
p2,1,0.221644,1.493692,[30  7] ; [52 22],[27.33333333  9.66666667] ; [54.66666667 19.33333333],0
s7,1,0.236777,1.399683,[19 12] ; [49 18],[21.51020408  9.48979592] ; [46.48979592 20.51020408],0
r3,1,0.251553,1.314659,[31  4] ; [71  4],[32.45454545  2.54545455] ; [69.54545455  5.45454545],0
s6,1,0.293574,1.103157,[28  7] ; [64  9],[29.81481481  5.18518519] ; [62.18518519 10.81481481],0
u3,1,0.297156,1.086913,[15  7] ; [6 6],[13.58823529  8.41176471] ; [7.41176471 4.58823529],0
d4,1,0.303868,1.057143,[28  9] ; [62 12],[30.  7.] ; [60. 14.],0
