Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.140983,[74 50] ; [ 50 113],[53.57491289 70.42508711] ; [70.42508711 92.57491289],1
s5,1,0.000265,13.299608,[58 65] ; [ 42 118],[43.46289753 79.53710247] ; [ 56.53710247 103.46289753],1
p6,1,0.000868,11.090723,[62 62] ; [ 51 115],[48.31724138 75.68275862] ; [ 64.68275862 101.31724138],1
n5,1,0.001696,9.852877,[101  25] ; [105  61],[88.89041096 37.10958904] ; [117.10958904  48.89041096],0
s6,1,0.002532,9.117267,[94 31] ; [96 69],[81.89655172 43.10344828] ; [108.10344828  56.89655172],0
v4,1,0.003458,8.548726,[124   3] ; [147  19],[117.46416382   9.53583618] ; [153.53583618  12.46416382],0
p3,1,0.004457,8.087461,[72 54] ; [67 99],[59.97945205 66.02054795] ; [79.02054795 86.97945205],0
p9,1,0.00592,7.574488,[109  16] ; [123  43],[99.65635739 25.34364261] ; [132.34364261  33.65635739],0
p7,1,0.008881,6.846672,[84 39] ; [88 78],[73.20415225 49.79584775] ; [98.79584775 67.20415225],0
p8,1,0.01025,6.590925,[73 53] ; [71 95],[62.1369863 63.8630137] ; [81.8630137 84.1369863],0
b2,1,0.010422,6.561301,[40 41] ; [30 68],[31.67597765 49.32402235] ; [38.32402235 59.67597765],0
b3,1,0.010422,6.561301,[40 41] ; [30 68],[31.67597765 49.32402235] ; [38.32402235 59.67597765],0
r3,1,0.019702,5.438135,[123   4] ; [149  17],[117.89761092   9.10238908] ; [154.10238908  11.89761092],0
p10,1,0.021229,5.307909,[105  21] ; [120  47],[96.75767918 29.24232082] ; [128.24232082  38.75767918],0
n2,1,0.02359,5.12454,[22  5] ; [32 25],[17.35714286  9.64285714] ; [36.64285714 20.35714286],0
a5,1,0.060773,3.516156,[111  16] ; [132  35],[104.96938776  22.03061224] ; [138.03061224  28.96938776],0
p11,1,0.065473,3.393018,[99 28] ; [114  53],[92.01020408 34.98979592] ; [120.98979592  46.01020408],0
n1,1,0.066085,3.377668,[15 12] ; [20 38],[11.11764706 15.88235294] ; [23.88235294 34.11764706],0
p4,1,0.07803,3.105463,[83 43] ; [93 74],[75.68600683 50.31399317] ; [100.31399317  66.68600683],0
b5,1,0.080003,3.064848,[85 42] ; [95 72],[77.75510204 49.24489796] ; [102.24489796  64.75510204],0
s8,1,0.091431,2.849004,[58 69] ; [ 60 107],[50.97278912 76.02721088] ; [67.02721088 99.97278912],0
r1,1,0.093043,2.820919,[109  17] ; [131  35],[103.56164384  22.43835616] ; [136.43835616  29.56164384],0
p2,1,0.10133,2.684481,[107  20] ; [127  39],[101.42662116  25.57337884] ; [132.57337884  33.42662116],0
a4,1,0.11525,2.480712,[79 48] ; [88 78],[72.38566553 54.61433447] ; [94.61433447 71.38566553],0
r4,1,0.157406,1.998969,[115  12] ; [142  25],[111.0170068  15.9829932] ; [145.9829932  21.0170068],0
a8,1,0.176343,1.82818,[16 97] ; [ 14 143],[ 12.55555556 100.44444444] ; [ 17.44444444 139.55555556],0
p5,1,0.176694,1.825215,[ 14 113] ; [ 11 156],[ 10.79931973 116.20068027] ; [ 14.20068027 152.79931973],0
s1,1,0.201809,1.629232,[  2 123] ; [  7 159],[  3.86597938 121.13402062] ; [  5.13402062 160.86597938],0
a7,1,0.216599,1.526765,[100  27] ; [121  46],[95.46598639 31.53401361] ; [125.53401361  41.46598639],0
a3,1,0.226575,1.462235,[104  23] ; [127  40],[99.78571429 27.21428571] ; [131.21428571  35.78571429],0
n6,1,0.235505,1.407302,[107  19] ; [132  34],[103.13013699  22.86986301] ; [135.86986301  30.13013699],0
a2,1,0.243801,1.35848,[47 80] ; [ 51 116],[42.33333333 84.66666667] ; [ 55.66666667 111.33333333],0
