Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.960957,[ 7 17] ; [86 21],[17.03816794  6.96183206] ; [75.96183206 31.03816794],1
s3,1,3.5e-05,17.126621,[10 14] ; [88 19],[17.95419847  6.04580153] ; [80.04580153 26.95419847],1
s8,1,0.000107,15.000639,[10 14] ; [86 21],[17.58778626  6.41221374] ; [78.41221374 28.58778626],1
v4,1,0.000286,13.158514,[17  6] ; [102   4],[21.21705426  1.78294574] ; [97.78294574  8.21705426],1
s5,1,0.000398,12.54344,[ 3 21] ; [54 49],[10.77165354 13.22834646] ; [46.22834646 56.77165354],1
r4,1,0.000592,11.799486,[14 10] ; [94 13],[19.78625954  4.21374046] ; [88.21374046 18.78625954],1
p6,1,0.00664,7.36797,[ 5 19] ; [54 51],[10.97674419 13.02325581] ; [48.02325581 56.97674419],0
r2,1,0.0079,7.055897,[19  5] ; [100   5],[22.13953488  1.86046512] ; [96.86046512  8.13953488],0
p7,1,0.009046,6.813796,[11 13] ; [77 28],[16.37209302  7.62790698] ; [71.62790698 33.37209302],0
p3,1,0.014918,5.926145,[ 9 15] ; [69 38],[14.29007634  9.70992366] ; [63.70992366 43.29007634],0
p9,1,0.016104,5.791506,[17  7] ; [95 11],[20.67692308  3.32307692] ; [91.32307692 14.67692308],0
v3,1,0.033565,4.516711,[ 6 17] ; [53 52],[10.6015625 12.3984375] ; [48.3984375 56.6015625],0
p8,1,0.038576,4.279435,[ 8 16] ; [59 45],[12.5625 11.4375] ; [54.4375 49.5625],0
r3,1,0.040019,4.217098,[21  3] ; [104   3],[22.90076336  1.09923664] ; [102.09923664   4.90076336],0
p4,1,0.060412,3.526043,[11 13] ; [71 36],[15.02290076  8.97709924] ; [66.97709924 40.02290076],0
p5,1,0.102951,2.659228,[ 1 22] ; [19 87],[ 3.56589147 19.43410853] ; [16.43410853 89.56589147],0
b4,1,0.128663,2.308558,[ 8 16] ; [54 53],[11.35877863 12.64122137] ; [50.64122137 56.35877863],0
u2,1,0.132791,2.25957,[1 2] ; [13  4],[2.1 0.9] ; [11.9  5.1],0
n4,1,0.159151,1.982279,[19  5] ; [95 11],[21.04615385  2.95384615] ; [92.95384615 13.04615385],0
b2,1,0.169215,1.889883,[12  6] ; [39 41],[9.36734694 8.63265306] ; [41.63265306 38.36734694],0
b3,1,0.169215,1.889883,[12  6] ; [39 41],[9.36734694 8.63265306] ; [41.63265306 38.36734694],0
p2,1,0.171387,1.87077,[17  7] ; [88 18],[19.38461538  4.61538462] ; [85.61538462 20.38461538],0
r1,1,0.178357,1.811262,[16  8] ; [85 22],[18.50381679  5.49618321] ; [82.49618321 24.50381679],0
n5,1,0.192211,1.700586,[18  6] ; [91 15],[20.12307692  3.87692308] ; [88.87692308 17.12307692],0
v1,1,0.233173,1.421399,[11 13] ; [61 42],[13.60629921 10.39370079] ; [58.39370079 44.60629921],0
b1,1,0.266508,1.234635,[10 14] ; [58 49],[12.45801527 11.54198473] ; [55.54198473 51.45801527],0
d1,1,0.266508,1.234635,[10 14] ; [58 49],[12.45801527 11.54198473] ; [55.54198473 51.45801527],0
s4,1,0.277137,1.181077,[ 4 20] ; [29 77],[ 6.09230769 17.90769231] ; [26.90769231 79.09230769],0
p1,1,0.291461,1.112858,[ 1 23] ; [12 94],[ 2.4 21.6] ; [10.6 95.4],0
n6,1,0.295298,1.095308,[18  5] ; [92 14],[19.6124031  3.3875969] ; [90.3875969 15.6124031],0
u3,1,0.306488,1.045752,[1 2] ; [11  6],[1.8 1.2] ; [10.2  6.8],0
b5,1,0.411484,0.67451,[ 9 15] ; [50 57],[10.80916031 13.19083969] ; [48.19083969 58.80916031],0
n2,1,0.435739,0.607478,[6 3] ; [23  6],[6.86842105 2.13157895] ; [22.13157895  6.86842105],0
v2,1,0.436356,0.605847,[10 14] ; [52 51],[11.71653543 12.28346457] ; [50.28346457 52.71653543],0
a6,1,0.448176,0.57526,[ 7 17] ; [40 67],[ 8.61068702 15.38931298] ; [38.38931298 68.61068702],0
