Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,78.687257,[ 3 55] ; [131  52],[32.24896266 25.75103734] ; [101.75103734  81.24896266],1
d4,1,0.0,62.014313,[22 36] ; [161  21],[44.225 13.775] ; [138.775  43.225],1
d3,1,0.0,25.91015,[20 38] ; [131  52],[36.34024896 21.65975104] ; [114.65975104  68.34024896],1
d2,1,3e-06,21.949701,[13 45] ; [104  76],[28.51260504 29.48739496] ; [88.48739496 91.51260504],1
a5,1,0.000254,13.379749,[31 27] ; [143  40],[41.87551867 16.12448133] ; [132.12448133  50.87551867],1
p2,1,0.001459,10.129707,[34 24] ; [144  37],[43.19665272 14.80334728] ; [134.80334728  46.19665272],0
a3,1,0.001576,9.987342,[30 27] ; [136  46],[39.58995816 17.41004184] ; [126.41004184  55.58995816],0
a4,1,0.004925,7.906714,[18 40] ; [95 87],[27.30833333 30.69166667] ; [85.69166667 96.30833333],0
r3,1,0.007409,7.170954,[44 13] ; [165  17],[49.84518828  7.15481172] ; [159.15481172  22.84518828],0
a7,1,0.008697,6.883985,[31 27] ; [131  51],[39.15 18.85] ; [122.85  59.15],0
a6,1,0.008908,6.841197,[33 25] ; [137  46],[40.91286307 17.08713693] ; [129.08713693  53.91286307],0
a2,1,0.00896,6.830838,[ 5 53] ; [ 45 138],[12.03319502 45.96680498] ; [ 37.96680498 145.03319502],0
r2,1,0.010624,6.527192,[48 10] ; [166  11],[52.81702128  5.18297872] ; [161.18297872  15.81702128],0
p7,1,0.011927,6.321643,[23 35] ; [106  75],[31.30543933 26.69456067] ; [97.69456067 83.30543933],0
r4,1,0.013088,6.157157,[39 19] ; [151  32],[45.72614108 12.27385892] ; [144.27385892  38.72614108],0
u1,1,0.021104,5.318224,[ 2 56] ; [ 27 156],[ 6.97925311 51.02074689] ; [ 22.02074689 160.97925311],0
v4,1,0.027793,4.840856,[45 13] ; [162  20],[50.025  7.975] ; [156.975  25.025],0
p12,1,0.036732,4.362785,[ 4 53] ; [  3 178],[ 1.67647059 55.32352941] ; [  5.32352941 175.67647059],0
p4,1,0.03927,4.249167,[20 38] ; [90 90],[26.80672269 31.19327731] ; [83.19327731 96.80672269],0
p11,1,0.052675,3.754203,[38 20] ; [143  40],[43.56016598 14.43983402] ; [137.43983402  45.56016598],0
a1,1,0.055455,3.66836,[ 6 52] ; [  7 176],[ 3.12863071 54.87136929] ; [  9.87136929 173.12863071],0
n1,1,0.065608,3.38961,[10  6] ; [15 27],[6.89655172 9.10344828] ; [18.10344828 23.89655172],0
v2,1,0.080283,3.05917,[24 32] ; [99 77],[29.68965517 26.31034483] ; [93.31034483 82.68965517],0
p10,1,0.097224,2.750505,[35 22] ; [132  49],[39.99579832 17.00420168] ; [127.00420168  53.99579832],0
u2,1,0.101809,2.676981,[ 8 20] ; [22 24],[11.35135135 16.64864865] ; [18.64864865 27.35135135],0
s5,1,0.119293,2.426575,[ 4 52] ; [ 27 150],[ 7.45064378 48.54935622] ; [ 23.54935622 153.45064378],0
s1,1,0.138566,2.193812,[ 3 55] ; [  3 177],[ 1.46218487 56.53781513] ; [  4.53781513 175.46218487],0
p1,1,0.144223,2.132309,[ 9 49] ; [ 16 166],[ 6.04166667 51.95833333] ; [ 18.95833333 163.04166667],0
r1,1,0.149616,2.076163,[37 21] ; [134  48],[41.325 16.675] ; [129.675  52.325],0
b3,1,0.174276,1.845773,[22 19] ; [45 64],[18.31333333 22.68666667] ; [48.68666667 60.31333333],0
b2,1,0.174276,1.845773,[22 19] ; [45 64],[18.31333333 22.68666667] ; [48.68666667 60.31333333],0
u3,1,0.225951,1.466173,[ 8 20] ; [20 27],[10.45333333 17.54666667] ; [17.54666667 29.45333333],0
p9,1,0.254997,1.29572,[37 19] ; [133  47],[40.33898305 15.66101695] ; [129.66101695  50.33898305],0
s3,1,0.261114,1.262844,[19 38] ; [ 46 133],[15.69915254 41.30084746] ; [ 49.30084746 129.69915254],0
v1,1,0.326851,0.961334,[23 34] ; [86 94],[26.21518987 30.78481013] ; [82.78481013 97.21518987],0
b1,1,0.330937,0.94523,[27 31] ; [ 72 111],[23.82572614 34.17427386] ; [ 75.17427386 107.82572614],0
u4,1,0.388952,0.742216,[ 1 57] ; [  1 182],[ 0.4813278 57.5186722] ; [  1.5186722 181.4813278],0
p3,1,0.408083,0.684378,[23 35] ; [83 98],[25.72384937 32.27615063] ; [ 80.27615063 100.72384937],0
n2,1,0.408961,0.681818,[12  4] ; [28 16],[10.66666667  5.33333333] ; [29.33333333 14.66666667],0
a8,1,0.421394,0.646424,[ 5 49] ; [ 22 142],[ 6.68807339 47.31192661] ; [ 20.31192661 143.68807339],0
v3,1,0.479859,0.499183,[20 37] ; [ 71 105],[22.26180258 34.73819742] ; [ 68.73819742 107.26180258],0
s2,1,0.545072,0.36622,[13 45] ; [ 34 147],[11.40585774 46.59414226] ; [ 35.59414226 145.40585774],0
n3,1,0.545591,0.365276,[9 5] ; [32 12],[9.89655172 4.10344828] ; [31.10344828 12.89655172],0
p5,1,0.549115,0.358905,[ 2 55] ; [ 10 172],[ 2.86192469 54.13807531] ; [  9.13807531 172.86192469],0
s8,1,0.579038,0.307793,[11 47] ; [ 41 142],[12.51452282 45.48547718] ; [ 39.48547718 143.51452282],0
b5,1,0.592544,0.286389,[30 28] ; [102  81],[31.76763485 26.23236515] ; [100.23236515  82.76763485],0
