Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,5.3e-05,16.321172,[1 5] ; [24  2],[4.6875 1.3125] ; [20.3125  5.6875],1
p12,1,0.010091,6.618803,[3 3] ; [ 2 24],[0.9375 5.0625] ; [ 4.0625 21.9375],0
d2,1,0.010091,6.618803,[1 5] ; [19  7],[3.75 2.25] ; [16.25  9.75],0
s2,1,0.023727,5.114478,[4 2] ; [ 5 20],[1.74193548 4.25806452] ; [ 7.25806452 17.74193548],0
p7,1,0.037857,4.311422,[2 4] ; [20  6],[4.125 1.875] ; [17.875  8.125],0
d1,1,0.149613,2.076196,[2 4] ; [17  9],[3.5625 2.4375] ; [15.4375 10.5625],0
a6,1,0.186122,1.748049,[3 3] ; [20  6],[4.3125 1.6875] ; [18.6875  7.3125],0
p4,1,0.201994,1.627897,[4 2] ; [22  3],[5.03225806 0.96774194] ; [20.96774194  4.03225806],0
b1,1,0.209351,1.575906,[2 4] ; [16 10],[3.375 2.625] ; [14.625 11.375],0
s5,1,0.24135,1.372689,[5 1] ; [12  9],[3.77777778 2.22222222] ; [13.22222222  7.77777778],0
r1,1,0.300559,1.071714,[3 3] ; [18  7],[4.06451613 1.93548387] ; [16.93548387  8.06451613],0
v3,1,0.36131,0.833333,[4 2] ; [11 13],[3. 3.] ; [12. 12.],0
a3,1,0.371332,0.799201,[3 3] ; [18  8],[3.9375 2.0625] ; [17.0625  8.9375],0
p3,1,0.371332,0.799201,[3 3] ; [18  8],[3.9375 2.0625] ; [17.0625  8.9375],0
d5,1,0.451323,0.567326,[4 2] ; [21  5],[4.6875 1.3125] ; [20.3125  5.6875],0
b5,1,0.4829,0.492308,[3 3] ; [17  9],[3.75 2.25] ; [16.25  9.75],0
a1,1,0.496631,0.462128,[1 5] ; [ 2 24],[0.5625 5.4375] ; [ 2.4375 23.5625],0
a4,1,0.568261,0.3256,[2 4] ; [12 14],[2.625 3.375] ; [11.375 14.625],0
s6,1,0.600698,0.273945,[3 3] ; [13  8],[3.55555556 2.44444444] ; [12.44444444  8.55555556],0
a5,1,0.600991,0.273504,[5 1] ; [19  7],[4.5 1.5] ; [19.5  6.5],0
d3,1,0.603953,0.269075,[3 3] ; [16 10],[3.5625 2.4375] ; [15.4375 10.5625],0
p6,1,0.634433,0.226097,[2 4] ; [11 14],[2.51612903 3.48387097] ; [10.48387097 14.51612903],0
b2,1,0.70386,0.144487,[1 2] ; [ 9 11],[1.30434783 1.69565217] ; [ 8.69565217 11.30434783],0
b3,1,0.70386,0.144487,[1 2] ; [ 9 11],[1.30434783 1.69565217] ; [ 8.69565217 11.30434783],0
s8,1,0.732074,0.117216,[1 5] ; [ 3 23],[0.75 5.25] ; [ 3.25 22.75],0
n6,1,0.759444,0.093765,[5 1] ; [22  3],[5.22580645 0.77419355] ; [21.77419355  3.22580645],0
s3,1,0.796052,0.066801,[2 4] ; [ 7 18],[1.74193548 4.25806452] ; [ 7.25806452 17.74193548],0
b4,1,0.815076,0.054701,[4 2] ; [16 10],[3.75 2.25] ; [16.25  9.75],0
s4,1,0.818707,0.052536,[1 5] ; [ 3 20],[0.82758621 5.17241379] ; [ 3.17241379 19.82758621],0
v1,1,0.849753,0.035885,[4 2] ; [15  9],[3.8 2.2] ; [15.2  8.8],0
p2,1,0.852765,0.034444,[5 1] ; [20  5],[4.83870968 1.16129032] ; [20.16129032  4.83870968],0
r2,1,0.852765,0.034444,[5 1] ; [20  5],[4.83870968 1.16129032] ; [20.16129032  4.83870968],0
v2,1,0.854813,0.033482,[3 3] ; [13 11],[3.2 2.8] ; [12.8 11.2],0
d4,1,0.884673,0.021039,[5 1] ; [21  5],[4.875 1.125] ; [21.125  4.875],0
r4,1,0.884673,0.021039,[5 1] ; [21  5],[4.875 1.125] ; [21.125  4.875],0
p11,1,0.884673,0.021039,[5 1] ; [21  5],[4.875 1.125] ; [21.125  4.875],0
u3,1,0.898195,0.016369,[2 1] ; [5 3],[1.90909091 1.09090909] ; [5.09090909 2.90909091],0
p8,1,0.952475,0.003552,[4 2] ; [17  9],[3.9375 2.0625] ; [17.0625  8.9375],0
