Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3e-06,22.144672,[ 2 13] ; [25  4],[9.20454545 5.79545455] ; [17.79545455 11.20454545],1
p2,1,0.002199,9.375593,[ 4 11] ; [21  7],[8.72093023 6.27906977] ; [16.27906977 11.72093023],0
n1,1,0.030754,4.666667,[1 5] ; [6 2],[3. 3.] ; [4. 4.],0
p11,1,0.036338,4.381158,[6 9] ; [21  8],[9.20454545 5.79545455] ; [17.79545455 11.20454545],0
p7,1,0.042479,4.116004,[ 3 12] ; [15 14],[6.13636364 8.86363636] ; [11.86363636 17.13636364],0
p3,1,0.058319,3.584543,[ 2 13] ; [12 17],[ 4.77272727 10.22727273] ; [ 9.22727273 19.77272727],0
n6,1,0.063177,3.451944,[7 8] ; [21  7],[9.76744186 5.23255814] ; [18.23255814  9.76744186],0
n5,1,0.063972,3.4313,[6 9] ; [20  9],[8.86363636 6.13636364] ; [17.13636364 11.86363636],0
a5,1,0.063972,3.4313,[6 9] ; [20  9],[8.86363636 6.13636364] ; [17.13636364 11.86363636],0
s8,1,0.090043,2.873597,[ 2 13] ; [11 18],[ 4.43181818 10.56818182] ; [ 8.56818182 20.43181818],0
n4,1,0.092393,2.832184,[7 8] ; [21  8],[9.54545455 5.45454545] ; [18.45454545 10.54545455],0
n2,1,0.118991,2.430556,[2 4] ; [6 2],[3.42857143 2.57142857] ; [4.57142857 3.42857143],0
p4,1,0.166993,1.909736,[ 4 11] ; [14 15],[6.13636364 8.86363636] ; [11.86363636 17.13636364],0
r1,1,0.169201,1.890007,[10  5] ; [13 16],[7.84090909 7.15909091] ; [15.15909091 13.84090909],0
s3,1,0.169201,1.890007,[ 5 10] ; [16 13],[7.15909091 7.84090909] ; [13.84090909 15.15909091],0
p6,1,0.198349,1.654486,[ 3 12] ; [11 17],[ 4.88372093 10.11627907] ; [ 9.11627907 18.88372093],0
p8,1,0.198349,1.654486,[ 3 12] ; [11 17],[ 4.88372093 10.11627907] ; [ 9.11627907 18.88372093],0
n3,1,0.252244,1.310833,[3 2] ; [7 1],[3.84615385 1.15384615] ; [6.15384615 1.84615385],0
v1,1,0.318236,0.996184,[ 3 12] ; [10 19],[ 4.43181818 10.56818182] ; [ 8.56818182 20.43181818],0
s4,1,0.332603,0.938738,[ 1 14] ; [ 5 24],[ 2.04545455 12.95454545] ; [ 3.95454545 25.04545455],0
a7,1,0.342863,0.899698,[10  5] ; [15 14],[8.52272727 6.47727273] ; [16.47727273 12.52272727],0
d4,1,0.399666,0.70933,[13  2] ; [22  7],[11.93181818  3.06818182] ; [23.06818182  5.93181818],0
r2,1,0.407961,0.684734,[11  4] ; [17 11],[9.76744186 5.23255814] ; [18.23255814  9.76744186],0
s7,1,0.418408,0.654782,[ 3 10] ; [10 18],[4.12195122 8.87804878] ; [ 8.87804878 19.12195122],0
s2,1,0.454947,0.558298,[ 4 11] ; [11 18],[5.11363636 9.88636364] ; [ 9.88636364 19.11363636],0
b5,1,0.462297,0.540328,[10  5] ; [16 13],[8.86363636 6.13636364] ; [17.13636364 11.86363636],0
v3,1,0.498543,0.458038,[ 4 11] ; [ 5 23],[ 3.13953488 11.86046512] ; [ 5.86046512 22.13953488],0
b2,1,0.502716,0.449198,[2 5] ; [ 9 12],[2.75 4.25] ; [ 8.25 12.75],0
b3,1,0.502716,0.449198,[2 5] ; [ 9 12],[2.75 4.25] ; [ 8.25 12.75],0
a8,1,0.515599,0.422687,[ 2 13] ; [ 6 22],[ 2.79069767 12.20930233] ; [ 5.20930233 22.79069767],0
a3,1,0.576398,0.312094,[8 7] ; [18 11],[8.86363636 6.13636364] ; [17.13636364 11.86363636],0
s6,1,0.580483,0.305455,[7 8] ; [15 12],[7.85714286 7.14285714] ; [14.14285714 12.85714286],0
d3,1,0.592346,0.286695,[8 7] ; [13 16],[7.15909091 7.84090909] ; [13.84090909 15.15909091],0
a4,1,0.597751,0.278402,[ 4 11] ; [10 19],[ 4.77272727 10.22727273] ; [ 9.22727273 19.77272727],0
s5,1,0.665706,0.186667,[ 3 12] ; [ 7 20],[ 3.57142857 11.42857143] ; [ 6.42857143 20.57142857],0
d1,1,0.737149,0.112649,[7 8] ; [12 17],[6.47727273 8.52272727] ; [12.52272727 16.47727273],0
v2,1,0.737149,0.112649,[8 7] ; [17 12],[8.52272727 6.47727273] ; [16.47727273 12.52272727],0
r4,1,0.750455,0.101149,[7 8] ; [15 14],[7.5 7.5] ; [14.5 14.5],0
a6,1,0.759265,0.093909,[6 9] ; [13 16],[6.47727273 8.52272727] ; [12.52272727 16.47727273],0
b4,1,0.763406,0.090608,[11  4] ; [20  9],[10.56818182  4.43181818] ; [20.43181818  8.56818182],0
a2,1,0.76717,0.087663,[ 2 13] ; [ 3 26],[ 1.70454545 13.29545455] ; [ 3.29545455 25.70454545],0
u2,1,0.782935,0.075898,[3 4] ; [4 7],[2.72222222 4.27777778] ; [4.27777778 6.72222222],0
d5,1,0.854311,0.033716,[11  4] ; [22  7],[11.25  3.75] ; [21.75  7.25],0
d2,1,0.919313,0.010262,[8 7] ; [15 14],[7.84090909 7.15909091] ; [15.15909091 13.84090909],0
b1,1,0.919313,0.010262,[8 7] ; [15 14],[7.84090909 7.15909091] ; [15.15909091 13.84090909],0
u3,1,0.95218,0.003596,[2 5] ; [3 8],[1.94444444 5.05555556] ; [3.05555556 7.94444444],0
s1,1,0.977122,0.000822,[ 1 14] ; [ 2 27],[ 1.02272727 13.97727273] ; [ 1.97727273 27.02272727],0
