Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.133614,2.25,[2 1] ; [1 5],[1. 2.] ; [2. 4.],0
a2,1,0.133614,2.25,[2 1] ; [1 5],[1. 2.] ; [2. 4.],0
p6,1,0.133614,2.25,[2 1] ; [1 5],[1. 2.] ; [2. 4.],0
p7,1,0.465209,0.533333,[2 1] ; [2 3],[1.5 1.5] ; [2.5 2.5],0
s6,1,0.465209,0.533333,[1 2] ; [3 2],[1.5 1.5] ; [2.5 2.5],0
b4,1,0.57075,0.321429,[2 1] ; [5 1],[2.33333333 0.66666667] ; [4.66666667 1.33333333],0
s2,1,0.57075,0.321429,[1 2] ; [1 5],[0.66666667 2.33333333] ; [1.33333333 4.66666667],0
r2,1,0.57075,0.321429,[2 1] ; [5 1],[2.33333333 0.66666667] ; [4.66666667 1.33333333],0
r1,1,0.57075,0.321429,[2 1] ; [5 1],[2.33333333 0.66666667] ; [4.66666667 1.33333333],0
p11,1,0.57075,0.321429,[2 1] ; [5 1],[2.33333333 0.66666667] ; [4.66666667 1.33333333],0
a7,1,0.57075,0.321429,[2 1] ; [5 1],[2.33333333 0.66666667] ; [4.66666667 1.33333333],0
a6,1,0.57075,0.321429,[2 1] ; [5 1],[2.33333333 0.66666667] ; [4.66666667 1.33333333],0
a4,1,0.635256,0.225,[2 1] ; [3 3],[1.66666667 1.33333333] ; [3.33333333 2.66666667],0
p3,1,0.635256,0.225,[2 1] ; [3 3],[1.66666667 1.33333333] ; [3.33333333 2.66666667],0
s5,1,0.635256,0.225,[1 2] ; [3 3],[1.33333333 1.66666667] ; [2.66666667 3.33333333],0
n3,1,0.659243,0.194444,[1 2] ; [2 2],[1.28571429 1.71428571] ; [1.71428571 2.28571429],0
n6,1,0.67329,0.177778,[2 1] ; [4 1],[2.25 0.75] ; [3.75 1.25],0
n1,1,0.80915,0.058333,[2 1] ; [3 1],[2.14285714 0.85714286] ; [2.85714286 1.14285714],0
s3,1,0.850436,0.035556,[1 2] ; [2 3],[1.125 1.875] ; [1.875 3.125],0
s8,1,0.850436,0.035556,[1 2] ; [2 3],[1.125 1.875] ; [1.875 3.125],0
s7,1,0.850436,0.035556,[2 1] ; [3 2],[1.875 1.125] ; [3.125 1.875],0
a3,1,1.0,0.0,[2 1] ; [4 2],[2. 1.] ; [4. 2.],0
p1,1,1.0,0.0,[1 2] ; [2 4],[1. 2.] ; [2. 4.],0
d4,1,1.0,0.0,[2 1] ; [4 2],[2. 1.] ; [4. 2.],0
d3,1,1.0,0.0,[2 1] ; [4 2],[2. 1.] ; [4. 2.],0
b5,1,1.0,0.0,[2 1] ; [4 2],[2. 1.] ; [4. 2.],0
d1,1,1.0,0.0,[2 1] ; [4 2],[2. 1.] ; [4. 2.],0
d2,1,1.0,0.0,[2 1] ; [4 2],[2. 1.] ; [4. 2.],0
r4,1,1.0,0.0,[1 2] ; [2 4],[1. 2.] ; [2. 4.],0
