Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000316,12.973963,[ 4 13] ; [47 19],[10.44578313  6.55421687] ; [40.55421687 25.44578313],1
s7,1,0.003112,8.74081,[ 1 14] ; [30 32],[6.03896104 8.96103896] ; [24.96103896 37.03896104],0
p6,1,0.018455,5.552411,[ 3 13] ; [32 30],[7.17948718 8.82051282] ; [27.82051282 34.17948718],0
v3,1,0.019312,5.473027,[ 4 13] ; [36 29],[8.29268293 8.70731707] ; [31.70731707 33.29268293],0
s3,1,0.019312,5.473027,[ 4 13] ; [36 29],[8.29268293 8.70731707] ; [31.70731707 33.29268293],0
s8,1,0.02461,5.051135,[ 2 15] ; [27 39],[ 5.93975904 11.06024096] ; [23.06024096 42.93975904],0
r3,1,0.029531,4.736376,[13  4] ; [62  4],[15.36144578  1.63855422] ; [59.63855422  6.36144578],0
p3,1,0.038578,4.279374,[ 4 12] ; [35 30],[7.7037037 8.2962963] ; [31.2962963 33.7037037],0
p9,1,0.044187,4.049404,[10  7] ; [54 12],[13.10843373  3.89156627] ; [50.89156627 15.10843373],0
s1,1,0.04555,3.998159,[ 2 15] ; [ 1 64],[ 0.62195122 16.37804878] ; [ 2.37804878 62.62195122],0
v4,1,0.049287,3.865543,[12  5] ; [59  7],[14.54216867  2.45783133] ; [56.45783133  9.54216867],0
n6,1,0.060465,3.52458,[11  6] ; [56 10],[13.72289157  3.27710843] ; [53.27710843 12.72289157],0
p10,1,0.07018,3.278806,[9 8] ; [49 16],[12.02439024  4.97560976] ; [45.97560976 19.02439024],0
p7,1,0.079333,3.078514,[ 7 10] ; [42 23],[10.15853659  6.84146341] ; [38.84146341 26.15853659],0
s5,1,0.090012,2.874167,[ 2 15] ; [19 39],[ 4.76 12.24] ; [16.24 41.76],0
s2,1,0.10346,2.651376,[ 5 12] ; [34 32],[7.98795181 9.01204819] ; [31.01204819 34.98795181],0
b4,1,0.105973,2.613273,[8 9] ; [45 21],[10.85542169  6.14457831] ; [42.14457831 23.85542169],0
d5,1,0.121402,2.399135,[12  5] ; [57  9],[14.13253012  2.86746988] ; [54.86746988 11.13253012],0
d2,1,0.149458,2.077772,[10  7] ; [26 40],[7.37349398 9.62650602] ; [28.62650602 37.37349398],0
b1,1,0.226197,1.464619,[10  7] ; [28 38],[7.78313253 9.21686747] ; [30.21686747 35.78313253],0
p12,1,0.272734,1.202943,[ 2 15] ; [ 3 62],[ 1.03658537 15.96341463] ; [ 3.96341463 61.03658537],0
p2,1,0.304182,1.055772,[11  6] ; [50 15],[12.64634146  4.35365854] ; [48.35365854 16.64634146],0
p5,1,0.311654,1.023655,[ 3 14] ; [ 6 60],[ 1.84337349 15.15662651] ; [ 7.15662651 58.84337349],0
a5,1,0.313152,1.017333,[8 9] ; [40 26],[9.8313253 7.1686747] ; [38.1686747 27.8313253],0
a2,1,0.314844,1.010245,[ 1 16] ; [10 56],[ 2.25301205 14.74698795] ; [ 8.74698795 57.25301205],0
b5,1,0.353371,0.861314,[9 8] ; [43 23],[10.65060241  6.34939759] ; [41.34939759 24.65060241],0
p8,1,0.398587,0.712585,[ 6 11] ; [29 33],[7.53164557 9.46835443] ; [27.46835443 34.53164557],0
u3,1,0.410806,0.676467,[2 4] ; [12 11],[2.89655172 3.10344828] ; [11.10344828 11.89655172],0
p11,1,0.415606,0.662707,[14  3] ; [48 18],[12.69879518  4.30120482] ; [49.30120482 16.69879518],0
p1,1,0.41803,0.655848,[ 2 15] ; [ 4 62],[ 1.22891566 15.77108434] ; [ 4.77108434 61.22891566],0
a7,1,0.490405,0.475637,[9 8] ; [41 25],[10.24096386  6.75903614] ; [39.75903614 26.24096386],0
b3,1,0.49474,0.4662,[3 8] ; [15 24],[3.96 7.04] ; [14.04 24.96],0
b2,1,0.49474,0.4662,[3 8] ; [15 24],[3.96 7.04] ; [14.04 24.96],0
s4,1,0.51199,0.429998,[ 4 13] ; [11 55],[ 3.07228916 13.92771084] ; [11.92771084 54.07228916],0
n1,1,0.551149,0.355263,[2 7] ; [ 6 12],[2.66666667 6.33333333] ; [ 5.33333333 12.66666667],0
a1,1,0.579426,0.307163,[ 2 15] ; [ 5 61],[ 1.43373494 15.56626506] ; [ 5.56626506 60.43373494],0
d4,1,0.618187,0.248424,[13  4] ; [54 12],[13.72289157  3.27710843] ; [53.27710843 12.72289157],0
a4,1,0.628183,0.234533,[ 7 10] ; [23 43],[ 6.14457831 10.85542169] ; [23.85542169 42.14457831],0
n2,1,0.642279,0.215774,[6 3] ; [15  5],[6.51724138 2.48275862] ; [14.48275862  5.51724138],0
n4,1,0.665762,0.186599,[13  4] ; [47 19],[12.28915663  4.71084337] ; [47.71084337 18.28915663],0
a6,1,0.669,0.182775,[10  7] ; [35 31],[9.21686747 7.78313253] ; [35.78313253 30.21686747],0
d3,1,0.785013,0.074415,[11  6] ; [45 21],[11.46987952  5.53012048] ; [44.53012048 21.46987952],0
s6,1,0.794722,0.067695,[10  7] ; [38 23],[10.46153846  6.53846154] ; [37.53846154 23.46153846],0
p4,1,0.807195,0.059559,[9 8] ; [36 28],[9.44444444 7.55555556] ; [35.55555556 28.44444444],0
v1,1,0.810494,0.057498,[11  6] ; [40 25],[10.57317073  6.42682927] ; [40.42682927 24.57317073],0
d1,1,0.83759,0.042015,[10  7] ; [37 29],[9.62650602 7.37349398] ; [37.37349398 28.62650602],0
u2,1,0.84313,0.039161,[3 3] ; [10 12],[2.78571429 3.21428571] ; [10.21428571 11.78571429],0
n3,1,0.871524,0.026154,[7 2] ; [15  5],[6.82758621 2.17241379] ; [15.17241379  4.82758621],0
n5,1,0.943058,0.005102,[12  5] ; [46 20],[11.87951807  5.12048193] ; [46.12048193 19.87951807],0
a8,1,0.964017,0.002035,[ 1 14] ; [ 4 59],[ 0.96153846 14.03846154] ; [ 4.03846154 58.96153846],0
a3,1,0.972586,0.001181,[11  6] ; [43 23],[11.06024096  5.93975904] ; [42.93975904 23.06024096],0
