Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,42.690495,[133   7] ; [11 12],[123.6809816  16.3190184] ; [20.3190184  2.6809816],1
r2,1,0.0,39.388026,[134   5] ; [12 10],[126.04968944  12.95031056] ; [19.95031056  2.04968944],1
r1,1,0.0,33.10196,[112  28] ; [ 5 18],[100.49079755  39.50920245] ; [16.50920245  6.49079755],1
s6,1,0.000584,11.825206,[88 49] ; [ 6 17],[80.4875 56.5125] ; [13.5125  9.4875],1
s8,1,0.007979,7.038251,[58 80] ; [ 3 20],[52.28571429 85.71428571] ; [ 8.71428571 14.28571429],0
n6,1,0.009671,6.694562,[108  31] ; [12 11],[102.96296296  36.03703704] ; [17.03703704  5.96296296],0
d2,1,0.087734,2.915469,[63 74] ; [15  8],[66.7875 70.2125] ; [11.2125 11.7875],0
s5,1,0.09894,2.722543,[40 90] ; [ 3 19],[36.77631579 93.22368421] ; [ 6.22368421 15.77631579],0
p3,1,0.100566,2.696551,[50 89] ; [ 4 18],[46.62111801 92.37888199] ; [ 7.37888199 14.62111801],0
u2,1,0.10143,2.682915,[33 21] ; [2 5],[30.98360656 23.01639344] ; [4.01639344 2.98360656],0
n3,1,0.108376,2.577748,[31 10] ; [8 7],[28.55357143 12.44642857] ; [10.44642857  4.55357143],0
n4,1,0.114717,2.488009,[91 49] ; [11 12],[87.60736196 52.39263804] ; [14.39263804  8.60736196],0
p9,1,0.117929,2.444611,[92 45] ; [11 11],[88.74842767 48.25157233] ; [14.25157233  7.74842767],0
v3,1,0.144814,2.126048,[48 80] ; [ 5 18],[44.92715232 83.07284768] ; [ 8.07284768 14.92715232],0
s3,1,0.147521,2.097696,[71 68] ; [ 8 15],[67.78395062 71.21604938] ; [11.21604938 11.78395062],0
n5,1,0.158267,1.990706,[88 51] ; [11 12],[84.94444444 54.05555556] ; [14.05555556  8.94444444],0
p11,1,0.210459,1.568265,[92 48] ; [12 11],[89.32515337 50.67484663] ; [14.67484663  8.32515337],0
s2,1,0.220389,1.501835,[67 71] ; [ 8 15],[64.28571429 73.71428571] ; [10.71428571 12.28571429],0
p1,1,0.260245,1.267456,[  9 131] ; [ 3 20],[ 10.30674847 129.69325153] ; [ 1.69325153 21.30674847],0
a6,1,0.267151,1.231317,[83 55] ; [11 12],[80.57142857 57.42857143] ; [13.42857143  9.57142857],0
s1,1,0.270225,1.215604,[  9 129] ; [ 3 20],[ 10.28571429 127.71428571] ; [ 1.71428571 21.28571429],0
u3,1,0.287754,1.130098,[35 20] ; [3 4],[33.70967742 21.29032258] ; [4.29032258 2.70967742],0
n1,1,0.299759,1.075267,[19 22] ; [ 5 11],[17.26315789 23.73684211] ; [6.73684211 9.26315789],0
p10,1,0.300579,1.071625,[87 50] ; [12 11],[84.76875 52.23125] ; [14.23125  8.76875],0
v2,1,0.307418,1.041738,[68 63] ; [14  8],[70.20915033 60.79084967] ; [11.79084967 10.20915033],0
p4,1,0.365784,0.817936,[49 88] ; [ 6 17],[47.09375 89.90625] ; [ 7.90625 15.09375],0
s7,1,0.368774,0.807792,[55 76] ; [ 7 15],[53.08496732 77.91503268] ; [ 8.91503268 13.08496732],0
v1,1,0.384872,0.755082,[57 80] ; [ 7 15],[55.14465409 81.85534591] ; [ 8.85534591 13.14465409],0
a4,1,0.393498,0.728104,[62 78] ; [ 8 15],[60.12269939 79.87730061] ; [ 9.87730061 13.12269939],0
a3,1,0.417759,0.656611,[85 55] ; [16  7],[86.74846626 53.25153374] ; [14.25153374  8.74846626],0
d4,1,0.448635,0.574098,[104  34] ; [19  4],[105.42857143  32.57142857] ; [17.57142857  5.42857143],0
a2,1,0.47403,0.512567,[ 27 113] ; [ 3 20],[ 25.76687117 114.23312883] ; [ 4.23312883 18.76687117],0
b5,1,0.517321,0.419231,[89 51] ; [13 10],[87.60736196 52.39263804] ; [14.39263804  8.60736196],0
n2,1,0.530702,0.393047,[33 10] ; [11  5],[32.06779661 10.93220339] ; [11.93220339  4.06779661],0
b2,1,0.539169,0.377082,[33 57] ; [3 8],[32.07920792 57.92079208] ; [3.92079208 7.07920792],0
b3,1,0.539169,0.377082,[33 57] ; [3 8],[32.07920792 57.92079208] ; [3.92079208 7.07920792],0
p7,1,0.558242,0.342757,[50 86] ; [ 7 16],[48.75471698 87.24528302] ; [ 8.24528302 14.75471698],0
a7,1,0.561904,0.336418,[88 52] ; [13 10],[86.74846626 53.25153374] ; [14.25153374  8.74846626],0
d1,1,0.562029,0.336204,[70 70] ; [13 10],[71.28834356 68.71165644] ; [11.71165644 11.28834356],0
a1,1,0.580816,0.304918,[  8 132] ; [ 2 21],[  8.58895706 131.41104294] ; [ 1.41104294 21.58895706],0
p6,1,0.612694,0.256271,[ 32 107] ; [ 4 18],[ 31.08074534 107.91925466] ; [ 4.91925466 17.08074534],0
b4,1,0.69007,0.159009,[79 61] ; [14  9],[79.87730061 60.12269939] ; [13.12269939  9.87730061],0
s4,1,0.69025,0.158815,[ 29 109] ; [ 4 19],[ 28.28571429 109.71428571] ; [ 4.71428571 18.28571429],0
a5,1,0.701386,0.147034,[91 49] ; [14  9],[90.18404908 49.81595092] ; [14.81595092  8.18404908],0
a8,1,0.721665,0.126903,[ 15 119] ; [ 2 21],[ 14.50955414 119.49044586] ; [ 2.49044586 20.50955414],0
p8,1,0.734226,0.115267,[ 32 108] ; [ 6 17],[ 32.63803681 107.36196319] ; [ 5.36196319 17.63803681],0
