Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.022121,5.236218,[11  2] ; [1 3],[9.17647059 3.82352941] ; [2.82352941 1.17647059],0
n5,1,0.13793,2.200901,[26 15] ; [8 1],[27.88 13.12] ; [6.12 2.88],0
r4,1,0.167419,1.905901,[39  3] ; [7 2],[37.88235294  4.11764706] ; [8.11764706 0.88235294],0
p4,1,0.202956,1.620975,[23 19] ; [7 2],[24.70588235 17.29411765] ; [5.29411765 3.70588235],0
p2,1,0.226118,1.465113,[29 13] ; [8 1],[30.47058824 11.52941176] ; [6.52941176 2.47058824],0
a2,1,0.253102,1.306098,[ 7 35] ; [3 6],[ 8.23529412 33.76470588] ; [1.76470588 7.23529412],0
d1,1,0.268562,1.224078,[27 15] ; [4 5],[25.52941176 16.47058824] ; [5.47058824 3.52941176],0
d2,1,0.268562,1.224078,[27 15] ; [4 5],[25.52941176 16.47058824] ; [5.47058824 3.52941176],0
v1,1,0.269456,1.219512,[22 19] ; [3 6],[20.5 20.5] ; [4.5 4.5],0
n6,1,0.269456,1.219512,[34  7] ; [6 3],[32.8  8.2] ; [7.2 1.8],0
b1,1,0.299584,1.076044,[20 22] ; [6 3],[21.41176471 20.58823529] ; [4.58823529 4.41176471],0
u3,1,0.316233,1.004464,[13  1] ; [3 1],[12.44444444  1.55555556] ; [3.55555556 0.44444444],0
s6,1,0.333138,0.936661,[31 11] ; [8 1],[32.11764706  9.88235294] ; [6.88235294 2.11764706],0
s5,1,0.351613,0.867628,[10 29] ; [3 4],[11.02173913 27.97826087] ; [1.97826087 5.02173913],0
a5,1,0.351691,0.867347,[30 12] ; [5 4],[28.82352941 13.17647059] ; [6.17647059 2.82352941],0
b3,1,0.363466,0.825882,[14 20] ; [1 4],[13.07692308 20.92307692] ; [1.92307692 3.07692308],0
b2,1,0.363466,0.825882,[14 20] ; [1 4],[13.07692308 20.92307692] ; [1.92307692 3.07692308],0
b5,1,0.365853,0.817701,[26 16] ; [7 2],[27.17647059 14.82352941] ; [5.82352941 3.17647059],0
a7,1,0.365853,0.817701,[26 16] ; [7 2],[27.17647059 14.82352941] ; [5.82352941 3.17647059],0
p9,1,0.407159,0.68708,[25 17] ; [4 5],[23.88235294 18.11764706] ; [5.11764706 3.88235294],0
p8,1,0.434444,0.610914,[20 22] ; [3 6],[18.94117647 23.05882353] ; [4.05882353 4.94117647],0
p7,1,0.44057,0.594798,[17 24] ; [5 4],[18.04 22.96] ; [3.96 5.04],0
r3,1,0.462564,0.539683,[40  2] ; [8 1],[39.52941176  2.47058824] ; [8.47058824 0.52941176],0
n4,1,0.469066,0.524176,[32  9] ; [6 3],[31.16  9.84] ; [6.84 2.16],0
a8,1,0.475289,0.509653,[10 27] ; [1 6],[ 9.25 27.75] ; [1.75 5.25],0
v3,1,0.484642,0.4884,[18 21] ; [3 6],[17.0625 21.9375] ; [3.9375 5.0625],0
s7,1,0.487416,0.482225,[27 14] ; [7 2],[27.88 13.12] ; [6.12 2.88],0
a3,1,0.526742,0.400673,[28 14] ; [5 4],[27.17647059 14.82352941] ; [5.82352941 3.17647059],0
b4,1,0.526742,0.400673,[28 14] ; [5 4],[27.17647059 14.82352941] ; [5.82352941 3.17647059],0
d5,1,0.570864,0.32124,[34  8] ; [8 1],[34.58823529  7.41176471] ; [7.41176471 1.58823529],0
a4,1,0.598311,0.277551,[18 24] ; [3 6],[17.29411765 24.70588235] ; [3.70588235 5.29411765],0
p1,1,0.687803,0.161474,[ 3 39] ; [1 8],[ 3.29411765 38.70588235] ; [0.70588235 8.29411765],0
d4,1,0.691555,0.157407,[35  7] ; [7 2],[34.58823529  7.41176471] ; [7.41176471 1.58823529],0
p11,1,0.723308,0.125346,[26 16] ; [5 4],[25.52941176 16.47058824] ; [5.47058824 3.52941176],0
p6,1,0.763753,0.090334,[16 25] ; [4 5],[16.4 24.6] ; [3.6 5.4],0
r1,1,0.827675,0.047387,[34  8] ; [7 2],[33.76470588  8.23529412] ; [7.23529412 1.76470588],0
p3,1,0.86253,0.029982,[20 22] ; [4 5],[19.76470588 22.23529412] ; [4.23529412 4.76470588],0
d3,1,0.892106,0.018398,[27 15] ; [6 3],[27.17647059 14.82352941] ; [5.82352941 3.17647059],0
a6,1,0.892106,0.018398,[27 15] ; [6 3],[27.17647059 14.82352941] ; [5.82352941 3.17647059],0
u1,1,0.958104,0.00276,[ 9 33] ; [2 7],[ 9.05882353 32.94117647] ; [1.94117647 7.05882353],0
v2,1,0.976336,0.00088,[23 18] ; [5 4],[22.96 18.04] ; [5.04 3.96],0
