Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.00017,14.133679,[15  8] ; [15 52],[ 7.66666667 15.33333333] ; [22.33333333 44.66666667],1
p7,1,0.000274,13.242762,[15  7] ; [16 48],[ 7.93023256 14.06976744] ; [23.06976744 40.93023256],1
p4,1,0.000362,12.719224,[17  6] ; [21 46],[ 9.71111111 13.28888889] ; [28.28888889 38.71111111],1
p2,1,0.001872,9.670871,[20  3] ; [33 33],[13.69662921  9.30337079] ; [39.30337079 26.69662921],0
p9,1,0.003357,8.602572,[20  3] ; [34 31],[14.11363636  8.88636364] ; [39.88636364 25.11363636],0
n5,1,0.007592,7.127273,[19  3] ; [36 30],[13.75  8.25] ; [41.25 24.75],0
s7,1,0.012099,6.296335,[12  7] ; [20 44],[ 7.3253012 11.6746988] ; [24.6746988 39.3253012],0
s8,1,0.015289,5.88283,[ 9 13] ; [11 57],[ 4.88888889 17.11111111] ; [15.11111111 52.88888889],0
p8,1,0.020214,5.393351,[11 12] ; [15 52],[ 6.64444444 16.35555556] ; [19.35555556 47.64444444],0
s2,1,0.023293,5.146512,[12  9] ; [20 47],[ 7.63636364 13.36363636] ; [24.36363636 42.63636364],0
d4,1,0.040027,4.216742,[16  7] ; [59  8],[19.16666667  3.83333333] ; [55.83333333 11.16666667],0
b5,1,0.045785,3.989493,[17  6] ; [34 34],[12.89010989 10.10989011] ; [38.10989011 29.89010989],0
p11,1,0.060098,3.534687,[17  6] ; [35 33],[13.14285714  9.85714286] ; [38.85714286 29.14285714],0
v2,1,0.061419,3.498641,[14  7] ; [29 38],[10.26136364 10.73863636] ; [32.73863636 34.26136364],0
p5,1,0.063999,3.430584,[ 5 18] ; [ 5 61],[ 2.58426966 20.41573034] ; [ 7.41573034 58.58426966],0
n2,1,0.079841,3.068132,[8 2] ; [15 16],[5.6097561 4.3902439] ; [17.3902439 13.6097561],0
p12,1,0.093432,2.814217,[ 2 21] ; [ 1 67],[ 0.75824176 22.24175824] ; [ 2.24175824 65.75824176],0
n4,1,0.093715,2.809376,[18  5] ; [40 28],[14.65934066  8.34065934] ; [43.34065934 24.65934066],0
u1,1,0.100481,2.697893,[ 5 18] ; [ 6 62],[ 2.78021978 20.21978022] ; [ 8.21978022 59.78021978],0
b4,1,0.117886,2.445189,[11 12] ; [45 23],[14.15384615  8.84615385] ; [41.84615385 26.15384615],0
d3,1,0.126539,2.334456,[12 10] ; [49 19],[14.91111111  7.08888889] ; [46.08888889 21.91111111],0
v4,1,0.149139,2.081036,[17  4] ; [41 23],[14.32941176  6.67058824] ; [43.67058824 20.32941176],0
s6,1,0.175146,1.838335,[12  9] ; [27 40],[ 9.30681818 11.69318182] ; [29.69318182 37.30681818],0
v1,1,0.187878,1.734181,[10 11] ; [21 45],[ 7.48275862 13.51724138] ; [23.51724138 42.48275862],0
r3,1,0.210972,1.564746,[15  6] ; [37 29],[12.55172414  8.44827586] ; [39.44827586 26.55172414],0
p10,1,0.214044,1.54386,[15  7] ; [35 31],[12.5  9.5] ; [37.5 28.5],0
a2,1,0.215176,1.536255,[ 6 17] ; [10 58],[ 4.04395604 18.95604396] ; [11.95604396 56.04395604],0
u2,1,0.217044,1.52381,[6 2] ; [12 12],[4.5 3.5] ; [13.5 10.5],0
a4,1,0.220979,1.497999,[13 10] ; [28 39],[10.47777778 12.52222222] ; [30.52222222 36.47777778],0
n6,1,0.233219,1.421118,[17  6] ; [39 26],[14.63636364  8.36363636] ; [41.36363636 23.63636364],0
a7,1,0.249324,1.327088,[12 11] ; [44 23],[14.31111111  8.68888889] ; [41.68888889 25.31111111],0
u3,1,0.27224,1.205423,[2 5] ; [13 12],[3.28125 3.71875] ; [11.71875 13.28125],0
b1,1,0.305964,1.048018,[14  9] ; [33 35],[11.87912088 11.12087912] ; [35.12087912 32.87912088],0
b3,1,0.342489,0.901093,[6 9] ; [11 30],[ 4.55357143 10.44642857] ; [12.44642857 28.55357143],0
b2,1,0.342489,0.901093,[6 9] ; [11 30],[ 4.55357143 10.44642857] ; [12.44642857 28.55357143],0
d1,1,0.348341,0.879492,[12 11] ; [43 25],[13.9010989  9.0989011] ; [41.0989011 26.9010989],0
s4,1,0.380201,0.770053,[ 5 17] ; [10 58],[ 3.66666667 18.33333333] ; [11.33333333 56.66666667],0
r1,1,0.391082,0.735574,[ 6 16] ; [25 42],[ 7.66292135 14.33707865] ; [23.33707865 43.66292135],0
v3,1,0.395327,0.722495,[ 8 14] ; [18 49],[ 6.42696629 15.57303371] ; [19.57303371 47.42696629],0
a6,1,0.426905,0.631229,[16  7] ; [41 27],[14.40659341  8.59340659] ; [42.59340659 25.40659341],0
a5,1,0.491249,0.47379,[17  6] ; [45 23],[15.67032967  7.32967033] ; [46.32967033 21.67032967],0
s3,1,0.573541,0.316794,[10 11] ; [26 38],[ 8.89411765 12.10588235] ; [27.10588235 36.89411765],0
r2,1,0.652922,0.202236,[14  6] ; [40 22],[13.17073171  6.82926829] ; [40.82926829 21.17073171],0
n1,1,0.653484,0.201536,[4 6] ; [10 21],[3.41463415 6.58536585] ; [10.58536585 20.41463415],0
d2,1,0.66712,0.184989,[11 12] ; [35 31],[11.88764045 11.11235955] ; [34.11235955 31.88764045],0
a1,1,0.684141,0.165502,[ 2 21] ; [ 8 60],[ 2.52747253 20.47252747] ; [ 7.47252747 60.52747253],0
s5,1,0.80187,0.062965,[ 5 14] ; [16 52],[ 4.5862069 14.4137931] ; [16.4137931 51.5862069],0
p1,1,0.848921,0.036289,[ 2 21] ; [ 5 62],[ 1.78888889 21.21111111] ; [ 5.21111111 61.78888889],0
n3,1,0.854953,0.033417,[5 5] ; [14 16],[4.75 5.25] ; [14.25 15.75],0
a3,1,0.864287,0.029214,[15  8] ; [43 25],[14.65934066  8.34065934] ; [43.34065934 24.65934066],0
