Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6e-06,20.442391,[29 14] ; [35 88],[16.57831325 26.42168675] ; [47.42168675 75.57831325],1
p1,1,0.000936,10.950091,[10 34] ; [  7 121],[ 4.34883721 39.65116279] ; [ 12.65116279 115.34883721],1
r4,1,0.002745,8.969642,[38  6] ; [80 49],[30.01156069 13.98843931] ; [87.98843931 41.01156069],0
r2,1,0.003495,8.529149,[42  2] ; [97 32],[35.35260116  8.64739884] ; [103.64739884  25.35260116],0
r1,1,0.004444,8.092993,[33 11] ; [65 64],[24.92485549 19.07514451] ; [73.07514451 55.92485549],0
n4,1,0.009123,6.798674,[34 10] ; [71 58],[26.70520231 17.29479769] ; [78.29479769 50.70520231],0
p3,1,0.010001,6.634644,[22 22] ; [37 92],[15.00578035 28.99421965] ; [43.99421965 85.00578035],0
s8,1,0.012752,6.20313,[10 34] ; [ 11 118],[ 5.34104046 38.65895954] ; [ 15.65895954 113.34104046],0
v1,1,0.037414,4.331444,[22 21] ; [42 84],[16.28402367 26.71597633] ; [47.71597633 78.28402367],0
a3,1,0.040969,4.177283,[30 14] ; [64 63],[24.1871345 19.8128655] ; [69.8128655 57.1871345],0
a5,1,0.060201,3.531844,[27 17] ; [58 71],[21.61849711 22.38150289] ; [63.38150289 65.61849711],0
p5,1,0.075225,3.165169,[ 3 41] ; [  2 125],[ 1.28654971 42.71345029] ; [  3.71345029 123.28654971],0
p7,1,0.077492,3.116723,[26 18] ; [55 71],[20.96470588 23.03529412] ; [60.03529412 65.96470588],0
n5,1,0.095315,2.782241,[32 12] ; [75 53],[27.37209302 16.62790698] ; [79.62790698 48.37209302],0
u1,1,0.159606,1.977955,[ 3 41] ; [  3 126],[ 1.52601156 42.47398844] ; [  4.47398844 124.52601156],0
v4,1,0.182791,1.774786,[39  5] ; [102  26],[36.06976744  7.93023256] ; [104.93023256  23.06976744],0
b4,1,0.207687,1.587475,[27 17] ; [65 64],[23.39884393 20.60115607] ; [68.60115607 60.39884393],0
p6,1,0.216416,1.527978,[13 31] ; [ 26 101],[10.03508772 33.96491228] ; [28.96491228 98.03508772],0
s7,1,0.225252,1.470591,[11 30] ; [ 22 100],[ 8.3006135 32.6993865] ; [24.6993865 97.3006135],0
s4,1,0.254567,1.298066,[ 3 41] ; [ 17 112],[ 5.0867052 38.9132948] ; [ 14.9132948 114.0867052],0
b2,1,0.257463,1.282346,[13 16] ; [24 49],[10.51960784 18.48039216] ; [26.48039216 46.51960784],0
b3,1,0.257463,1.282346,[13 16] ; [24 49],[10.51960784 18.48039216] ; [26.48039216 46.51960784],0
p12,1,0.261207,1.262349,[ 2 42] ; [  2 125],[ 1.02923977 42.97076023] ; [  2.97076023 124.02923977],0
n2,1,0.267253,1.230794,[7 1] ; [30 14],[5.69230769 2.30769231] ; [31.30769231 12.69230769],0
p8,1,0.269721,1.218168,[18 26] ; [40 86],[15.01176471 28.98823529] ; [42.98823529 83.01176471],0
a2,1,0.275843,1.187455,[ 4 40] ; [  6 123],[ 2.5433526 41.4566474] ; [  7.4566474 121.5433526],0
p10,1,0.326039,0.964567,[29 15] ; [73 54],[26.24561404 17.75438596] ; [75.75438596 51.24561404],0
a7,1,0.344348,0.894177,[28 16] ; [71 57],[25.3255814 18.6744186] ; [73.6744186 54.3255814],0
s5,1,0.34912,0.876652,[ 5 38] ; [  9 118],[ 3.54117647 39.45882353] ; [ 10.45882353 116.54117647],0
p9,1,0.354005,0.85905,[31 13] ; [79 47],[28.47058824 15.52941176] ; [81.52941176 44.47058824],0
a1,1,0.389666,0.739985,[ 4 40] ; [  7 122],[ 2.79768786 41.20231214] ; [  8.20231214 120.79768786],0
p4,1,0.392575,0.730952,[19 25] ; [46 82],[16.62790698 27.37209302] ; [48.37209302 79.62790698],0
r3,1,0.396458,0.719044,[37  7] ; [100  28],[35.04651163  8.95348837] ; [101.95348837  26.04651163],0
d3,1,0.400121,0.707961,[18 26] ; [43 84],[15.69590643 28.30409357] ; [45.30409357 81.69590643],0
n3,1,0.400731,0.706131,[6 1] ; [31 13],[5.07843137 1.92156863] ; [31.92156863 12.07843137],0
b1,1,0.453372,0.562207,[23 21] ; [59 70],[20.85549133 23.14450867] ; [61.14450867 67.85549133],0
s3,1,0.468833,0.524724,[10 34] ; [36 91],[11.83625731 32.16374269] ; [34.16374269 92.83625731],0
p11,1,0.578158,0.309222,[31 13] ; [85 44],[29.50289017 14.49710983] ; [86.49710983 42.50289017],0
n1,1,0.580775,0.304983,[4 4] ; [17 26],[3.29411765 4.70588235] ; [17.70588235 25.29411765],0
b5,1,0.604953,0.267589,[25 19] ; [79 50],[26.45086705 17.54913295] ; [77.54913295 51.45086705],0
a4,1,0.607301,0.264124,[13 31] ; [33 96],[11.69942197 32.30057803] ; [34.30057803 94.69942197],0
s1,1,0.684392,0.165224,[ 2 42] ; [  8 121],[ 2.5433526 41.4566474] ; [  7.4566474 121.5433526],0
s2,1,0.698563,0.149971,[ 9 35] ; [ 23 106],[ 8.13872832 35.86127168] ; [ 23.86127168 105.13872832],0
a8,1,0.715427,0.132917,[ 4 38] ; [ 14 107],[ 4.63803681 37.36196319] ; [ 13.36196319 107.63803681],0
n6,1,0.754139,0.098086,[29 15] ; [81 47],[28.13953488 15.86046512] ; [81.86046512 46.13953488],0
u3,1,0.765787,0.088738,[5 9] ; [26 39],[5.49367089 8.50632911] ; [25.50632911 39.49367089],0
d2,1,0.786105,0.073643,[ 8 36] ; [ 21 107],[ 7.41860465 36.58139535] ; [ 21.58139535 106.41860465],0
d4,1,0.828995,0.046652,[23 21] ; [65 64],[22.38150289 21.61849711] ; [65.61849711 63.38150289],0
a6,1,0.833411,0.044238,[24 20] ; [68 61],[23.39884393 20.60115607] ; [68.60115607 60.39884393],0
d5,1,0.94149,0.005387,[20 24] ; [59 69],[20.20930233 23.79069767] ; [58.79069767 69.20930233],0
u2,1,0.98798,0.000227,[6 8] ; [28 37],[6.02531646 7.97468354] ; [27.97468354 37.02531646],0
p2,1,0.99117,0.000122,[31 13] ; [91 38],[31.02890173 12.97109827] ; [90.97109827 38.02890173],0
