Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.093288,[95  8] ; [23 17],[84.99300699 18.00699301] ; [33.00699301  6.99300699],1
p10,1,2e-06,22.461951,[87 14] ; [18 20],[76.29496403 24.70503597] ; [28.70503597  9.29496403],1
p9,1,8e-06,19.917872,[87 14] ; [19 19],[77.02158273 23.97841727] ; [28.97841727  9.02158273],1
r4,1,2.8e-05,17.524048,[89 15] ; [21 19],[79.44444444 24.55555556] ; [30.55555556  9.44444444],1
v4,1,5e-05,16.46308,[96  7] ; [26 13],[88.49295775 14.50704225] ; [33.50704225  5.49295775],1
n6,1,0.000249,13.423372,[92 12] ; [24 15],[84.36363636 19.63636364] ; [31.63636364  7.36363636],1
p8,1,0.000754,11.350796,[60 40] ; [11 28],[51.07913669 48.92086331] ; [19.92086331 19.07913669],1
a6,1,0.002792,8.938957,[67 36] ; [15 25],[59.06293706 43.93706294] ; [22.93706294 17.06293706],0
p3,1,0.003061,8.770856,[45 57] ; [ 7 33],[37.35211268 64.64788732] ; [14.64788732 25.35211268],0
v2,1,0.007885,7.059518,[51 48] ; [10 28],[44.08029197 54.91970803] ; [16.91970803 21.08029197],0
p7,1,0.010227,6.59497,[59 41] ; [14 26],[52.14285714 47.85714286] ; [20.85714286 19.14285714],0
a7,1,0.012323,6.263773,[65 38] ; [16 24],[58.34265734 44.65734266] ; [22.65734266 17.34265734],0
p2,1,0.016008,5.801946,[75 27] ; [21 19],[68.95774648 33.04225352] ; [27.04225352 12.95774648],0
n3,1,0.016895,5.70721,[17  4] ; [ 9 11],[13.31707317  7.68292683] ; [12.68292683  7.31707317],0
r1,1,0.016932,5.703437,[74 30] ; [20 20],[67.88888889 36.11111111] ; [26.11111111 13.88888889],0
b4,1,0.022604,5.198693,[66 38] ; [17 23],[59.94444444 44.05555556] ; [23.05555556 16.94444444],0
s6,1,0.023879,5.103365,[64 37] ; [17 23],[58.0212766 42.9787234] ; [22.9787234 17.0212766],0
a5,1,0.025715,4.975089,[60 43] ; [15 25],[54.02097902 48.97902098] ; [20.97902098 19.02097902],0
a1,1,0.029818,4.719732,[  2 102] ; [ 4 36],[ 4.33333333 99.66666667] ; [ 1.66666667 38.33333333],0
p4,1,0.031065,4.649387,[52 50] ; [12 27],[46.29787234 55.70212766] ; [17.70212766 21.29787234],0
a3,1,0.031152,4.64458,[59 44] ; [14 24],[53.32624113 49.67375887] ; [19.67375887 18.32624113],0
s8,1,0.048111,3.90611,[38 64] ; [ 8 32],[33.04225352 68.95774648] ; [12.95774648 27.04225352],0
u2,1,0.061177,3.505185,[23 22] ; [ 7 18],[19.28571429 25.71428571] ; [10.71428571 14.28571429],0
p12,1,0.082612,3.012748,[12 89] ; [ 1 39],[ 9.31205674 91.68794326] ; [ 3.68794326 36.31205674],0
r2,1,0.099914,2.706916,[91 12] ; [31  9],[87.87412587 15.12587413] ; [34.12587413  5.87412587],0
b1,1,0.101615,2.680018,[44 60] ; [23 17],[48.38888889 55.61111111] ; [18.61111111 21.38888889],0
