Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.2e-05,19.239968,[44 15] ; [ 7 21],[34.5862069 24.4137931] ; [16.4137931 11.5862069],1
d3,1,4.3e-05,16.713408,[44 15] ; [ 8 20],[35.26436782 23.73563218] ; [16.73563218 11.26436782],1
n1,1,0.002881,8.881579,[ 2 16] ; [6 3],[ 5.33333333 12.66666667] ; [2.66666667 6.33333333],0
n6,1,0.03851,4.282348,[48 11] ; [17 11],[44.08045977 14.91954023] ; [20.91954023  7.08045977],0
b5,1,0.050002,3.841381,[39 21] ; [12 16],[34.77272727 25.22727273] ; [16.22727273 11.77272727],0
v4,1,0.083615,2.993197,[55  5] ; [22  6],[52.5  7.5] ; [24.5  3.5],0
p10,1,0.100577,2.696368,[44 16] ; [15 12],[40.68965517 19.31034483] ; [18.31034483  8.68965517],0
n5,1,0.134764,2.236747,[40 20] ; [14 14],[36.81818182 23.18181818] ; [17.18181818 10.81818182],0
n3,1,0.16612,1.917614,[9 9] ; [7 2],[10.66666667  7.33333333] ; [5.33333333 3.66666667],0
p12,1,0.172425,1.861728,[ 8 52] ; [ 1 26],[ 6.20689655 53.79310345] ; [ 2.79310345 24.20689655],0
n4,1,0.176998,1.822649,[43 17] ; [16 12],[40.22727273 19.77272727] ; [18.77272727  9.22727273],0
u4,1,0.187312,1.738637,[ 1 59] ; [ 2 26],[ 2.04545455 57.95454545] ; [ 0.95454545 27.04545455],0
s7,1,0.195795,1.673462,[28 30] ; [ 9 18],[25.24705882 32.75294118] ; [11.75294118 15.24705882],0
p9,1,0.208225,1.583723,[41 18] ; [15 12],[38.41860465 20.58139535] ; [17.58139535  9.41860465],0
a1,1,0.218559,1.51381,[ 7 53] ; [ 1 27],[ 5.45454545 54.54545455] ; [ 2.54545455 25.45454545],0
b1,1,0.2326,1.424893,[24 36] ; [15 13],[26.59090909 33.40909091] ; [12.40909091 15.59090909],0
v3,1,0.239399,1.384129,[29 31] ; [ 9 17],[26.51162791 33.48837209] ; [11.48837209 14.51162791],0
b2,1,0.281562,1.159537,[10 26] ; [ 8 11],[11.78181818 24.21818182] ; [ 6.21818182 12.78181818],0
b3,1,0.281562,1.159537,[10 26] ; [ 8 11],[11.78181818 24.21818182] ; [ 6.21818182 12.78181818],0
s2,1,0.288511,1.126556,[27 33] ; [16 12],[29.31818182 30.68181818] ; [13.68181818 14.31818182],0
n2,1,0.305141,1.051592,[11  7] ; [8 2],[12.21428571  5.78571429] ; [6.78571429 3.21428571],0
r3,1,0.321907,0.981185,[57  3] ; [25  3],[55.90909091  4.09090909] ; [26.09090909  1.90909091],0
d1,1,0.377721,0.778105,[36 24] ; [14 14],[34.09090909 25.90909091] ; [15.90909091 12.09090909],0
s1,1,0.401236,0.704618,[ 2 58] ; [ 2 25],[ 2.75862069 57.24137931] ; [ 1.24137931 25.75862069],0
u3,1,0.429195,0.625,[11  9] ; [7 3],[12.  8.] ; [6. 4.],0
d5,1,0.433256,0.614079,[44 15] ; [23  5],[45.43678161 13.56321839] ; [21.56321839  6.43678161],0
a8,1,0.437547,0.602706,[ 7 46] ; [ 2 25],[ 5.9625 47.0375] ; [ 3.0375 23.9625],0
s5,1,0.476238,0.507465,[17 41] ; [10 17],[18.42352941 39.57647059] ; [ 8.57647059 18.42352941],0
d4,1,0.476299,0.507324,[50  9] ; [22  6],[48.82758621 10.17241379] ; [23.17241379  4.82758621],0
p8,1,0.484367,0.489016,[17 43] ; [10 18],[18.40909091 41.59090909] ; [ 8.59090909 19.40909091],0
p3,1,0.499438,0.45613,[23 35] ; [ 9 19],[21.58139535 36.41860465] ; [10.41860465 17.58139535],0
p6,1,0.521582,0.410764,[17 42] ; [ 6 21],[15.77906977 43.22093023] ; [ 7.22093023 19.77906977],0
p4,1,0.539647,0.376194,[20 39] ; [11 16],[21.26744186 37.73255814] ; [ 9.73255814 17.26744186],0
p1,1,0.559082,0.341297,[ 4 56] ; [ 1 27],[ 3.40909091 56.59090909] ; [ 1.59090909 26.40909091],0
a4,1,0.569345,0.323779,[24 36] ; [13 15],[25.22727273 34.77272727] ; [11.77272727 16.22727273],0
r4,1,0.595444,0.281922,[48 12] ; [21  7],[47.04545455 12.95454545] ; [21.95454545  6.04545455],0
r1,1,0.597118,0.279365,[46 14] ; [20  8],[45. 15.] ; [21.  7.],0
u2,1,0.598702,0.276958,[11  9] ; [4 5],[10.34482759  9.65517241] ; [4.65517241 4.34482759],0
s8,1,0.61894,0.24736,[22 37] ; [12 16],[23.05747126 35.94252874] ; [10.94252874 17.05747126],0
s4,1,0.68413,0.165514,[15 44] ; [ 6 22],[14.24137931 44.75862069] ; [ 6.75862069 21.24137931],0
r2,1,0.696049,0.152615,[54  5] ; [24  3],[53.51162791  5.48837209] ; [24.48837209  2.51162791],0
a5,1,0.715242,0.133097,[43 17] ; [19  9],[42.27272727 17.72727273] ; [19.72727273  8.27272727],0
s6,1,0.736686,0.11306,[40 20] ; [17 10],[39.31034483 20.68965517] ; [17.68965517  9.31034483],0
p7,1,0.745962,0.104956,[25 34] ; [12 14],[25.68235294 33.31764706] ; [11.31764706 14.68235294],0
b4,1,0.799567,0.064469,[36 24] ; [16 12],[35.45454545 24.54545455] ; [16.54545455 11.45454545],0
a3,1,0.826285,0.048166,[40 20] ; [18 10],[39.54545455 20.45454545] ; [18.45454545  9.54545455],0
s3,1,0.884173,0.021223,[31 29] ; [14 14],[30.68181818 29.31818182] ; [14.31818182 13.68181818],0
d2,1,0.94112,0.005456,[29 30] ; [14 14],[29.16091954 29.83908046] ; [13.83908046 14.16091954],0
p11,1,0.949156,0.004066,[36 24] ; [17 11],[36.13636364 23.86363636] ; [16.86363636 11.13636364],0
v1,1,0.953574,0.00339,[27 32] ; [13 15],[27.12643678 31.87356322] ; [12.87356322 15.12643678],0
