Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,26.508111,[14 50] ; [19  4],[24.27586207 39.72413793] ; [ 8.72413793 14.27586207],1
p7,1,5.3e-05,16.34671,[16 46] ; [17  6],[24.07058824 37.92941176] ; [ 8.92941176 14.07058824],1
p2,1,0.00013,14.642561,[29 35] ; [21  2],[36.7816092 27.2183908] ; [13.2183908  9.7816092],1
p3,1,0.000596,11.787707,[12 52] ; [13 10],[18.3908046 45.6091954] ; [ 6.6091954 16.3908046],1
v2,1,0.00156,10.005835,[18 46] ; [14  7],[24.09411765 39.90588235] ; [ 7.90588235 13.09411765],0
s8,1,0.003738,8.406757,[12 53] ; [11 11],[17.18390805 47.81609195] ; [ 5.81609195 16.18390805],0
p9,1,0.005388,7.744367,[33 28] ; [20  3],[38.48809524 22.51190476] ; [14.51190476  8.48809524],0
s2,1,0.00654,7.395274,[16 48] ; [12  9],[21.08235294 42.91764706] ; [ 6.91764706 14.08235294],0
p8,1,0.010619,6.527955,[15 49] ; [12 11],[19.86206897 44.13793103] ; [ 7.13793103 15.86206897],0
u2,1,0.011412,6.4,[ 6 18] ; [6 2],[ 9. 15.] ; [3. 5.],0
s7,1,0.013882,6.053066,[20 43] ; [12  7],[24.58536585 38.41463415] ; [ 7.41463415 11.58536585],0
p11,1,0.015707,5.835356,[32 33] ; [18  5],[36.93181818 28.06818182] ; [13.06818182  9.93181818],0
d5,1,0.02046,5.372219,[36 29] ; [19  4],[40.625 24.375] ; [14.375  8.625],0
b5,1,0.028995,4.767893,[28 37] ; [16  7],[32.5 32.5] ; [11.5 11.5],0
u1,1,0.034004,4.494524,[ 4 61] ; [ 5 18],[ 6.64772727 58.35227273] ; [ 2.35227273 20.64772727],0
a4,1,0.074287,3.185666,[20 44] ; [12 11],[23.54022989 40.45977011] ; [ 8.45977011 14.54022989],0
p5,1,0.077159,3.123751,[ 5 58] ; [ 5 18],[ 7.3255814 55.6744186] ; [ 2.6744186 20.3255814],0
r3,1,0.07776,3.111111,[28 35] ; [14  7],[31.5 31.5] ; [10.5 10.5],0
v4,1,0.080924,3.046255,[35 29] ; [16  5],[38.4 25.6] ; [12.6  8.4],0
p10,1,0.095623,2.777075,[34 29] ; [17  6],[37.36046512 25.63953488] ; [13.63953488  9.36046512],0
s6,1,0.128894,2.305776,[22 43] ; [11 10],[24.94186047 40.05813953] ; [ 8.05813953 12.94186047],0
b1,1,0.14813,2.091399,[31 34] ; [15  8],[33.97727273 31.02272727] ; [12.02272727 10.97727273],0
