Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.361338,[304  20] ; [4 4],[300.57831325  23.42168675] ; [7.42168675 0.57831325],1
r2,1,7e-06,20.221968,[306  12] ; [5 3],[303.36809816  14.63190184] ; [7.63190184 0.36809816],1
r1,1,0.006975,7.279468,[275  48] ; [4 4],[272.25679758  50.74320242] ; [6.74320242 1.25679758],0
b1,1,0.027307,4.871313,[119 205] ; [6 2],[121.98795181 202.01204819] ; [3.01204819 4.98795181],0
p6,1,0.028394,4.803981,[154 165] ; [7 1],[157.06116208 161.93883792] ; [3.93883792 4.06116208],0
s6,1,0.053886,3.716217,[221  97] ; [3 5],[218.50306748  99.49693252] ; [5.49693252 2.50306748],0
s3,1,0.062494,3.469937,[185 134] ; [2 6],[182.42507645 136.57492355] ; [4.57492355 3.42507645],0
d4,1,0.06727,3.348415,[277  46] ; [5 3],[275.18429003  47.81570997] ; [6.81570997 1.18429003],0
s8,1,0.128727,2.307785,[168 154] ; [2 6],[165.87878788 156.12121212] ; [4.12121212 3.87878788],0
a7,1,0.135566,2.227578,[238  85] ; [4 4],[236.1510574  86.8489426] ; [5.8489426 2.1510574],0
p9,1,0.193977,1.687152,[289  34] ; [6 2],[287.87009063  35.12990937] ; [7.12990937 0.87009063],0
p8,1,0.229068,1.446637,[215 104] ; [7 1],[216.56880734 102.43119266] ; [5.43119266 2.56880734],0
v3,1,0.23677,1.399725,[184 131] ; [3 5],[182.36842105 132.63157895] ; [4.63157895 3.36842105],0
p10,1,0.244215,1.356096,[284  37] ; [6 2],[282.94832827  38.05167173] ; [7.05167173 0.94832827],0
p4,1,0.258554,1.276485,[221 100] ; [7 1],[222.45592705  98.54407295] ; [5.54407295 2.45592705],0
n6,1,0.281192,1.161321,[280  39] ; [6 2],[279.0030581  39.9969419] ; [6.9969419 1.0030581],0
a3,1,0.29801,1.083077,[252  71] ; [5 3],[250.78851964  72.21148036] ; [6.21148036 1.78851964],0
a2,1,0.355082,0.855212,[ 88 236] ; [1 7],[ 86.85542169 237.14457831] ; [2.14457831 5.85542169],0
s5,1,0.364149,0.823534,[129 186] ; [2 6],[127.75541796 187.24458204] ; [3.24458204 4.75541796],0
s4,1,0.411037,0.675799,[ 47 276] ; [2 6],[ 47.81570997 275.18429003] ; [1.18429003 6.81570997],0
p11,1,0.42621,0.633128,[276  48] ; [6 2],[275.20481928  48.79518072] ; [6.79518072 1.20481928],0
p5,1,0.42621,0.633128,[ 48 276] ; [2 6],[ 48.79518072 275.20481928] ; [1.20481928 6.79518072],0
n1,1,0.427436,0.62978,[16 36] ; [2 2],[16.71428571 35.28571429] ; [1.28571429 2.71428571],0
s7,1,0.436939,0.604308,[179 132] ; [3 4],[177.99371069 133.00628931] ; [4.00628931 2.99371069],0
d2,1,0.437433,0.603007,[166 157] ; [3 5],[164.91540785 158.08459215] ; [4.08459215 3.91540785],0
b2,1,0.494544,0.466624,[ 76 133] ; [3 3],[ 76.79534884 132.20465116] ; [2.20465116 3.79534884],0
b3,1,0.494544,0.466624,[ 76 133] ; [3 3],[ 76.79534884 132.20465116] ; [2.20465116 3.79534884],0
u3,1,0.508936,0.436254,[38 34] ; [1 2],[37.44 34.56] ; [1.56 1.44],0
u2,1,0.539295,0.376848,[34 36] ; [2 1],[34.52054795 35.47945205] ; [1.47945205 1.52054795],0
u1,1,0.546814,0.363056,[ 69 255] ; [1 7],[ 68.31325301 255.68674699] ; [1.68674699 6.31325301],0
a6,1,0.624853,0.239105,[227  95] ; [5 3],[226.37575758  95.62424242] ; [5.62424242 2.37575758],0
n4,1,0.627495,0.235473,[264  59] ; [6 2],[263.47432024  59.52567976] ; [6.52567976 1.47432024],0
v1,1,0.726168,0.12266,[218 101] ; [5 3],[217.54434251 101.45565749] ; [5.45565749 2.54434251],0
n3,1,0.749682,0.101798,[44 10] ; [3 1],[43.75862069 10.24137931] ; [3.24137931 0.75862069],0
p12,1,0.760483,0.092931,[ 30 292] ; [1 7],[ 30.24848485 291.75151515] ; [0.75151515 7.24848485],0
n2,1,0.764432,0.0898,[43 10] ; [3 1],[42.77192982 10.22807018] ; [3.22807018 0.77192982],0
b5,1,0.773445,0.08287,[186 138] ; [5 3],[186.39759036 137.60240964] ; [4.60240964 3.39759036],0
a4,1,0.801175,0.063416,[147 176] ; [4 4],[147.35045317 175.64954683] ; [3.64954683 4.35045317],0
d5,1,0.817611,0.053185,[273  50] ; [7 1],[273.2326284  49.7673716] ; [6.7673716 1.2326284],0
b4,1,0.826678,0.047946,[190 134] ; [5 3],[190.30120482 133.69879518] ; [4.69879518 3.30120482],0
a5,1,0.835054,0.043357,[253  71] ; [6 2],[252.75903614  71.24096386] ; [6.24096386 1.75903614],0
s2,1,0.855565,0.033132,[172 151] ; [4 4],[171.74622356 151.25377644] ; [4.25377644 3.74622356],0
p3,1,0.902557,0.01499,[208 114] ; [5 3],[207.83636364 114.16363636] ; [5.16363636 2.83636364],0
p2,1,0.9044,0.014425,[287  36] ; [7 1],[286.89425982  36.10574018] ; [7.10574018 0.89425982],0
d3,1,0.918126,0.010567,[237  86] ; [6 2],[237.12688822  85.87311178] ; [5.87311178 2.12688822],0
d1,1,0.964331,0.002,[205 119] ; [5 3],[204.93975904 119.06024096] ; [5.06024096 2.93975904],0
