Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,75.885664,[106   9] ; [20 46],[80.05524862 34.94475138] ; [45.94475138 20.05524862],1
p11,1,0.0,30.175382,[97 19] ; [30 37],[80.50273224 35.49726776] ; [46.49726776 20.50273224],1
p2,1,5e-06,20.873382,[91 22] ; [32 35],[77.21666667 35.78333333] ; [45.78333333 21.21666667],1
s8,1,6e-06,20.486063,[56 60] ; [10 57],[41.83606557 74.16393443] ; [24.16393443 42.83606557],1
v1,1,1.4e-05,18.856711,[62 52] ; [14 52],[48.13333333 65.86666667] ; [27.86666667 38.13333333],1
n5,1,1.5e-05,18.801134,[96 19] ; [36 31],[83.40659341 31.59340659] ; [48.59340659 18.40659341],1
s6,1,1.8e-05,18.424962,[67 48] ; [17 50],[53.07692308 61.92307692] ; [30.92307692 36.07692308],1
s7,1,3.2e-05,17.313642,[58 53] ; [12 49],[45.1744186 65.8255814] ; [24.8255814 36.1744186],1
p4,1,0.000294,13.109615,[61 53] ; [17 49],[49.4 64.6] ; [28.6 37.4],1
p8,1,0.000573,11.86203,[56 59] ; [15 51],[45.11049724 69.88950276] ; [25.88950276 40.11049724],1
n4,1,0.001411,10.191573,[93 23] ; [39 28],[83.67213115 32.32786885] ; [48.32786885 18.67213115],0
p7,1,0.001508,10.069023,[67 44] ; [24 43],[56.74719101 54.25280899] ; [34.25280899 32.74719101],0
v4,1,0.001766,9.777982,[102  12] ; [47 19],[94.36666667 19.63333333] ; [54.63333333 11.36666667],0
n6,1,0.001902,9.641818,[93 22] ; [40 27],[84.03846154 30.96153846] ; [48.96153846 18.03846154],0
r3,1,0.002888,8.877061,[102  14] ; [47 20],[94.44808743 21.55191257] ; [54.55191257 12.44808743],0
r4,1,0.005827,7.603129,[87 29] ; [37 30],[78.6010929 37.3989071] ; [45.3989071 21.6010929],0
a5,1,0.007702,7.101519,[77 39] ; [31 36],[68.45901639 47.54098361] ; [39.54098361 27.45901639],0
v2,1,0.009436,6.738301,[53 57] ; [18 46],[44.88505747 65.11494253] ; [26.11494253 37.88505747],0
v3,1,0.009631,6.701847,[47 66] ; [14 49],[39.16477273 73.83522727] ; [21.83522727 41.16477273],0
a3,1,0.012278,6.270278,[82 34] ; [35 32],[74.16393443 41.83606557] ; [42.83606557 24.16393443],0
s2,1,0.014838,5.935655,[49 67] ; [16 50],[41.42857143 74.57142857] ; [23.57142857 42.42857143],0
p3,1,0.014952,5.922071,[48 67] ; [16 51],[40.43956044 74.56043956] ; [23.56043956 43.43956044],0
d5,1,0.019941,5.417086,[79 37] ; [34 33],[71.6284153 44.3715847] ; [41.3715847 25.6284153],0
n3,1,0.027327,4.870055,[25  7] ; [16 15],[20.82539683 11.17460317] ; [20.17460317 10.82539683],0
r1,1,0.037025,4.34926,[77 39] ; [34 33],[70.36065574 45.63934426] ; [40.63934426 26.36065574],0
d4,1,0.038586,4.278997,[81 35] ; [36 30],[74.57142857 41.42857143] ; [42.42857143 23.57142857],0
b1,1,0.048889,3.879151,[50 66] ; [39 28],[56.41530055 59.58469945] ; [32.58469945 34.41530055],0
s3,1,0.063006,3.456435,[59 56] ; [24 41],[53.02777778 61.97222222] ; [29.97222222 35.02777778],0
r2,1,0.065243,3.398817,[97 15] ; [50 16],[92.49438202 19.50561798] ; [54.50561798 11.49438202],0
p5,1,0.090832,2.859573,[ 11 102] ; [ 2 65],[  8.16111111 104.83888889] ; [ 4.83888889 62.16111111],0
b2,1,0.190985,1.71,[35 46] ; [12 27],[31.725 49.275] ; [15.275 23.725],0
b3,1,0.190985,1.71,[35 46] ; [12 27],[31.725 49.275] ; [15.275 23.725],0
p6,1,0.195158,1.678245,[29 84] ; [11 53],[25.53672316 87.46327684] ; [14.46327684 49.53672316],0
p1,1,0.256802,1.285918,[  8 107] ; [ 2 65],[  6.31868132 108.68131868] ; [ 3.68131868 63.31868132],0
u4,1,0.275912,1.187114,[  1 115] ; [ 2 65],[  1.90163934 114.09836066] ; [ 1.09836066 65.90163934],0
n2,1,0.350679,0.871,[22 10] ; [19 14],[20.18461538 11.81538462] ; [20.81538462 12.18461538],0
d1,1,0.357746,0.845791,[46 70] ; [22 45],[43.10382514 72.89617486] ; [24.89617486 42.10382514],0
a1,1,0.366069,0.816967,[  5 111] ; [ 5 62],[  6.33879781 109.66120219] ; [ 3.66120219 63.33879781],0
n1,1,0.47746,0.504659,[13 18] ; [11 22],[11.625 19.375] ; [12.375 20.625],0
u1,1,0.485691,0.486058,[  6 110] ; [ 2 65],[  5.07103825 110.92896175] ; [ 2.92896175 64.07103825],0
a4,1,0.535084,0.384727,[44 72] ; [22 44],[42.06593407 73.93406593] ; [23.93406593 42.06593407],0
d2,1,0.548404,0.360185,[51 65] ; [26 40],[49.07692308 66.92307692] ; [27.92307692 38.07692308],0
u2,1,0.611135,0.258525,[17 17] ; [14 18],[15.96969697 18.03030303] ; [15.03030303 16.96969697],0
s4,1,0.618756,0.247619,[ 15 101] ; [ 7 60],[ 13.94535519 102.05464481] ; [ 8.05464481 58.94535519],0
s1,1,0.626349,0.237045,[  5 110] ; [ 4 63],[  5.68681319 109.31318681] ; [ 3.31318681 63.68681319],0
p12,1,0.644746,0.212589,[  5 110] ; [ 2 65],[  4.42307692 110.57692308] ; [ 2.57692308 64.42307692],0
b4,1,0.686089,0.163352,[59 57] ; [32 35],[57.68306011 58.31693989] ; [33.31693989 33.68306011],0
b5,1,0.810338,0.057595,[61 55] ; [34 33],[60.21857923 55.78142077] ; [34.78142077 32.21857923],0
d3,1,0.842722,0.039367,[45 71] ; [25 42],[44.3715847 71.6284153] ; [25.6284153 41.3715847],0
u3,1,0.852302,0.034664,[12 22] ; [12 20],[12.36363636 21.63636364] ; [11.63636364 20.36363636],0
a8,1,0.913517,0.011795,[10 99] ; [ 6 56],[10.19883041 98.80116959] ; [ 5.80116959 56.19883041],0
a6,1,0.956575,0.002965,[48 68] ; [28 39],[48.17486339 67.82513661] ; [27.82513661 39.17486339],0
a2,1,0.985927,0.000311,[  7 109] ; [ 4 63],[  6.9726776 109.0273224] ; [ 4.0273224 62.9726776],0
