Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.021953,5.249487,[16 16] ; [ 6 22],[11.73333333 20.26666667] ; [10.26666667 17.73333333],0
v2,1,0.046137,3.976574,[21 12] ; [12 19],[17.015625 15.984375] ; [15.984375 15.015625],0
n1,1,0.054319,3.702857,[3 6] ; [11  4],[5.25 3.75] ; [8.75 6.25],0
p7,1,0.058563,3.577621,[17 14] ; [10 22],[13.28571429 17.71428571] ; [13.71428571 18.28571429],0
b1,1,0.107865,2.585227,[12 21] ; [18 14],[15.23076923 17.76923077] ; [14.76923077 17.23076923],0
a6,1,0.138364,2.196055,[23 10] ; [16 15],[20.109375 12.890625] ; [18.890625 12.109375],0
s1,1,0.15203,2.051768,[ 1 32] ; [ 4 28],[ 2.53846154 30.46153846] ; [ 2.46153846 29.53846154],0
s8,1,0.173745,1.850328,[20 13] ; [14 18],[17.26153846 15.73846154] ; [16.73846154 15.26153846],0
n6,1,0.179457,1.802117,[28  5] ; [22  9],[25.78125  7.21875] ; [24.21875  6.78125],0
p8,1,0.200185,1.641026,[15 17] ; [10 22],[12.5 19.5] ; [12.5 19.5],0
p5,1,0.213644,1.546558,[ 2 31] ; [ 5 27],[ 3.55384615 29.44615385] ; [ 3.44615385 28.55384615],0
s5,1,0.245825,1.346874,[13 19] ; [ 8 22],[10.83870968 21.16129032] ; [10.16129032 19.83870968],0
p2,1,0.246948,1.340488,[25  8] ; [20 12],[22.84615385 10.15384615] ; [22.15384615  9.84615385],0
n5,1,0.247284,1.338586,[20 13] ; [23  8],[22.171875 10.828125] ; [20.828125 10.171875],0
s3,1,0.248213,1.333333,[22 10] ; [26  6],[24.  8.] ; [24.  8.],0
u3,1,0.2524,1.309972,[8 2] ; [5 4],[6.84210526 3.15789474] ; [6.15789474 2.84210526],0
u4,1,0.287259,1.132424,[ 1 32] ; [ 3 29],[ 2.03076923 30.96923077] ; [ 1.96923077 30.03076923],0
a2,1,0.357243,0.847561,[ 7 26] ; [10 22],[ 8.63076923 24.36923077] ; [ 8.36923077 23.63076923],0
p4,1,0.37859,0.775275,[16 17] ; [19 13],[17.76923077 15.23076923] ; [17.23076923 14.76923077],0
v1,1,0.378784,0.774645,[17 14] ; [14 18],[15.25396825 15.74603175] ; [15.74603175 16.25396825],0
p3,1,0.38813,0.744792,[11 22] ; [14 18],[12.69230769 20.30769231] ; [12.30769231 19.69230769],0
d4,1,0.394861,0.723921,[30  3] ; [26  5],[28.875  4.125] ; [27.125  3.875],0
