Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,5e-06,20.885195,[3 4] ; [ 1 65],[0.38356164 6.61643836] ; [ 3.61643836 62.38356164],1
p1,1,0.004391,8.114529,[2 5] ; [ 2 65],[0.37837838 6.62162162] ; [ 3.62162162 63.37837838],0
p6,1,0.016441,5.755095,[6 1] ; [25 40],[3.01388889 3.98611111] ; [27.98611111 37.01388889],0
p3,1,0.047023,3.944563,[6 1] ; [31 36],[3.5 3.5] ; [33.5 33.5],0
s8,1,0.047023,3.944563,[6 1] ; [31 36],[3.5 3.5] ; [33.5 33.5],0
s1,1,0.049056,3.873438,[1 6] ; [ 1 65],[0.19178082 6.80821918] ; [ 1.80821918 64.19178082],0
d2,1,0.077319,3.120381,[6 1] ; [34 33],[3.78378378 3.21621622] ; [36.21621622 30.78378378],0
v1,1,0.097498,2.746003,[6 1] ; [35 31],[3.93150685 3.06849315] ; [37.06849315 28.93150685],0
a6,1,0.137042,2.210868,[6 1] ; [38 29],[4.16216216 2.83783784] ; [39.83783784 27.16216216],0
a1,1,0.149162,2.080803,[1 6] ; [ 2 65],[0.28378378 6.71621622] ; [ 2.71621622 64.28378378],0
p8,1,0.174842,1.840932,[5 2] ; [28 35],[3.3 3.7] ; [29.7 33.3],0
u1,1,0.188735,1.727466,[3 4] ; [14 53],[1.60810811 5.39189189] ; [15.39189189 51.60810811],0
d1,1,0.19973,1.644345,[6 1] ; [41 26],[4.44594595 2.55405405] ; [42.55405405 24.44594595],0
n4,1,0.281091,1.161805,[6 1] ; [44 23],[4.72972973 2.27027027] ; [45.27027027 21.72972973],0
n5,1,0.281091,1.161805,[6 1] ; [44 23],[4.72972973 2.27027027] ; [45.27027027 21.72972973],0
d5,1,0.284023,1.147737,[5 2] ; [58  9],[5.95945946 1.04054054] ; [57.04054054  9.95945946],0
a5,1,0.312965,1.018121,[6 1] ; [45 22],[4.82432432 2.17567568] ; [46.17567568 20.82432432],0
p11,1,0.312965,1.018121,[6 1] ; [45 22],[4.82432432 2.17567568] ; [46.17567568 20.82432432],0
p2,1,0.384754,0.755456,[6 1] ; [47 20],[5.01351351 1.98648649] ; [47.98648649 19.01351351],0
s3,1,0.386442,0.750107,[4 3] ; [48 18],[4.98630137 2.01369863] ; [47.01369863 18.98630137],0
b3,1,0.446459,0.579626,[2 4] ; [ 6 25],[1.2972973 4.7027027] ; [ 6.7027027 24.2972973],0
b2,1,0.446459,0.579626,[2 4] ; [ 6 25],[1.2972973 4.7027027] ; [ 6.7027027 24.2972973],0
s7,1,0.45952,0.547064,[5 2] ; [37 28],[4.08333333 2.91666667] ; [37.91666667 27.08333333],0
v3,1,0.498954,0.45716,[4 3] ; [28 36],[3.15492958 3.84507042] ; [28.84507042 35.15492958],0
b5,1,0.595234,0.282245,[5 2] ; [41 26],[4.35135135 2.64864865] ; [41.64864865 25.35135135],0
a2,1,0.638772,0.220351,[2 5] ; [14 53],[1.51351351 5.48648649] ; [14.48648649 52.51351351],0
d3,1,0.638772,0.220351,[5 2] ; [53 14],[5.48648649 1.51351351] ; [52.51351351 14.48648649],0
a4,1,0.691206,0.157783,[4 3] ; [33 34],[3.5 3.5] ; [33.5 33.5],0
b1,1,0.702241,0.146151,[2 5] ; [24 43],[2.45945946 4.54054054] ; [23.54054054 43.45945946],0
b4,1,0.712896,0.135402,[4 3] ; [43 24],[4.44594595 2.55405405] ; [42.55405405 24.44594595],0
d4,1,0.755678,0.096821,[6 1] ; [60  7],[6.24324324 0.75675676] ; [59.75675676  7.24324324],0
s2,1,0.924365,0.009013,[5 2] ; [46 20],[4.89041096 2.10958904] ; [46.10958904 19.89041096],0
n6,1,0.951451,0.003707,[6 1] ; [56 10],[5.94520548 1.05479452] ; [56.05479452  9.94520548],0
