Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.3e-05,19.032578,[16  5] ; [31 84],[ 7.25735294 13.74264706] ; [39.74264706 75.25735294],1
s5,1,0.000435,12.373701,[ 8 11] ; [ 12 100],[ 2.90076336 16.09923664] ; [17.09923664 94.90076336],1
s2,1,0.014118,6.023346,[10 10] ; [27 88],[ 5.48148148 14.51851852] ; [31.51851852 83.48148148],0
n6,1,0.018584,5.540253,[18  4] ; [62 51],[13.03703704  8.96296296] ; [66.96296296 46.03703704],0
n5,1,0.026233,4.940574,[ 8 14] ; [70 43],[12.71111111  9.28888889] ; [65.28888889 47.71111111],0
a6,1,0.053009,3.74363,[ 8 14] ; [67 47],[12.13235294  9.86764706] ; [62.86764706 51.13235294],0
p12,1,0.060582,3.521391,[ 2 20] ; [  2 113],[ 0.64233577 21.35766423] ; [  3.35766423 111.64233577],0
u3,1,0.183897,1.765848,[6 3] ; [20 27],[4.17857143 4.82142857] ; [21.82142857 25.17857143],0
d3,1,0.186169,1.747681,[14  8] ; [55 59],[11.16176471 10.83823529] ; [57.83823529 56.16176471],0
u2,1,0.192503,1.698353,[2 7] ; [21 25],[3.76363636 5.23636364] ; [19.23636364 26.76363636],0
p9,1,0.195127,1.678475,[12  9] ; [46 64],[ 9.29770992 11.70229008] ; [48.70229008 61.29770992],0
p3,1,0.212954,1.55123,[ 8 14] ; [27 87],[ 5.66176471 16.33823529] ; [29.33823529 84.66176471],0
v2,1,0.217776,1.518966,[11 10] ; [41 67],[ 8.46511628 12.53488372] ; [43.53488372 64.46511628],0
p7,1,0.228753,1.4486,[ 4 18] ; [34 76],[ 6.33333333 15.66666667] ; [31.66666667 78.33333333],0
r2,1,0.229803,1.442078,[19  2] ; [88 23],[17.02272727  3.97727273] ; [89.97727273 21.02272727],0
p8,1,0.232154,1.427616,[ 3 19] ; [29 85],[ 5.17647059 16.82352941] ; [26.82352941 87.17647059],0
s7,1,0.250439,1.320855,[ 5 15] ; [16 93],[ 3.25581395 16.74418605] ; [17.74418605 91.25581395],0
p6,1,0.323384,0.975209,[ 4 18] ; [ 12 100],[ 2.62686567 19.37313433] ; [13.37313433 98.62686567],0
s3,1,0.34096,0.906818,[ 9 12] ; [36 76],[ 7.10526316 13.89473684] ; [37.89473684 74.10526316],0
n4,1,0.401027,0.705245,[11 11] ; [68 46],[12.77941176  9.22058824] ; [66.22058824 47.77941176],0
r4,1,0.426046,0.633577,[15  7] ; [68 47],[13.32846715  8.67153285] ; [69.67153285 45.32846715],0
u1,1,0.445428,0.582259,[ 1 21] ; [ 11 104],[ 1.9270073 20.0729927] ; [ 10.0729927 104.9270073],0
p10,1,0.486763,0.483674,[11 11] ; [47 65],[ 9.52238806 12.47761194] ; [48.47761194 63.52238806],0
r1,1,0.515123,0.423647,[14  8] ; [64 50],[12.61764706  9.38235294] ; [65.38235294 48.61764706],0
r3,1,0.551653,0.354365,[17  5] ; [81 33],[15.85294118  6.14705882] ; [82.14705882 31.85294118],0
v4,1,0.551653,0.354365,[17  5] ; [81 33],[15.85294118  6.14705882] ; [82.14705882 31.85294118],0
b2,1,0.590104,0.290183,[5 6] ; [24 41],[4.19736842 6.80263158] ; [24.80263158 40.19736842],0
b3,1,0.590104,0.290183,[5 6] ; [24 41],[4.19736842 6.80263158] ; [24.80263158 40.19736842],0
b5,1,0.602059,0.271901,[13  9] ; [61 54],[11.88321168 10.11678832] ; [62.11678832 52.88321168],0
d5,1,0.616378,0.250991,[14  8] ; [66 48],[12.94117647  9.05882353] ; [67.05882353 46.94117647],0
d4,1,0.632144,0.229164,[16  6] ; [77 37],[15.04411765  6.95588235] ; [77.95588235 36.04411765],0
a4,1,0.681018,0.168982,[ 9 13] ; [41 72],[ 8.14814815 13.85185185] ; [41.85185185 71.14814815],0
p4,1,0.683138,0.166615,[ 6 16] ; [26 86],[ 5.25373134 16.74626866] ; [26.74626866 85.25373134],0
d1,1,0.689349,0.159791,[10 12] ; [47 68],[ 9.15328467 12.84671533] ; [47.84671533 67.15328467],0
s1,1,0.718137,0.130285,[ 3 18] ; [ 13 100],[ 2.50746269 18.49253731] ; [13.49253731 99.50746269],0
a7,1,0.726379,0.122463,[14  8] ; [68 46],[13.26470588  8.73529412] ; [68.73529412 45.26470588],0
a5,1,0.765817,0.088715,[13  9] ; [64 51],[12.3649635  9.6350365] ; [64.6350365 50.3649635],0
n3,1,0.774771,0.081876,[7 5] ; [22 19],[6.56603774 5.43396226] ; [22.43396226 18.56603774],0
n2,1,0.8489,0.036299,[7 5] ; [27 17],[7.28571429 4.71428571] ; [26.71428571 17.28571429],0
v3,1,0.868346,0.027476,[ 6 14] ; [31 79],[ 5.69230769 14.30769231] ; [31.30769231 78.69230769],0
n1,1,0.893968,0.017765,[5 7] ; [17 26],[4.8 7.2] ; [17.2 25.8],0
b4,1,0.897065,0.016736,[12 10] ; [61 54],[11.72262774 10.27737226] ; [61.27737226 53.72262774],0
p11,1,0.923763,0.009157,[10 12] ; [51 64],[ 9.79562044 12.20437956] ; [51.20437956 63.79562044],0
a3,1,0.924208,0.009051,[13  9] ; [68 45],[13.2  8.8] ; [67.8 45.2],0
v1,1,0.939166,0.005825,[ 6 16] ; [32 82],[ 6.14705882 15.85294118] ; [31.85294118 82.14705882],0
p1,1,0.944552,0.004837,[ 2 20] ; [ 11 104],[ 2.08759124 19.91240876] ; [ 10.91240876 104.08759124],0
a1,1,0.944552,0.004837,[ 2 20] ; [ 11 104],[ 2.08759124 19.91240876] ; [ 10.91240876 104.08759124],0
d2,1,0.949078,0.004079,[ 9 13] ; [45 67],[ 8.86567164 13.13432836] ; [45.13432836 66.86567164],0
b1,1,0.956513,0.002973,[10 12] ; [53 62],[10.11678832 11.88321168] ; [52.88321168 62.11678832],0
p5,1,0.973394,0.001112,[ 1 21] ; [  5 109],[ 0.97058824 21.02941176] ; [  5.02941176 108.97058824],0
