Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,3e-06,22.149014,[31 81] ; [97 76],[50.30175439 61.69824561] ; [77.69824561 95.30175439],1
v2,1,3e-05,17.429967,[48 64] ; [118  56],[65.00699301 46.99300699] ; [100.99300699  73.00699301],1
p5,1,0.002559,9.098234,[ 11 103] ; [ 42 136],[20.69178082 93.30821918] ; [ 32.30821918 145.69178082],0
s5,1,0.003685,8.433013,[45 64] ; [101  70],[56.83571429 52.16428571] ; [89.16428571 81.83571429],0
n5,1,0.004083,8.246556,[85 29] ; [156  22],[94.0890411 19.9109589] ; [146.9109589  31.0890411],0
s8,1,0.007923,7.050703,[65 49] ; [129  50],[75.48122867 38.51877133] ; [118.51877133  60.48122867],0
p10,1,0.026645,4.913668,[93 21] ; [162  17],[99.21501706 14.78498294] ; [155.78498294  23.21501706],0
s4,1,0.035014,4.444511,[33 78] ; [ 34 145],[25.64482759 85.35517241] ; [ 41.35517241 137.64482759],0
p9,1,0.035221,4.434438,[97 17] ; [166  13],[102.32764505  11.67235495] ; [160.67235495  18.32764505],0
u4,1,0.039444,4.241635,[  1 113] ; [ 10 170],[  4.26530612 109.73469388] ; [  6.73469388 173.26530612],0
d1,1,0.039498,4.23933,[72 42] ; [134  46],[79.87755102 34.12244898] ; [126.12244898  53.87755102],0
p8,1,0.042408,4.118827,[63 51] ; [120  59],[71.20136519 42.79863481] ; [111.79863481  67.20136519],0
a8,1,0.042604,4.111034,[ 9 97] ; [ 29 140],[14.64727273 91.35272727] ; [ 23.35272727 145.64727273],0
a3,1,0.072877,3.216992,[83 31] ; [147  33],[89.18367347 24.81632653] ; [140.81632653  39.18367347],0
d4,1,0.074238,3.186731,[96 18] ; [163  16],[100.77133106  13.22866894] ; [158.22866894  20.77133106],0
p11,1,0.080368,3.057444,[84 30] ; [148  32],[89.95918367 24.04081633] ; [142.04081633  37.95918367],0
n6,1,0.083504,2.995342,[97 17] ; [163  15],[101.50684932  12.49315068] ; [158.49315068  19.50684932],0
p12,1,0.08789,2.912608,[ 10 104] ; [ 28 151],[14.78498294 99.21501706] ; [ 23.21501706 155.78498294],0
p6,1,0.105081,2.62668,[55 59] ; [102  74],[61.71724138 52.28275862] ; [95.28275862 80.71724138],0
n4,1,0.147615,2.096727,[90 24] ; [153  26],[94.54607509 19.45392491] ; [148.45392491  30.54607509],0
d5,1,0.176619,1.825845,[92 22] ; [155  24],[96.10238908 17.89761092] ; [150.89761092  28.10238908],0
a5,1,0.217931,1.517943,[87 27] ; [148  32],[91.12244898 22.87755102] ; [143.87755102  36.12244898],0
r2,1,0.224996,1.472216,[104   8] ; [172   7],[106.22680412   5.77319588] ; [169.77319588   9.22680412],0
r4,1,0.238929,1.386901,[102  12] ; [168  12],[104.69387755   9.30612245] ; [165.30612245  14.69387755],0
s1,1,0.267568,1.229172,[  7 107] ; [  6 171],[  5.09278351 108.90721649] ; [  7.90721649 169.09278351],0
a2,1,0.281262,1.160982,[30 84] ; [ 58 122],[34.12244898 79.87755102] ; [ 53.87755102 126.12244898],0
v4,1,0.302267,1.064164,[109   5] ; [174   4],[110.48630137   3.51369863] ; [172.51369863   5.48630137],0
a4,1,0.318826,0.993754,[54 60] ; [96 84],[58.16326531 55.83673469] ; [91.83673469 88.16326531],0
n3,1,0.35064,0.871138,[22  5] ; [22  9],[20.48275862  6.51724138] ; [23.51724138  7.48275862],0
n2,1,0.358228,0.844095,[20  7] ; [26  5],[21.4137931  5.5862069] ; [24.5862069  6.4137931],0
p3,1,0.362841,0.828038,[74 39] ; [127  53],[77.51877133 35.48122867] ; [123.48122867  56.51877133],0
u3,1,0.370371,0.802418,[18 11] ; [24  9],[19.64516129  9.35483871] ; [22.35483871 10.64516129],0
u1,1,0.377101,0.780132,[24 90] ; [ 46 134],[27.14285714 86.85714286] ; [ 42.85714286 137.14285714],0
s3,1,0.3779,0.777522,[102  12] ; [153  25],[99.55479452 14.44520548] ; [155.44520548  22.55479452],0
p7,1,0.381941,0.764445,[81 32] ; [135  42],[84.16551724 28.83448276] ; [131.83448276  45.16551724],0
b3,1,0.40895,0.681851,[21 42] ; [49 75],[23.5828877 39.4171123] ; [46.4171123 77.5828877],0
b2,1,0.40895,0.681851,[21 42] ; [49 75],[23.5828877 39.4171123] ; [46.4171123 77.5828877],0
s7,1,0.447823,0.576155,[76 31] ; [130  43],[78.72142857 28.27857143] ; [127.27857143  45.72142857],0
n1,1,0.45195,0.565757,[10 16] ; [15 16],[11.40350877 14.59649123] ; [13.59649123 17.40350877],0
u2,1,0.458032,0.550699,[20 10] ; [19 14],[18.57142857 11.42857143] ; [20.42857143 12.57142857],0
r1,1,0.487233,0.482631,[91 22] ; [149  29],[93.19587629 19.80412371] ; [146.80412371  31.19587629],0
d3,1,0.489665,0.477263,[86 28] ; [142  38],[88.40816327 25.59183673] ; [139.59183673  40.40816327],0
s6,1,0.509347,0.435409,[104   9] ; [157  18],[102.40625  10.59375] ; [158.59375  16.40625],0
b1,1,0.513323,0.427286,[45 69] ; [ 78 102],[47.69387755 66.30612245] ; [ 75.30612245 104.69387755],0
d2,1,0.524644,0.404755,[60 54] ; [101  78],[62.64163823 51.35836177] ; [98.35836177 80.64163823],0
p2,1,0.599746,0.27538,[101  13] ; [162  17],[102.32764505  11.67235495] ; [160.67235495  18.32764505],0
r3,1,0.632366,0.228866,[108   5] ; [174   6],[108.75767918   4.24232082] ; [173.24232082   6.75767918],0
a6,1,0.638283,0.220994,[79 35] ; [120  60],[77.16326531 36.83673469] ; [121.83673469  58.16326531],0
p1,1,0.667617,0.184403,[ 11 103] ; [ 20 158],[ 12.10273973 101.89726027] ; [ 18.89726027 159.10273973],0
a7,1,0.776879,0.080309,[83 31] ; [133  46],[84.04095563 29.95904437] ; [131.95904437  47.04095563],0
b4,1,0.940718,0.005531,[67 47] ; [105  75],[66.69387755 47.30612245] ; [105.30612245  74.69387755],0
a1,1,0.947062,0.004408,[  8 106] ; [ 13 167],[  8.14285714 105.85714286] ; [ 12.85714286 167.14285714],0
b5,1,0.984159,0.000394,[67 47] ; [106  74],[67.08163265 46.91836735] ; [105.91836735  74.08163265],0
