Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,8.6e-05,15.427425,[24 21] ; [ 2 25],[16.25 28.75] ; [ 9.75 17.25],1
p7,1,0.004155,8.214896,[17 28] ; [19  7],[22.81690141 22.18309859] ; [13.18309859 12.81690141],0
p11,1,0.022979,5.170102,[21 24] ; [20  7],[25.625 19.375] ; [15.375 11.625],0
r3,1,0.032755,4.558537,[27 17] ; [23  4],[30.98591549 13.01408451] ; [19.01408451  7.98591549],0
d2,1,0.035015,4.444444,[15 30] ; [ 3 24],[11.25 33.75] ; [ 6.75 20.25],0
p1,1,0.044066,4.054027,[ 2 43] ; [ 5 21],[ 4.43661972 40.56338028] ; [ 2.56338028 23.43661972],0
n5,1,0.057142,3.618462,[36  9] ; [16 11],[32.5 12.5] ; [19.5  7.5],0
a4,1,0.068836,3.310561,[11 34] ; [ 2 25],[ 8.125 36.875] ; [ 4.875 22.125],0
p10,1,0.072434,3.22699,[22 21] ; [19  7],[25.55072464 17.44927536] ; [15.44927536 10.55072464],0
b3,1,0.102755,2.662256,[ 9 15] ; [ 2 13],[ 6.76923077 17.23076923] ; [ 4.23076923 10.76923077],0
b2,1,0.102755,2.662256,[ 9 15] ; [ 2 13],[ 6.76923077 17.23076923] ; [ 4.23076923 10.76923077],0
p4,1,0.148278,2.089877,[14 31] ; [13 14],[16.875 28.125] ; [10.125 16.875],0
a5,1,0.170532,1.878261,[17 28] ; [ 6 21],[14.375 30.625] ; [ 8.625 18.375],0
p2,1,0.202237,1.626149,[28 17] ; [20  6],[30.42253521 14.57746479] ; [17.57746479  8.42253521],0
a8,1,0.219436,1.508055,[ 6 38] ; [ 1 23],[ 4.52941176 39.47058824] ; [ 2.47058824 21.52941176],0
v4,1,0.228213,1.451967,[32 13] ; [21  4],[34.07142857 10.92857143] ; [18.92857143  6.07142857],0
p9,1,0.23455,1.413053,[27 15] ; [21  6],[29.2173913 12.7826087] ; [18.7826087  8.2173913],0
n3,1,0.269007,1.221805,[12  6] ; [7 1],[13.15384615  4.84615385] ; [5.84615385 2.15384615],0
p12,1,0.28645,1.136232,[ 1 44] ; [ 2 25],[ 1.875 43.125] ; [ 1.125 25.875],0
d5,1,0.313121,1.017465,[20 24] ; [ 9 18],[17.97183099 26.02816901] ; [11.02816901 15.97183099],0
p3,1,0.355065,0.855273,[12 33] ; [10 17],[13.75 31.25] ; [ 8.25 18.75],0
p6,1,0.379141,0.773486,[ 9 35] ; [ 8 19],[10.53521127 33.46478873] ; [ 6.46478873 20.53521127],0
n4,1,0.387534,0.746667,[28 17] ; [14 13],[26.25 18.75] ; [15.75 11.25],0
n6,1,0.396214,0.719787,[29 16] ; [20  7],[30.625 14.375] ; [18.375  8.625],0
s8,1,0.409828,0.679298,[ 8 37] ; [ 7 20],[ 9.375 35.625] ; [ 5.625 21.375],0
v1,1,0.414935,0.664615,[14 31] ; [ 6 21],[12.5 32.5] ; [ 7.5 19.5],0
u2,1,0.41757,0.657143,[ 6 15] ; [10 15],[ 7.30434783 13.69565217] ; [ 8.69565217 16.30434783],0
n2,1,0.420113,0.65,[12  6] ; [4 4],[11.07692308  6.92307692] ; [4.92307692 3.07692308],0
s6,1,0.517146,0.41958,[12 32] ; [ 9 17],[13.2 30.8] ; [ 7.8 18.2],0
s3,1,0.572333,0.318794,[16 29] ; [11 15],[17.11267606 27.88732394] ; [ 9.88732394 16.11267606],0
n1,1,0.606759,0.264922,[ 6 11] ; [2 6],[ 5.44 11.56] ; [2.56 5.44],0
a7,1,0.609104,0.261481,[19 25] ; [10 17],[17.97183099 26.02816901] ; [11.02816901 15.97183099],0
v3,1,0.639227,0.219755,[ 7 38] ; [ 3 23],[ 6.33802817 38.66197183] ; [ 3.66197183 22.33802817],0
b1,1,0.760098,0.09324,[20 25] ; [13 14],[20.625 24.375] ; [12.375 14.625],0
s7,1,0.773235,0.083028,[10 32] ; [ 7 19],[10.5 31.5] ; [ 6.5 19.5],0
s2,1,0.785817,0.073846,[12 33] ; [ 8 19],[12.5 32.5] ; [ 7.5 19.5],0
u3,1,0.801251,0.063367,[ 6 15] ; [ 8 17],[ 6.39130435 14.60869565] ; [ 7.60869565 17.39130435],0
a6,1,0.807671,0.059259,[23 22] ; [13 14],[22.5 22.5] ; [13.5 13.5],0
b4,1,0.807671,0.059259,[23 22] ; [13 14],[22.5 22.5] ; [13.5 13.5],0
r2,1,0.817088,0.053496,[34 11] ; [19  7],[33.5915493 11.4084507] ; [19.4084507  6.5915493],0
b5,1,0.85373,0.033989,[26 19] ; [15 12],[25.625 19.375] ; [15.375 11.625],0
v2,1,0.856133,0.032869,[11 33] ; [ 6 20],[10.68571429 33.31428571] ; [ 6.31428571 19.68571429],0
r4,1,0.902975,0.014861,[21 24] ; [13 14],[21.25 23.75] ; [12.75 14.25],0
s4,1,0.936946,0.006258,[ 8 37] ; [ 5 22],[ 8.125 36.875] ; [ 4.875 22.125],0
s5,1,0.973939,0.001067,[ 5 39] ; [ 3 24],[ 4.95774648 39.04225352] ; [ 3.04225352 23.95774648],0
d3,1,0.992803,8.1e-05,[ 8 35] ; [ 5 22],[ 7.98571429 35.01428571] ; [ 5.01428571 21.98571429],0
