Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.00033,12.89099,[ 1 16] ; [6 2],[ 4.76 12.24] ; [2.24 5.76],1
n5,1,0.00141,10.193208,[32  6] ; [11 13],[26.35483871 11.64516129] ; [16.64516129  7.35483871],0
a1,1,0.041826,4.142223,[ 9 29] ; [ 1 23],[ 6.12903226 31.87096774] ; [ 3.87096774 20.12903226],0
s5,1,0.041826,4.142223,[ 9 29] ; [ 1 23],[ 6.12903226 31.87096774] ; [ 3.87096774 20.12903226],0
d2,1,0.064744,3.411477,[18 19] ; [ 6 18],[14.55737705 22.44262295] ; [ 9.44262295 14.55737705],0
p2,1,0.110536,2.54654,[11 26] ; [12 12],[13.95081967 23.04918033] ; [ 9.04918033 14.95081967],0
d4,1,0.136941,2.212001,[18 20] ; [16  8],[20.83870968 17.16129032] ; [13.16129032 10.83870968],0
p7,1,0.150864,2.063492,[10 26] ; [11 13],[12.6 23.4] ; [ 8.4 15.6],0
s2,1,0.184727,1.759177,[ 8 30] ; [ 2 22],[ 6.12903226 31.87096774] ; [ 3.87096774 20.12903226],0
s6,1,0.191189,1.708429,[12 26] ; [ 4 20],[ 9.80645161 28.19354839] ; [ 6.19354839 17.80645161],0
d1,1,0.240825,1.375756,[15 23] ; [ 6 18],[12.87096774 25.12903226] ; [ 8.12903226 15.87096774],0
v4,1,0.244784,1.35283,[18 20] ; [15  9],[20.22580645 17.77419355] ; [12.77419355 11.22580645],0
p1,1,0.272067,1.206297,[ 7 31] ; [ 2 22],[ 5.51612903 32.48387097] ; [ 3.48387097 20.51612903],0
a4,1,0.324955,0.9689,[15 21] ; [ 7 17],[13.2 22.8] ; [ 8.8 15.2],0
a6,1,0.335371,0.928046,[19 19] ; [ 9 15],[17.16129032 20.83870968] ; [10.83870968 13.16129032],0
p8,1,0.348769,0.877931,[ 9 29] ; [ 8 15],[10.59016393 27.40983607] ; [ 6.40983607 16.59016393],0
p11,1,0.352144,0.865715,[10 28] ; [ 9 15],[11.64516129 26.35483871] ; [ 7.35483871 16.64516129],0
a5,1,0.353865,0.859548,[22 16] ; [11 13],[20.22580645 17.77419355] ; [12.77419355 11.22580645],0
