Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,8.3e-05,15.480616,[24 18] ; [37  2],[31.62962963 10.37037037] ; [29.37037037  9.62962963],1
v4,1,0.000143,14.459037,[26 15] ; [38  1],[32.8  8.2] ; [31.2  7.8],1
s2,1,0.000165,14.189817,[ 7 34] ; [23 17],[15.18518519 25.81481481] ; [14.81481481 25.18518519],1
p2,1,0.000177,14.065934,[18 22] ; [34  6],[26. 14.] ; [26. 14.],1
s3,1,0.00075,11.360609,[14 27] ; [28 11],[21.525 19.475] ; [20.475 18.525],1
s8,1,0.000854,11.11922,[ 5 37] ; [18 22],[11.7804878 30.2195122] ; [11.2195122 28.7804878],1
s7,1,0.001021,10.789145,[ 5 33] ; [19 21],[11.69230769 26.30769231] ; [12.30769231 27.69230769],0
r4,1,0.001175,10.529273,[19 23] ; [32  8],[26.12195122 15.87804878] ; [24.87804878 15.12195122],0
r1,1,0.002757,8.961551,[19 23] ; [31  9],[25.6097561 16.3902439] ; [24.3902439 15.6097561],0
p7,1,0.005522,7.7,[18 24] ; [26  9],[24. 18.] ; [20. 15.],0
p9,1,0.006634,7.369431,[23 18] ; [32  6],[28.5443038 12.4556962] ; [26.4556962 11.5443038],0
p11,1,0.006674,7.358637,[18 24] ; [29 11],[24.07317073 17.92682927] ; [22.92682927 17.07317073],0
p8,1,0.01038,6.568421,[ 8 32] ; [18 20],[13.33333333 26.66666667] ; [12.66666667 25.33333333],0
d4,1,0.032609,4.566187,[21 20] ; [29 10],[25.625 15.375] ; [24.375 14.625],0
p10,1,0.034536,4.46796,[19 21] ; [27 11],[23.58974359 16.41025641] ; [22.41025641 15.58974359],0
b2,1,0.036322,4.38193,[ 9 12] ; [ 4 22],[ 5.80851064 15.19148936] ; [ 7.19148936 18.80851064],0
b3,1,0.036322,4.38193,[ 9 12] ; [ 4 22],[ 5.80851064 15.19148936] ; [ 7.19148936 18.80851064],0
p4,1,0.056364,3.641271,[12 29] ; [20 20],[16.19753086 24.80246914] ; [15.80246914 24.19753086],0
s5,1,0.061617,3.493309,[ 4 37] ; [10 29],[ 7.175 33.825] ; [ 6.825 32.175],0
v2,1,0.068222,3.325281,[14 25] ; [21 16],[17.96052632 21.03947368] ; [17.03947368 19.96052632],0
b5,1,0.068858,3.310028,[20 22] ; [27 13],[24.07317073 17.92682927] ; [22.92682927 17.07317073],0
d3,1,0.070096,3.280775,[18 23] ; [25 14],[22.0375 18.9625] ; [20.9625 18.0375],0
