Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,92.901981,[ 58 106] ; [135  18],[99.84858044 64.15141956] ; [93.15141956 59.84858044],1
d2,1,0.0,89.967709,[ 30 135] ; [108  44],[71.829653 93.170347] ; [66.170347 85.829653],1
d4,1,0.0,86.322529,[89 77] ; [150   2],[124.76100629  41.23899371] ; [114.23899371  37.76100629],1
d5,1,0.0,82.87599,[85 80] ; [148   5],[120.89622642  44.10377358] ; [112.10377358  40.89622642],1
a5,1,0.0,41.036896,[77 89] ; [124  29],[104.59561129  61.40438871] ; [96.40438871 56.59561129],1
a2,1,0.0,40.329808,[ 11 155] ; [54 99],[ 33.82445141 132.17554859] ; [ 31.17554859 121.82445141],1
a4,1,0.0,32.98958,[ 47 118] ; [92 60],[72.35015773 92.64984227] ; [66.64984227 85.35015773],1
u1,1,0.0,30.156666,[  6 160] ; [ 38 115],[ 22.89655172 143.10344828] ; [ 21.10344828 131.89655172],1
a3,1,1.7e-05,18.479286,[90 74] ; [119  34],[108.12618297  55.87381703] ; [100.87381703  52.12618297],1
a6,1,2.5e-05,17.748405,[87 79] ; [115  38],[105.11598746  60.88401254] ; [96.88401254 56.11598746],1
a7,1,0.00349,8.532031,[95 70] ; [112  41],[107.40566038  57.59433962] ; [99.59433962 53.40566038],0
r1,1,0.005555,7.6894,[99 65] ; [114  38],[110.5443038  53.4556962] ; [102.4556962  49.5443038],0
r2,1,0.006844,7.313426,[135  29] ; [137  11],[142.97435897  21.02564103] ; [129.02564103  18.97435897],0
s7,1,0.00754,7.139499,[ 44 114] ; [62 84],[ 55.09210526 102.90789474] ; [50.90789474 95.09210526],0
p4,1,0.012592,6.225548,[ 54 111] ; [71 82],[ 64.85849057 100.14150943] ; [60.14150943 92.85849057],0
s6,1,0.014506,5.975455,[79 86] ; [93 58],[89.81012658 75.18987342] ; [82.18987342 68.81012658],0
v2,1,0.017899,5.605995,[ 52 108] ; [68 81],[62.13592233 97.86407767] ; [57.86407767 91.13592233],0
s2,1,0.026525,4.921447,[ 60 105] ; [74 78],[69.74763407 95.25236593] ; [64.25236593 87.74763407],0
p10,1,0.039138,4.254876,[96 66] ; [107  45],[104.73248408  57.26751592] ; [98.26751592 53.73248408],0
p3,1,0.046698,3.956228,[ 39 127] ; [ 51 101],[ 46.98113208 119.01886792] ; [ 43.01886792 108.98113208],0
