Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.5e-05,18.682435,[ 9 25] ; [14  1],[15.95918367 18.04081633] ; [7.04081633 7.95918367],1
p7,1,0.000484,12.177941,[ 9 25] ; [12  3],[14.57142857 19.42857143] ; [6.42857143 8.57142857],1
a6,1,0.007031,7.264971,[13 21] ; [12  3],[17.34693878 16.65306122] ; [7.65306122 7.34693878],0
p8,1,0.008234,6.981818,[ 7 26] ; [9 6],[11. 22.] ; [ 5. 10.],0
s2,1,0.010818,6.494902,[ 6 28] ; [8 7],[ 9.71428571 24.28571429] ; [ 4.28571429 10.71428571],0
u3,1,0.01979,5.430303,[ 2 18] ; [4 4],[ 4.28571429 15.71428571] ; [1.71428571 6.28571429],0
b4,1,0.023506,5.130748,[21 13] ; [ 4 11],[17.34693878 16.65306122] ; [7.65306122 7.34693878],0
p6,1,0.036714,4.363636,[ 3 30] ; [ 5 10],[ 5.5 27.5] ; [ 2.5 12.5],0
p2,1,0.04893,3.877759,[17 17] ; [12  3],[20.12244898 13.87755102] ; [8.87755102 6.12244898],0
n1,1,0.060761,3.516484,[ 4 12] ; [3 1],[ 5.6 10.4] ; [1.4 2.6],0
s3,1,0.072114,3.234225,[ 7 26] ; [7 8],[ 9.625 23.375] ; [ 4.375 10.625],0
s7,1,0.105457,2.621011,[ 3 28] ; [ 4 10],[ 4.82222222 26.17777778] ; [ 2.17777778 11.82222222],0
n6,1,0.106529,2.604965,[19 15] ; [12  3],[21.51020408 12.48979592] ; [9.48979592 5.51020408],0
a5,1,0.107261,2.594118,[12 22] ; [9 6],[14.57142857 19.42857143] ; [6.42857143 8.57142857],0
s4,1,0.135938,2.223353,[ 5 29] ; [ 5 10],[ 6.93877551 27.06122449] ; [ 3.06122449 11.93877551],0
p5,1,0.142819,2.147315,[ 2 31] ; [ 3 12],[ 3.4375 29.5625] ; [ 1.5625 13.4375],0
s8,1,0.193348,1.691918,[ 4 30] ; [ 4 11],[ 5.55102041 28.44897959] ; [ 2.44897959 12.55102041],0
s5,1,0.193348,1.691918,[ 4 30] ; [ 4 11],[ 5.55102041 28.44897959] ; [ 2.44897959 12.55102041],0
p10,1,0.258559,1.276458,[14 19] ; [9 6],[15.8125 17.1875] ; [7.1875 7.8125],0
p9,1,0.261408,1.261287,[18 14] ; [11  4],[19.74468085 12.25531915] ; [9.25531915 5.74468085],0
d2,1,0.284355,1.146159,[12 22] ; [ 3 12],[10.40816327 23.59183673] ; [ 4.59183673 10.40816327],0
d5,1,0.305365,1.050618,[15 19] ; [9 6],[16.65306122 17.34693878] ; [7.34693878 7.65306122],0
r4,1,0.318991,0.993077,[ 5 29] ; [ 4 11],[ 6.24489796 27.75510204] ; [ 2.75510204 12.24489796],0
s6,1,0.324982,0.968791,[13 21] ; [8 7],[14.57142857 19.42857143] ; [6.42857143 8.57142857],0
b1,1,0.324982,0.968791,[21 13] ; [7 8],[19.42857143 14.57142857] ; [8.57142857 6.42857143],0
a8,1,0.329801,0.949677,[ 3 28] ; [ 3 12],[ 4.04347826 26.95652174] ; [ 1.95652174 13.04347826],0
p11,1,0.331539,0.942877,[20 14] ; [11  4],[21.51020408 12.48979592] ; [9.48979592 5.51020408],0
v1,1,0.343609,0.89692,[ 9 25] ; [6 9],[10.40816327 23.59183673] ; [ 4.59183673 10.40816327],0
v4,1,0.370898,0.800654,[18 16] ; [10  5],[19.42857143 14.57142857] ; [8.57142857 6.42857143],0
n4,1,0.370898,0.800654,[18 16] ; [10  5],[19.42857143 14.57142857] ; [8.57142857 6.42857143],0
a4,1,0.470293,0.521287,[ 6 28] ; [ 4 11],[ 6.93877551 27.06122449] ; [ 3.06122449 11.93877551],0
v2,1,0.508883,0.436364,[12 21] ; [ 4 11],[11. 22.] ; [ 5. 10.],0
r3,1,0.508883,0.436364,[21 12] ; [11  4],[22. 11.] ; [10.  5.],0
s1,1,0.54356,0.368982,[ 1 33] ; [ 1 14],[ 1.3877551 32.6122449] ; [ 0.6122449 14.3877551],0
d4,1,0.603537,0.269694,[20 14] ; [10  5],[20.81632653 13.18367347] ; [9.18367347 5.81632653],0
n3,1,0.639207,0.21978,[10  6] ; [3 1],[10.4  5.6] ; [2.6 1.4],0
