Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,82.155661,[301 123] ; [ 56 123],[251.02487562 172.97512438] ; [105.97512438  73.02487562],1
p6,1,0.0,66.122681,[213 212] ; [ 26 152],[168.44941957 256.55058043] ; [ 70.55058043 107.44941957],1
p3,1,0.0,35.826247,[262 166] ; [ 62 117],[228.45469522 199.54530478] ; [95.54530478 83.45469522],1
p4,1,0.0,32.450367,[312 116] ; [88 92],[281.57894737 146.42105263] ; [118.42105263  61.57894737],1
s5,1,2.2e-05,18.016996,[171 247] ; [ 39 134],[148.52791878 269.47208122] ; [ 61.47208122 111.52791878],1
p10,1,6e-05,16.100988,[376  50] ; [134  44],[359.70198675  66.29801325] ; [150.29801325  27.70198675],1
p11,1,0.000865,11.095797,[365  63] ; [133  47],[350.56578947  77.43421053] ; [147.43421053  32.56578947],1
s7,1,0.00143,10.166878,[229 180] ; [70 99],[211.57612457 197.42387543] ; [87.42387543 81.57612457],0
p9,1,0.001815,9.728153,[381  44] ; [142  35],[369.22757475  55.77242525] ; [153.77242525  23.22757475],0
s8,1,0.002032,9.520371,[216 209] ; [ 66 112],[198.75621891 226.24378109] ; [83.24378109 94.75621891],0
p5,1,0.002953,8.836044,[ 63 364] ; [ 11 169],[ 52.05601318 374.94398682] ; [ 21.94398682 158.05601318],0
a3,1,0.006788,7.328161,[331  95] ; [121  59],[317.74257426 108.25742574] ; [134.25742574  45.74257426],0
r4,1,0.012251,6.274193,[416  12] ; [167  13],[410.40131579  17.59868421] ; [172.59868421   7.40131579],0
a8,1,0.014528,5.972852,[ 67 315] ; [ 15 146],[ 57.68692449 324.31307551] ; [ 24.31307551 136.68692449],0
n5,1,0.018177,5.579009,[337  88] ; [126  53],[325.78642384  99.21357616] ; [137.21357616  41.78642384],0
a1,1,0.025131,5.014855,[ 21 407] ; [  2 178],[ 16.19078947 411.80921053] ; [  6.80921053 173.19078947],0
a2,1,0.027634,4.850733,[125 303] ; [ 37 143],[114.03947368 313.96052632] ; [ 47.96052632 132.03947368],0
n3,1,0.028441,4.801136,[58 14] ; [30 18],[52.8 19.2] ; [35.2 12.8],0
v3,1,0.030475,4.682276,[182 232] ; [ 59 113],[170.26279863 243.73720137] ; [ 70.73720137 101.26279863],0
a5,1,0.038607,4.278098,[344  84] ; [131  49],[334.375  93.625] ; [140.625  39.375],0
s6,1,0.04947,3.859347,[300 119] ; [113  65],[289.86097152 129.13902848] ; [123.13902848  54.86097152],0
n6,1,0.056863,3.626595,[371  53] ; [146  33],[363.52902156  60.47097844] ; [153.47097844  25.52902156],0
