Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.002567,9.092219,[192  76] ; [14 17],[184.64214047  83.35785953] ; [21.35785953  9.64214047],0
v3,1,0.003849,8.353916,[106 157] ; [ 4 26],[ 98.73720137 164.26279863] ; [11.26279863 18.73720137],0
n4,1,0.004651,8.01032,[233  35] ; [21 10],[227.66555184  40.33444816] ; [26.33444816  4.66555184],0
r2,1,0.006135,7.51033,[240  25] ; [23  8],[235.45608108  29.54391892] ; [27.54391892  3.45608108],0
r1,1,0.017444,5.651163,[200  67] ; [17 14],[194.4261745  72.5738255] ; [22.5738255  8.4261745],0
u2,1,0.036572,4.370247,[47 37] ; [ 4 11],[43.27272727 40.72727273] ; [7.72727273 7.27272727],0
r4,1,0.041417,4.158871,[222  46] ; [21 10],[217.80602007  50.19397993] ; [25.19397993  5.80602007],0
d2,1,0.041757,4.145036,[128 137] ; [ 9 22],[122.65202703 142.34797297] ; [14.34797297 16.65202703],0
s6,1,0.048101,3.906465,[113 152] ; [19 12],[118.17567568 146.82432432] ; [13.82432432 17.17567568],0
r3,1,0.059371,3.554862,[237  29] ; [24  7],[233.75757576  32.24242424] ; [27.24242424  3.75757576],0
a3,1,0.060278,3.529711,[182  84] ; [16 15],[177.33333333  88.66666667] ; [20.66666667 10.33333333],0
a2,1,0.07879,3.08969,[ 63 205] ; [ 3 28],[ 59.15719064 208.84280936] ; [ 6.84280936 24.15719064],0
a5,1,0.101208,2.686411,[201  67] ; [19 12],[197.19063545  70.80936455] ; [22.80936455  8.19063545],0
u3,1,0.111608,2.531298,[42 44] ; [ 4 11],[39.16831683 46.83168317] ; [6.83168317 8.16831683],0
a8,1,0.119654,2.421844,[ 32 204] ; [ 1 28],[ 29.38867925 206.61132075] ; [ 3.61132075 25.38867925],0
d1,1,0.132154,2.26702,[142 126] ; [12 19],[138.03344482 129.96655518] ; [15.96655518 15.03344482],0
b1,1,0.146001,2.113545,[105 163] ; [ 8 23],[101.28428094 166.71571906] ; [11.71571906 19.28428094],0
a4,1,0.160295,1.971439,[121 145] ; [10 21],[117.32659933 148.67340067] ; [13.67340067 17.32659933],0
s5,1,0.162694,1.949009,[ 56 208] ; [10 21],[ 59.06440678 204.93559322] ; [ 6.93559322 24.06440678],0
n6,1,0.247905,1.335069,[234  32] ; [25  6],[231.96632997  34.03367003] ; [27.03367003  3.96632997],0
b4,1,0.252243,1.31084,[150 118] ; [14 17],[146.99665552 121.00334448] ; [17.00334448 13.99665552],0
v2,1,0.278326,1.175247,[143 115] ; [14 17],[140.15916955 117.84083045] ; [16.84083045 14.15916955],0
b2,1,0.294233,1.100152,[66 97] ; [ 4 11],[64.1011236 98.8988764] ; [5.8988764 9.1011236],0
b3,1,0.294233,1.100152,[66 97] ; [ 4 11],[64.1011236 98.8988764] ; [5.8988764 9.1011236],0
d5,1,0.298411,1.081282,[212  56] ; [22  9],[209.73913043  58.26086957] ; [24.26086957  6.73913043],0
p6,1,0.370333,0.802547,[ 81 182] ; [12 19],[ 83.19387755 179.80612245] ; [ 9.80612245 21.19387755],0
u1,1,0.376871,0.780885,[ 42 226] ; [ 3 28],[ 40.33444816 227.66555184] ; [ 4.66555184 26.33444816],0
p5,1,0.412078,0.672796,[ 30 236] ; [ 2 29],[ 28.65993266 237.34006734] ; [ 3.34006734 27.65993266],0
n2,1,0.42697,0.63105,[48 23] ; [8 2],[49.08641975 21.91358025] ; [6.91358025 3.08641975],0
d3,1,0.467958,0.526793,[163 104] ; [21 10],[164.8590604 102.1409396] ; [19.1409396 11.8590604],0
v4,1,0.475025,0.510264,[244  24] ; [27  4],[242.90301003  25.09698997] ; [28.09698997  2.90301003],0
a1,1,0.532166,0.390253,[ 16 252] ; [ 1 30],[ 15.23745819 252.76254181] ; [ 1.76254181 29.23745819],0
d4,1,0.535031,0.384827,[203  64] ; [22  9],[201.59395973  65.40604027] ; [23.40604027  7.59395973],0
p9,1,0.535244,0.384427,[214  47] ; [24  7],[212.73287671  48.26712329] ; [25.26712329  5.73287671],0
a7,1,0.5785,0.308665,[177  90] ; [19 12],[175.61073826  91.38926174] ; [20.38926174 10.61073826],0
b5,1,0.601978,0.272022,[160 108] ; [17 14],[158.64882943 109.35117057] ; [18.35117057 12.64882943],0
p12,1,0.618465,0.24803,[ 14 250] ; [ 1 30],[ 13.42372881 250.57627119] ; [ 1.57627119 29.42372881],0
p3,1,0.620746,0.24482,[124 142] ; [13 18],[122.7003367 143.2996633] ; [14.2996633 16.7003367],0
p1,1,0.639525,0.219364,[ 24 244] ; [ 2 29],[ 23.30434783 244.69565217] ; [ 2.69565217 28.30434783],0
s2,1,0.646527,0.210306,[ 35 231] ; [ 5 26],[ 35.82491582 230.17508418] ; [ 4.17508418 26.82491582],0
n3,1,0.677134,0.17337,[43 25] ; [7 3],[43.58974359 24.41025641] ; [6.41025641 3.58974359],0
s8,1,0.685012,0.164538,[ 69 197] ; [ 7 24],[ 68.06734007 197.93265993] ; [ 7.93265993 23.06734007],0
s7,1,0.708081,0.140201,[ 72 176] ; [ 8 23],[ 71.11111111 176.88888889] ; [ 8.88888889 22.11111111],0
p2,1,0.711208,0.137074,[206  59] ; [25  6],[206.80743243  58.19256757] ; [24.19256757  6.80743243],0
p10,1,0.711897,0.13639,[211  52] ; [24  7],[210.22108844  52.77891156] ; [24.77891156  6.22108844],0
s1,1,0.738829,0.111158,[  6 259] ; [ 1 30],[  6.26689189 258.73310811] ; [ 0.73310811 30.26689189],0
p7,1,0.739157,0.110869,[153 110] ; [19 12],[153.86394558 109.13605442] ; [18.13605442 12.86394558],0
p8,1,0.759695,0.093563,[131 129] ; [16 14],[131.79310345 128.20689655] ; [15.20689655 14.79310345],0
p11,1,0.812326,0.056371,[204  64] ; [23  8],[203.46488294  64.53511706] ; [23.53511706  7.46488294],0
n1,1,0.817287,0.053377,[25 44] ; [4 6],[25.32911392 43.67088608] ; [3.67088608 6.32911392],0
v1,1,0.818326,0.052762,[142 122] ; [16 15],[141.39661017 122.60338983] ; [16.60338983 14.39661017],0
p4,1,0.85125,0.035165,[150 115] ; [17 14],[149.51013514 115.48986486] ; [17.48986486 13.51013514],0
