Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,214.725362,[287 107] ; [ 34 216],[196.38819876 197.61180124] ; [124.61180124 125.38819876],1
d5,1,0.0,172.245912,[387   7] ; [145 105],[325.47826087  68.52173913] ; [206.52173913  43.47826087],1
d3,1,0.0,171.497566,[350  45] ; [100 150],[275.58139535 119.41860465] ; [174.41860465  75.58139535],1
d4,1,0.0,168.271115,[388   6] ; [149 102],[328.02790698  65.97209302] ; [208.97209302  42.02790698],1
a4,1,0.0,72.570629,[234 160] ; [ 63 188],[181.42325581 212.57674419] ; [115.57674419 135.42325581],1
a2,1,0.0,71.337271,[143 252] ; [ 17 234],[ 97.83281734 297.16718266] ; [ 62.16718266 188.83281734],1
u1,1,0.0,58.068846,[113 282] ; [ 11 240],[ 75.82043344 319.17956656] ; [ 48.17956656 202.82043344],1
a5,1,0.0,51.994481,[341  54] ; [155  96],[303.28173375  91.71826625] ; [192.71826625  58.28173375],1
a3,1,0.0,44.034667,[326  67] ; [149 102],[289.86801242 103.13198758] ; [185.13198758  65.86801242],1
r1,1,1.3e-05,18.946465,[341  53] ; [182  68],[319.97204969  74.02795031] ; [203.02795031  46.97204969],1
a6,1,1.6e-05,18.671606,[296  98] ; [148 103],[271.21860465 122.78139535] ; [172.78139535  78.21860465],1
a7,1,0.00054,11.972111,[309  86] ; [164  85],[290.11645963 104.88354037] ; [182.88354037  66.11645963],1
n4,1,0.000683,11.534183,[343  52] ; [192  59],[327.12848297  67.87151703] ; [207.87151703  43.12848297],1
p4,1,0.000769,11.315453,[272 121] ; [141 110],[252.0326087 140.9673913] ; [160.9673913  90.0326087],1
s8,1,0.0015,10.078354,[208 184] ; [101 150],[188.37947123 203.62052877] ; [120.62052877 130.37947123],0
v3,1,0.001691,9.858323,[179 199] ; [ 86 162],[160.01597444 217.98402556] ; [104.98402556 143.01597444],0
v2,1,0.002368,9.240125,[243 139] ; [122 116],[224.88709677 157.11290323] ; [140.11290323  97.88709677],0
r4,1,0.002389,9.223344,[375  20] ; [222  29],[365.03869969  29.96130031] ; [231.96130031  19.03869969],0
p3,1,0.002819,8.921279,[232 161] ; [118 133],[213.58695652 179.41304348] ; [136.41304348 114.58695652],0
s2,1,0.003989,8.288844,[229 163] ; [116 132],[211.3125 180.6875] ; [133.6875 114.3125],0
r2,1,0.00527,7.784361,[379  10] ; [232  18],[371.95461659  17.04538341] ; [239.04538341  10.95461659],0
s5,1,0.008698,6.883794,[158 218] ; [ 77 167],[142.51612903 233.48387097] ; [ 92.48387097 151.51612903],0
u4,1,0.019671,5.440873,[ 12 382] ; [  1 250],[  7.94108527 386.05891473] ; [  5.05891473 245.94108527],0
s3,1,0.020126,5.400911,[237 153] ; [127 120],[222.85714286 167.14285714] ; [141.14285714 105.85714286],0
p6,1,0.022071,5.240176,[170 222] ; [ 85 163],[156.1875 235.8125] ; [ 98.8125 149.1875],0
v1,1,0.039909,4.221742,[231 153] ; [127 118],[218.55643879 165.44356121] ; [139.44356121 105.55643879],0
v4,1,0.073275,3.208092,[382  11] ; [236  14],[377.72006221  15.27993779] ; [240.27993779   9.72006221],0
p7,1,0.073276,3.20806,[271 114] ; [157  90],[260.7278481 124.2721519] ; [167.2721519  79.7278481],0
s7,1,0.080752,3.049693,[211 169] ; [115 123],[200.45307443 179.54692557] ; [125.54692557 112.45307443],0
n5,1,0.102223,2.670508,[335  59] ; [201  50],[327.41705426  66.58294574] ; [208.58294574  42.41705426],0
p12,1,0.117802,2.446297,[ 45 349] ; [ 19 230],[ 39.21617418 354.78382582] ; [ 24.78382582 224.21617418],0
a1,1,0.160759,1.967069,[ 22 373] ; [  8 243],[ 18.34365325 376.65634675] ; [ 11.65634675 239.34365325],0
b5,1,0.164898,1.928727,[239 156] ; [138 113],[230.51857585 164.48142415] ; [146.48142415 104.51857585],0
r3,1,0.171956,1.865805,[380  12] ; [237  13],[376.73520249  15.26479751] ; [240.26479751   9.73520249],0
p8,1,0.18385,1.766226,[230 160] ; [133 115],[221.89655172 168.10344828] ; [141.10344828 106.89655172],0
a8,1,0.199116,1.648849,[ 54 297] ; [ 28 212],[ 48.70050761 302.29949239] ; [ 33.29949239 206.70050761],0
p2,1,0.199837,1.643569,[347  46] ; [212  38],[341.65940902  51.34059098] ; [217.34059098  32.65940902],0
n2,1,0.23064,1.436911,[49 21] ; [46 12],[51.953125 18.046875] ; [43.046875 14.953125],0
s1,1,0.320325,0.987619,[  9 383] ; [  9 239],[ 11.025 380.975] ; [  6.975 241.025],0
b2,1,0.401315,0.704381,[104 145] ; [52 87],[100.11340206 148.88659794] ; [55.88659794 83.11340206],0
b3,1,0.401315,0.704381,[104 145] ; [52 87],[100.11340206 148.88659794] ; [55.88659794 83.11340206],0
u3,1,0.442557,0.589644,[41 28] ; [54 47],[38.55882353 30.44117647] ; [56.44117647 44.55882353],0
p11,1,0.602654,0.271011,[341  54] ; [213  38],[338.74613003  56.25386997] ; [215.25386997  35.74613003],0
s6,1,0.622577,0.242262,[276 110] ; [170  74],[273.26349206 112.73650794] ; [172.73650794  71.26349206],0
p1,1,0.642698,0.215231,[ 39 355] ; [ 22 228],[ 37.31987578 356.68012422] ; [ 23.68012422 226.31987578],0
p9,1,0.662699,0.190262,[375  19] ; [236  14],[373.81055901  20.18944099] ; [237.18944099  12.81055901],0
p5,1,0.688578,0.16063,[ 56 335] ; [ 33 217],[ 54.28861154 336.71138846] ; [ 34.71138846 215.28861154],0
u2,1,0.694226,0.154548,[39 30] ; [54 47],[37.74705882 31.25294118] ; [55.25294118 45.74705882],0
b4,1,0.711218,0.137063,[234 161] ; [145 106],[231.74148607 163.25851393] ; [147.25851393 103.74148607],0
s4,1,0.75191,0.099933,[ 71 318] ; [ 43 206],[ 69.50783699 319.49216301] ; [ 44.49216301 204.50783699],0
n1,1,0.770981,0.084735,[26 44] ; [23 35],[26.796875 43.203125] ; [22.203125 35.796875],0
n3,1,0.874208,0.025064,[52 17] ; [43 15],[51.61417323 17.38582677] ; [43.38582677 14.61417323],0
b1,1,0.974501,0.001022,[138 257] ; [ 88 163],[138.18885449 256.81114551] ; [ 87.81114551 163.18885449],0
