Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.007217,7.218045,[6 1] ; [12 26],[2.8 4.2] ; [15.2 22.8],0
p12,1,0.011462,6.39232,[2 5] ; [ 1 37],[0.46666667 6.53333333] ; [ 2.53333333 35.46666667],0
v3,1,0.028479,4.798812,[4 3] ; [ 7 31],[1.71111111 5.28888889] ; [ 9.28888889 28.71111111],0
p3,1,0.035456,4.423056,[5 2] ; [11 26],[2.54545455 4.45454545] ; [13.45454545 23.54545455],0
p4,1,0.08056,3.053571,[6 1] ; [19 19],[3.88888889 3.11111111] ; [21.11111111 16.88888889],0
s5,1,0.099923,2.706767,[3 4] ; [ 6 32],[1.4 5.6] ; [ 7.6 30.4],0
d1,1,0.105457,2.621011,[4 3] ; [10 28],[2.17777778 4.82222222] ; [11.82222222 26.17777778],0
n5,1,0.130728,2.283835,[6 1] ; [21 17],[4.2 2.8] ; [22.8 15.2],0
v1,1,0.145894,2.114662,[4 3] ; [11 27],[2.33333333 4.66666667] ; [12.66666667 25.33333333],0
p10,1,0.162997,1.9462,[6 1] ; [22 16],[4.35555556 2.64444444] ; [23.64444444 14.35555556],0
p1,1,0.169156,1.890409,[1 6] ; [ 1 37],[0.31111111 6.68888889] ; [ 1.68888889 36.31111111],0
s6,1,0.194212,1.685377,[5 2] ; [17 21],[3.42222222 3.57777778] ; [18.57777778 19.42222222],0
p9,1,0.277462,1.179482,[6 1] ; [24 13],[4.77272727 2.22727273] ; [25.22727273 11.77272727],0
d2,1,0.29183,1.111159,[3 4] ; [ 9 29],[1.86666667 5.13333333] ; [10.13333333 27.86666667],0
p11,1,0.295378,1.094946,[6 1] ; [25 13],[4.82222222 2.17777778] ; [26.17777778 11.82222222],0
a6,1,0.296347,1.090561,[5 2] ; [19 19],[3.73333333 3.26666667] ; [20.26666667 17.73333333],0
s3,1,0.353598,0.860505,[1 6] ; [12 26],[2.02222222 4.97777778] ; [10.97777778 27.02222222],0
p7,1,0.357725,0.845865,[5 2] ; [20 18],[3.88888889 3.11111111] ; [21.11111111 16.88888889],0
a5,1,0.384431,0.756484,[4 3] ; [15 23],[2.95555556 4.04444444] ; [16.04444444 21.95555556],0
u3,1,0.399164,0.710842,[2 1] ; [ 9 13],[1.32 1.68] ; [ 9.68 12.32],0
b2,1,0.399765,0.709034,[2 2] ; [ 6 15],[1.28 2.72] ; [ 6.72 14.28],0
b3,1,0.399765,0.709034,[2 2] ; [ 6 15],[1.28 2.72] ; [ 6.72 14.28],0
v2,1,0.416103,0.661296,[4 3] ; [15 22],[3.02272727 3.97727273] ; [15.97727273 21.02272727],0
s7,1,0.439506,0.597572,[1 5] ; [11 23],[1.8 4.2] ; [10.2 23.8],0
a3,1,0.461872,0.541353,[4 3] ; [16 22],[3.11111111 3.88888889] ; [16.88888889 21.11111111],0
p8,1,0.461872,0.541353,[4 3] ; [16 22],[3.11111111 3.88888889] ; [16.88888889 21.11111111],0
a8,1,0.519708,0.414474,[1 5] ; [ 3 33],[0.57142857 5.42857143] ; [ 3.42857143 32.57142857],0
a7,1,0.545449,0.365534,[3 4] ; [21 17],[3.73333333 3.26666667] ; [20.26666667 17.73333333],0
a1,1,0.585066,0.298116,[1 6] ; [ 3 35],[0.62222222 6.37777778] ; [ 3.37777778 34.62222222],0
a4,1,0.660151,0.19334,[2 5] ; [ 8 30],[1.55555556 5.44444444] ; [ 8.44444444 29.55555556],0
b1,1,0.660537,0.192872,[4 3] ; [25 13],[4.51111111 2.48888889] ; [24.48888889 13.51111111],0
d5,1,0.660537,0.192872,[4 3] ; [25 13],[4.51111111 2.48888889] ; [24.48888889 13.51111111],0
r1,1,0.674429,0.176465,[2 5] ; [14 24],[2.48888889 4.51111111] ; [13.51111111 24.48888889],0
r3,1,0.680848,0.169173,[6 1] ; [30  8],[5.6 1.4] ; [30.4  7.6],0
p6,1,0.687423,0.16189,[2 5] ; [ 8 29],[1.59090909 5.40909091] ; [ 8.40909091 28.59090909],0
n4,1,0.728282,0.120695,[4 3] ; [19 19],[3.57777778 3.42222222] ; [19.42222222 18.57777778],0
n2,1,0.760907,0.092593,[1 1] ; [11  7],[1.2 0.8] ; [10.8  7.2],0
p2,1,0.782175,0.076444,[5 2] ; [29  9],[5.28888889 1.71111111] ; [28.71111111  9.28888889],0
b5,1,0.825986,0.048335,[4 3] ; [20 18],[3.73333333 3.26666667] ; [20.26666667 17.73333333],0
b4,1,0.825986,0.048335,[3 4] ; [18 20],[3.26666667 3.73333333] ; [17.73333333 20.26666667],0
u2,1,0.826403,0.0481,[2 1] ; [16  6],[2.16 0.84] ; [15.84  6.16],0
d3,1,0.86665,0.028195,[4 3] ; [23 15],[4.2 2.8] ; [22.8 15.2],0
d4,1,0.874499,0.024947,[5 2] ; [26 12],[4.82222222 2.17777778] ; [26.17777778 11.82222222],0
s2,1,0.901305,0.015379,[2 5] ; [10 28],[1.86666667 5.13333333] ; [10.13333333 27.86666667],0
