Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000386,12.6,[4 2] ; [ 3 33],[1. 5.] ; [ 6. 30.],1
v3,1,0.006659,7.362708,[4 2] ; [ 6 31],[1.39534884 4.60465116] ; [ 8.60465116 28.39534884],0
a8,1,0.014022,6.035359,[3 3] ; [ 4 34],[0.95454545 5.04545455] ; [ 6.04545455 31.95454545],0
p8,1,0.01796,5.6,[3 3] ; [ 4 32],[1. 5.] ; [ 6. 30.],0
p3,1,0.03199,4.599016,[4 2] ; [ 9 29],[1.77272727 4.22727273] ; [11.22727273 26.77272727],0
v2,1,0.036184,4.388404,[4 2] ; [ 9 28],[1.81395349 4.18604651] ; [11.18604651 25.81395349],0
p11,1,0.044951,4.020468,[5 1] ; [15 23],[2.72727273 3.27272727] ; [17.27272727 20.72727273],0
p7,1,0.048602,3.889056,[4 2] ; [10 28],[1.90909091 4.09090909] ; [12.09090909 25.90909091],0
p4,1,0.048602,3.889056,[4 2] ; [10 28],[1.90909091 4.09090909] ; [12.09090909 25.90909091],0
u3,1,0.054475,3.698097,[1 1] ; [ 1 16],[0.21052632 1.78947368] ; [ 1.78947368 15.21052632],0
s6,1,0.060605,3.520754,[3 2] ; [ 8 30],[1.27906977 3.72093023] ; [ 9.72093023 28.27906977],0
s7,1,0.065436,3.393939,[3 3] ; [ 6 30],[1.28571429 4.71428571] ; [ 7.71428571 28.28571429],0
p2,1,0.078247,3.100944,[4 2] ; [11 26],[2.09302326 3.90697674] ; [12.90697674 24.09302326],0
s3,1,0.078247,3.100944,[4 2] ; [11 26],[2.09302326 3.90697674] ; [12.90697674 24.09302326],0
s2,1,0.086282,2.942415,[3 3] ; [ 7 31],[1.36363636 4.63636364] ; [ 8.63636364 29.36363636],0
n6,1,0.08923,2.888216,[5 1] ; [17 20],[3.06976744 2.93023256] ; [18.93023256 18.06976744],0
p12,1,0.125078,2.352548,[1 5] ; [ 1 37],[0.27272727 5.72727273] ; [ 1.72727273 36.27272727],0
r4,1,0.130319,2.288704,[2 4] ; [ 4 34],[0.81818182 5.18181818] ; [ 5.18181818 32.81818182],0
a2,1,0.130319,2.288704,[2 4] ; [ 4 34],[0.81818182 5.18181818] ; [ 5.18181818 32.81818182],0
v1,1,0.139451,2.184006,[3 3] ; [ 8 29],[1.53488372 4.46511628] ; [ 9.46511628 27.53488372],0
u2,1,0.160711,1.967525,[1 1] ; [ 2 15],[0.31578947 1.68421053] ; [ 2.68421053 14.31578947],0
a4,1,0.255719,1.291788,[3 3] ; [10 27],[1.81395349 4.18604651] ; [11.18604651 25.81395349],0
n4,1,0.332603,0.938738,[5 1] ; [24 14],[3.95454545 2.04545455] ; [25.04545455 12.95454545],0
b4,1,0.376354,0.782577,[3 3] ; [26 12],[3.95454545 2.04545455] ; [25.04545455 12.95454545],0
d3,1,0.379621,0.77193,[2 4] ; [20 18],[3. 3.] ; [19. 19.],0
b2,1,0.396898,0.717703,[1 4] ; [10 15],[1.83333333 3.16666667] ; [ 9.16666667 15.83333333],0
b3,1,0.396898,0.717703,[1 4] ; [10 15],[1.83333333 3.16666667] ; [ 9.16666667 15.83333333],0
r2,1,0.412617,0.671247,[2 4] ; [18 17],[2.92682927 3.07317073] ; [17.07317073 17.92682927],0
a5,1,0.44751,0.57695,[4 2] ; [19 19],[3.13636364 2.86363636] ; [19.86363636 18.13636364],0
b1,1,0.44751,0.57695,[4 2] ; [19 19],[3.13636364 2.86363636] ; [19.86363636 18.13636364],0
s1,1,0.487312,0.482456,[1 5] ; [ 3 35],[0.54545455 5.45454545] ; [ 3.45454545 34.54545455],0
a7,1,0.52111,0.411696,[2 4] ; [18 20],[2.72727273 3.27272727] ; [17.27272727 20.72727273],0
a6,1,0.52111,0.411696,[4 2] ; [20 18],[3.27272727 2.72727273] ; [20.72727273 17.27272727],0
a3,1,0.600233,0.274645,[4 2] ; [21 17],[3.40909091 2.59090909] ; [21.59090909 16.40909091],0
b5,1,0.600233,0.274645,[4 2] ; [21 17],[3.40909091 2.59090909] ; [21.59090909 16.40909091],0
d4,1,0.626005,0.237517,[3 3] ; [23 15],[3.54545455 2.45454545] ; [22.45454545 15.54545455],0
d1,1,0.684646,0.164942,[2 4] ; [16 22],[2.45454545 3.54545455] ; [15.54545455 22.45454545],0
d5,1,0.716743,0.131634,[3 3] ; [22 16],[3.40909091 2.59090909] ; [21.59090909 16.40909091],0
d2,1,0.951019,0.003773,[3 3] ; [18 19],[2.93023256 3.06976744] ; [18.06976744 18.93023256],0
p1,1,0.956463,0.00298,[1 5] ; [ 6 32],[0.95454545 5.04545455] ; [ 6.04545455 31.95454545],0
s4,1,0.956463,0.00298,[1 5] ; [ 6 32],[0.95454545 5.04545455] ; [ 6.04545455 31.95454545],0
