Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,104.445935,[319 128] ; [ 51 135],[261.27962085 185.72037915] ; [108.72037915  77.27962085],1
s2,1,0.0,104.439359,[300 150] ; [ 41 144],[241.65354331 208.34645669] ; [99.34645669 85.65354331],1
s7,1,0.0,82.695452,[282 152] ; [ 43 133],[231.2295082 202.7704918] ; [93.7704918 82.2295082],1
s8,1,0.0,64.784846,[263 188] ; [ 44 144],[216.67762128 234.32237872] ; [90.32237872 97.67762128],1
s5,1,0.0,50.718353,[191 250] ; [ 25 159],[152.4096 288.5904] ; [ 63.5904 120.4096],1
p4,1,9e-06,19.664283,[312 138] ; [95 92],[287.51962323 162.48037677] ; [119.48037677  67.51962323],1
s4,1,5.1e-05,16.396593,[ 85 361] ; [ 12 176],[ 68.23659306 377.76340694] ; [ 28.76340694 159.23659306],1
p5,1,0.000345,12.811235,[ 71 379] ; [ 10 176],[ 57.31132075 392.68867925] ; [ 23.68867925 162.31132075],1
p12,1,0.000369,12.682946,[ 52 398] ; [  5 181],[ 40.33018868 409.66981132] ; [ 16.66981132 169.33018868],1
p6,1,0.000654,11.616911,[193 254] ; [ 53 132],[173.99050633 273.00949367] ; [ 72.00949367 112.99050633],1
r1,1,0.002523,9.124017,[384  68] ; [140  47],[370.6541471  81.3458529] ; [153.3458529  33.6541471],0
p7,1,0.00739,7.175525,[306 132] ; [110  77],[291.5328 146.4672] ; [124.4672  62.5328],0
u1,1,0.007955,7.043525,[102 352] ; [ 25 163],[ 89.80996885 364.19003115] ; [ 37.19003115 150.80996885],0
r4,1,0.014592,5.965126,[430  24] ; [168  20],[422.8847352  31.1152648] ; [175.1152648  12.8847352],0
u4,1,0.01951,5.455253,[ 18 436] ; [  1 187],[ 13.43613707 440.56386293] ; [  5.56386293 182.43613707],0
d3,1,0.031756,4.611628,[319 132] ; [116  71],[307.5 143.5] ; [127.5  59.5],0
v1,1,0.036462,4.375383,[271 170] ; [97 88],[259.24600639 181.75399361] ; [108.75399361  76.24600639],0
r2,1,0.045072,4.015948,[434  17] ; [172  14],[429.05180534  21.94819466] ; [176.94819466   9.05180534],0
p2,1,0.050233,3.83367,[390  62] ; [149  37],[381.86206897  70.13793103] ; [157.13793103  28.86206897],0
d4,1,0.052751,3.751783,[378  72] ; [145  42],[369.46624804  80.53375196] ; [153.53375196  33.46624804],0
n6,1,0.06886,3.309994,[415  37] ; [163  24],[408.8513302  43.1486698] ; [169.1486698  17.8513302],0
p3,1,0.07041,3.273428,[247 205] ; [87 99],[236.62695925 215.37304075] ; [97.37304075 88.62695925],0
u3,1,0.075024,3.169522,[72 45] ; [28 31],[66.47727273 50.52272727] ; [33.52272727 25.47727273],0
d5,1,0.076254,3.142988,[377  74] ; [146  42],[369.12832551  81.87167449] ; [153.87167449  34.12832551],0
p9,1,0.08695,2.929947,[400  48] ; [157  29],[393.58990536  54.41009464] ; [163.41009464  22.58990536],0
v4,1,0.097349,2.748447,[439  14] ; [176  11],[435.3046875  17.6953125] ; [179.6953125   7.3046875],0
n3,1,0.136951,2.211892,[58 26] ; [35  8],[61.51181102 22.48818898] ; [31.48818898 11.51181102],0
b5,1,0.145011,2.123967,[284 170] ; [106  82],[275.79439252 178.20560748] ; [114.20560748  73.79439252],0
a3,1,0.149122,2.081206,[337 115] ; [129  58],[329.62754304 122.37245696] ; [136.37245696  50.62754304],0
s1,1,0.187052,1.740687,[ 16 429] ; [  3 182],[ 13.42063492 431.57936508] ; [  5.57936508 179.42063492],0
a8,1,0.23247,1.425682,[ 71 342] ; [ 22 145],[ 66.22241379 346.77758621] ; [ 26.77758621 140.22241379],0
d1,1,0.23275,1.423974,[279 175] ; [106  82],[272.25856698 181.74143302] ; [112.74143302  75.25856698],0
a2,1,0.243184,1.362039,[124 330] ; [ 43 145],[118.09657321 335.90342679] ; [ 48.90342679 139.09657321],0
n4,1,0.243442,1.360552,[405  48] ; [162  26],[400.70358814  52.29641186] ; [166.29641186  21.70358814],0
p8,1,0.277581,1.178894,[249 195] ; [95 90],[242.82352941 201.17647059] ; [101.17647059  83.82352941],0
v2,1,0.278161,1.176054,[260 177] ; [98 81],[253.97077922 183.02922078] ; [104.02922078  74.97077922],0
u2,1,0.280469,1.164815,[68 48] ; [29 29],[64.66666667 51.33333333] ; [32.33333333 25.66666667],0
p10,1,0.28441,1.145898,[388  60] ; [155  31],[383.69716088  64.30283912] ; [159.30283912  26.69716088],0
v3,1,0.288241,1.127817,[195 243] ; [ 73 110],[189.02415459 248.97584541] ; [ 78.97584541 104.02415459],0
a1,1,0.297986,1.083185,[ 23 431] ; [  6 182],[ 20.50778816 433.49221184] ; [  8.49221184 179.50778816],0
a7,1,0.351869,0.866705,[329 123] ; [130  58],[324.16875 127.83125] ; [134.83125  53.16875],0
n1,1,0.415513,0.662972,[38 46] ; [15 25],[35.90322581 48.09677419] ; [17.09677419 22.90322581],0
b3,1,0.432613,0.615797,[109 171] ; [48 63],[112.42966752 167.57033248] ; [44.57033248 66.42966752],0
b2,1,0.432613,0.615797,[109 171] ; [48 63],[112.42966752 167.57033248] ; [44.57033248 66.42966752],0
a6,1,0.461453,0.542367,[305 145] ; [133  55],[308.93416928 141.06583072] ; [129.06583072  58.93416928],0
a5,1,0.578123,0.309279,[342 111] ; [138  50],[339.2199688 113.7800312] ; [140.7800312  47.2199688],0
b4,1,0.628014,0.234763,[263 191] ; [105  83],[260.23676012 193.76323988] ; [107.76323988  80.23676012],0
p11,1,0.756342,0.096279,[377  77] ; [158  30],[378.33333333  75.66666667] ; [156.66666667  31.33333333],0
b1,1,0.772502,0.083581,[177 277] ; [ 71 117],[175.37694704 278.62305296] ; [ 72.62305296 115.37694704],0
n2,1,0.788099,0.072242,[67 18] ; [33 10],[66.40625 18.59375] ; [33.59375  9.40625],0
a4,1,0.817575,0.053206,[209 242] ; [89 99],[210.32550861 240.67449139] ; [ 87.67449139 100.32550861],0
d2,1,0.93069,0.007565,[225 226] ; [94 93],[225.5 225.5] ; [93.5 93.5],0
p1,1,0.971946,0.001237,[ 38 413] ; [ 16 172],[ 38.11267606 412.88732394] ; [ 15.88732394 172.11267606],0
