Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.2e-05,19.179367,[8 4] ; [ 5 46],[2.47619048 9.52380952] ; [10.52380952 40.47619048],1
s3,1,1.7e-05,18.51982,[9 2] ; [ 8 40],[3.16949153 7.83050847] ; [13.83050847 34.16949153],1
s6,1,9.4e-05,15.260455,[9 3] ; [ 9 41],[3.48387097 8.51612903] ; [14.51612903 35.48387097],1
p6,1,0.000934,10.95429,[5 7] ; [ 3 47],[ 1.5483871 10.4516129] ; [ 6.4516129 43.5483871],1
n6,1,0.00199,9.558764,[11  1] ; [21 29],[6.19354839 5.80645161] ; [25.80645161 24.19354839],0
s5,1,0.002407,9.210208,[6 6] ; [ 6 45],[2.28571429 9.71428571] ; [ 9.71428571 41.28571429],0
s8,1,0.00277,8.9528,[6 6] ; [ 6 44],[2.32258065 9.67741935] ; [ 9.67741935 40.32258065],0
p4,1,0.00452,8.061968,[8 4] ; [12 38],[3.87096774 8.12903226] ; [16.12903226 33.87096774],0
p2,1,0.009745,6.680897,[9 3] ; [17 33],[5.03225806 6.96774194] ; [20.96774194 29.03225806],0
s7,1,0.010077,6.621182,[6 6] ; [ 7 39],[2.68965517 9.31034483] ; [10.31034483 35.68965517],0
v1,1,0.01035,6.573627,[8 4] ; [14 37],[4.19047619 7.80952381] ; [17.80952381 33.19047619],0
p3,1,0.020518,5.367262,[7 5] ; [12 38],[3.67741935 8.32258065] ; [15.32258065 34.67741935],0
b5,1,0.034789,4.455481,[9 3] ; [21 30],[5.71428571 6.28571429] ; [24.28571429 26.71428571],0
p8,1,0.035435,4.424069,[7 5] ; [13 36],[3.93442623 8.06557377] ; [16.06557377 32.93442623],0
p10,1,0.039953,4.219875,[9 3] ; [21 29],[5.80645161 6.19354839] ; [24.19354839 25.80645161],0
p7,1,0.03998,4.21875,[7 5] ; [13 35],[4. 8.] ; [16. 32.],0
v2,1,0.054708,3.690969,[5 7] ; [ 8 41],[2.55737705 9.44262295] ; [10.44262295 38.55737705],0
p11,1,0.05864,3.575437,[7 5] ; [15 36],[4.19047619 7.80952381] ; [17.80952381 33.19047619],0
p9,1,0.080895,3.046824,[9 3] ; [22 25],[6.30508475 5.69491525] ; [24.69491525 22.30508475],0
v4,1,0.089335,2.886312,[10  2] ; [29 22],[7.42857143 4.57142857] ; [31.57142857 19.42857143],0
a3,1,0.118424,2.438046,[10  2] ; [29 20],[7.67213115 4.32786885] ; [31.32786885 17.67213115],0
a5,1,0.131912,2.269853,[9 3] ; [26 25],[6.66666667 5.33333333] ; [28.33333333 22.66666667],0
n4,1,0.140415,2.173406,[10  2] ; [31 20],[7.80952381 4.19047619] ; [33.19047619 17.80952381],0
v3,1,0.162059,1.954909,[5 7] ; [11 39],[3.09677419 8.90322581] ; [12.90322581 37.09677419],0
n1,1,0.167373,1.906318,[4 1] ; [14 16],[2.57142857 2.42857143] ; [15.42857143 14.57142857],0
r2,1,0.242156,1.367997,[10  2] ; [33 17],[8.32258065 3.67741935] ; [34.67741935 15.32258065],0
a6,1,0.326639,0.962176,[8 4] ; [26 25],[6.47619048 5.52380952] ; [27.52380952 23.47619048],0
p1,1,0.336238,0.924723,[3 9] ; [ 7 44],[ 1.9047619 10.0952381] ; [ 8.0952381 42.9047619],0
