Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,70.085684,[119  19] ; [ 6 31],[98.57142857 39.42857143] ; [26.42857143 10.57142857],1
p2,1,0.001146,10.574964,[110  28] ; [21 18],[102.13559322  35.86440678] ; [28.86440678 10.13559322],0
p11,1,0.00506,7.857999,[114  24] ; [24 15],[107.59322034  30.40677966] ; [30.40677966  8.59322034],0
p8,1,0.010401,6.564924,[74 63] ; [12 27],[66.94318182 70.05681818] ; [19.05681818 19.94318182],0
s7,1,0.022747,5.187718,[60 73] ; [ 9 28],[53.98235294 79.01764706] ; [15.01764706 21.98235294],0
s8,1,0.025544,4.986616,[51 87] ; [ 7 32],[45.22033898 92.77966102] ; [12.77966102 26.22033898],0
s6,1,0.026296,4.93647,[83 53] ; [16 23],[76.93714286 59.06285714] ; [22.06285714 16.93714286],0
a6,1,0.029322,4.748613,[87 51] ; [17 22],[81.08474576 56.91525424] ; [22.91525424 16.08474576],0
n5,1,0.046852,3.950699,[97 40] ; [21 18],[91.85227273 45.14772727] ; [26.14772727 12.85227273],0
p4,1,0.048051,3.908193,[68 69] ; [12 26],[62.62857143 74.37142857] ; [17.37142857 20.62857143],0
n1,1,0.052794,3.750435,[ 7 22] ; [8 7],[ 9.88636364 19.11363636] ; [5.11363636 9.88636364],0
n3,1,0.054178,3.707197,[19 10] ; [13  1],[21.58139535  7.41860465] ; [10.41860465  3.58139535],0
s5,1,0.075973,3.149014,[40 92] ; [ 6 32],[35.71764706 96.28235294] ; [10.28235294 27.71764706],0
b5,1,0.084318,2.979632,[85 53] ; [18 21],[80.30508475 57.69491525] ; [22.69491525 16.30508475],0
s2,1,0.091717,2.84397,[62 73] ; [12 27],[57.4137931 77.5862069] ; [16.5862069 22.4137931],0
b1,1,0.100562,2.696612,[54 84] ; [21 18],[58.47457627 79.52542373] ; [16.52542373 22.47457627],0
p5,1,0.137382,2.20704,[ 19 118] ; [ 2 37],[ 16.34659091 120.65340909] ; [ 4.65340909 34.34659091],0
s1,1,0.169482,1.887523,[  4 132] ; [ 3 35],[  5.47126437 130.52873563] ; [ 1.52873563 36.47126437],0
a5,1,0.190392,1.714583,[73 65] ; [16 23],[69.38983051 68.61016949] ; [19.61016949 19.38983051],0
r4,1,0.194506,1.683151,[121  17] ; [31  8],[118.50847458  19.49152542] ; [33.49152542  5.50847458],0
a2,1,0.194945,1.679849,[ 12 126] ; [ 1 38],[ 10.13559322 127.86440678] ; [ 2.86440678 36.13559322],0
a4,1,0.233365,1.420236,[ 30 107] ; [ 5 33],[ 27.4 109.6] ; [ 7.6 30.4],0
a7,1,0.260659,1.265251,[88 50] ; [21 18],[84.98305085 53.01694915] ; [24.01694915 14.98305085],0
p3,1,0.266054,1.236978,[56 82] ; [12 27],[53.01694915 84.98305085] ; [14.98305085 24.01694915],0
a3,1,0.266539,1.23447,[73 63] ; [17 22],[69.94285714 66.05714286] ; [20.05714286 18.94285714],0
r3,1,0.269743,1.218052,[128  10] ; [34  5],[126.30508475  11.69491525] ; [35.69491525  3.30508475],0
n6,1,0.297496,1.085384,[113  25] ; [29 10],[110.71186441  27.28813559] ; [31.28813559  7.71186441],0
p1,1,0.309862,1.031266,[ 19 119] ; [ 3 36],[ 17.15254237 120.84745763] ; [ 4.84745763 34.15254237],0
d4,1,0.343783,0.896274,[72 66] ; [17 22],[69.38983051 68.61016949] ; [19.61016949 19.38983051],0
p7,1,0.359259,0.840483,[74 61] ; [24 14],[76.47398844 58.52601156] ; [21.52601156 16.47398844],0
s3,1,0.376967,0.780569,[76 58] ; [19 20],[73.58381503 60.41618497] ; [21.41618497 17.58381503],0
s4,1,0.382457,0.76279,[ 26 112] ; [ 5 34],[ 24.16949153 113.83050847] ; [ 6.83050847 32.16949153],0
v1,1,0.387912,0.745478,[62 72] ; [15 24],[59.6416185 74.3583815] ; [17.3583815 21.6416185],0
u3,1,0.534666,0.385515,[34 30] ; [10 12],[32.74418605 31.25581395] ; [11.25581395 10.74418605],0
v3,1,0.563165,0.334253,[43 92] ; [14 24],[44.47976879 90.52023121] ; [12.52023121 25.47976879],0
a1,1,0.613787,0.254698,[  6 132] ; [ 1 38],[  5.45762712 132.54237288] ; [ 1.54237288 37.45762712],0
b3,1,0.638547,0.220648,[29 49] ; [ 8 17],[28.01941748 49.98058252] ; [ 8.98058252 16.01941748],0
b2,1,0.638547,0.220648,[29 49] ; [ 8 17],[28.01941748 49.98058252] ; [ 8.98058252 16.01941748],0
u1,1,0.746913,0.104143,[  5 133] ; [ 1 38],[  4.6779661 133.3220339] ; [ 1.3220339 37.6779661],0
u2,1,0.748497,0.102798,[34 30] ; [12  9],[34.63529412 29.36470588] ; [11.36470588  9.63529412],0
r2,1,0.764072,0.090083,[126  12] ; [35  4],[125.52542373  12.47457627] ; [35.47457627  3.52542373],0
p6,1,0.77131,0.084485,[42 94] ; [13 26],[42.74285714 93.25714286] ; [12.25714286 26.74285714],0
r1,1,0.788361,0.07206,[96 42] ; [28 11],[96.6779661 41.3220339] ; [27.3220339 11.6779661],0
b4,1,0.847095,0.037182,[79 59] ; [23 16],[79.52542373 58.47457627] ; [22.47457627 16.52542373],0
d2,1,0.858737,0.031677,[ 30 108] ; [ 9 30],[ 30.40677966 107.59322034] ; [ 8.59322034 30.40677966],0
