Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.205097,[107  38] ; [ 5 18],[96.66666667 48.33333333] ; [15.33333333  7.66666667],1
s7,1,0.000764,11.327692,[87 50] ; [ 6 17],[79.63125 57.36875] ; [13.36875  9.63125],1
p9,1,0.000967,10.889091,[130  14] ; [15  8],[125.02994012  18.97005988] ; [19.97005988  3.02994012],1
s3,1,0.001241,10.428796,[100  44] ; [ 8 15],[93.1257485 50.8742515] ; [14.8742515  8.1257485],0
p8,1,0.006227,7.483392,[75 68] ; [ 5 18],[68.91566265 74.08433735] ; [11.08433735 11.91566265],0
s8,1,0.008919,6.838888,[74 71] ; [ 5 18],[68.18452381 76.81547619] ; [10.81547619 12.18452381],0
p4,1,0.012183,6.284002,[90 54] ; [ 8 15],[84.50299401 59.49700599] ; [13.49700599  9.50299401],0
v4,1,0.013565,6.093953,[137   6] ; [19  4],[134.38554217   8.61445783] ; [21.61445783  1.38554217],0
b5,1,0.023306,5.145558,[81 64] ; [ 7 16],[75.95238095 69.04761905] ; [12.04761905 10.95238095],0
r4,1,0.023778,5.110729,[131  14] ; [17  6],[127.73809524  17.26190476] ; [20.26190476  2.73809524],0
p7,1,0.024405,5.06562,[100  40] ; [11 12],[95.33742331 44.66257669] ; [15.66257669  7.33742331],0
a5,1,0.07676,3.132207,[113  32] ; [14  9],[109.61309524  35.38690476] ; [17.38690476  5.61309524],0
n5,1,0.081979,3.025217,[106  37] ; [13 10],[102.51204819  40.48795181] ; [16.48795181  6.51204819],0
r1,1,0.082702,3.010983,[116  27] ; [15  8],[112.84939759  30.15060241] ; [18.15060241  4.84939759],0
p10,1,0.107559,2.589724,[125  19] ; [17  6],[122.44311377  21.55688623] ; [19.55688623  3.44311377],0
b1,1,0.117659,2.448216,[51 94] ; [12 11],[54.375 90.625] ; [ 8.625 14.375],0
p2,1,0.129908,2.293609,[125  20] ; [17  6],[122.55952381  22.44047619] ; [19.44047619  3.55952381],0
u3,1,0.140871,2.168415,[23 12] ; [3 5],[21.1627907 13.8372093] ; [4.8372093 3.1627907],0
s4,1,0.141176,2.16509,[46 95] ; [ 4 19],[42.98780488 98.01219512] ; [ 7.01219512 15.98780488],0
r3,1,0.182536,1.776855,[135   8] ; [20  3],[133.52409639   9.47590361] ; [21.47590361  1.52409639],0
n2,1,0.190946,1.710301,[32  6] ; [3 2],[30.93023256  7.06976744] ; [4.06976744 0.93023256],0
a2,1,0.191939,1.702669,[ 37 108] ; [ 3 20],[ 34.52380952 110.47619048] ; [ 5.47619048 17.52380952],0
d4,1,0.203205,1.61919,[125  20] ; [22  1],[126.875  18.125] ; [20.125  2.875],0
n1,1,0.206119,1.598478,[19 19] ; [4 1],[20.3255814 17.6744186] ; [2.6744186 2.3255814],0
b4,1,0.223615,1.481019,[88 57] ; [17  6],[90.625 54.375] ; [14.375  8.625],0
p6,1,0.265942,1.237558,[68 76] ; [ 8 15],[65.53293413 78.46706587] ; [10.46706587 12.53293413],0
a8,1,0.303593,1.058345,[ 24 110] ; [ 2 20],[ 22.33333333 111.66666667] ; [ 3.66666667 18.33333333],0
n6,1,0.387647,0.746309,[122  21] ; [18  5],[120.60240964  22.39759036] ; [19.39759036  3.60240964],0
p3,1,0.390759,0.736579,[77 68] ; [10 13],[75.08928571 69.91071429] ; [11.91071429 11.08928571],0
d3,1,0.399598,0.709537,[101  44] ; [14  9],[99.25595238 45.74404762] ; [15.74404762  7.25595238],0
u1,1,0.429928,0.623018,[ 29 116] ; [ 3 20],[ 27.61904762 117.38095238] ; [ 4.38095238 18.61904762],0
a3,1,0.439133,0.598548,[110  35] ; [15  7],[108.53293413  36.46706587] ; [16.46706587  5.53293413],0
n4,1,0.458095,0.550546,[104  39] ; [15  8],[102.51204819  40.48795181] ; [16.48795181  6.51204819],0
r2,1,0.460619,0.544391,[135   7] ; [21  2],[134.25454545   7.74545455] ; [21.74545455  1.25454545],0
a6,1,0.478467,0.502354,[87 58] ; [12 11],[85.44642857 59.55357143] ; [13.55357143  9.44642857],0
v1,1,0.520746,0.412416,[74 69] ; [13  9],[75.4 67.6] ; [11.6 10.4],0
a7,1,0.570607,0.321668,[97 48] ; [14  9],[95.80357143 49.19642857] ; [15.19642857  7.80357143],0
p5,1,0.608971,0.261677,[ 18 127] ; [ 2 21],[ 17.26190476 127.73809524] ; [ 2.73809524 20.26190476],0
a4,1,0.624645,0.239393,[71 74] ; [10 13],[69.91071429 75.08928571] ; [11.08928571 11.91071429],0
b2,1,0.721706,0.126864,[36 59] ; [6 8],[36.60550459 58.39449541] ; [5.39449541 8.60550459],0
b3,1,0.721706,0.126864,[36 59] ; [6 8],[36.60550459 58.39449541] ; [5.39449541 8.60550459],0
n3,1,0.761538,0.092089,[25 12] ; [3 1],[25.26829268 11.73170732] ; [2.73170732 1.26829268],0
u2,1,0.839128,0.041213,[16 18] ; [3 4],[15.75609756 18.24390244] ; [3.24390244 3.75609756],0
p11,1,0.83978,0.040875,[110  35] ; [17  6],[109.61309524  35.38690476] ; [17.38690476  5.61309524],0
v2,1,0.861876,0.030271,[59 83] ; [10 13],[59.38181818 82.61818182] ; [ 9.61818182 13.38181818],0
s1,1,0.909442,0.012937,[  7 136] ; [ 1 22],[  6.89156627 136.10843373] ; [ 1.10843373 21.89156627],0
