Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,21.80227,[ 8 24] ; [61 23],[19.03448276 12.96551724] ; [49.96551724 34.03448276],1
p11,1,0.000193,13.893816,[15 18] ; [69 17],[23.29411765  9.70588235] ; [60.70588235 25.29411765],1
s3,1,0.000443,12.340256,[ 9 24] ; [52 30],[17.50434783 15.49565217] ; [43.49565217 38.50434783],1
p10,1,0.003306,8.630593,[19 13] ; [72 13],[24.88888889  7.11111111] ; [66.11111111 18.88888889],0
p9,1,0.003696,8.427646,[19 13] ; [71 13],[24.82758621  7.17241379] ; [65.17241379 18.82758621],0
r4,1,0.006163,7.501999,[24  9] ; [79  7],[28.56302521  4.43697479] ; [74.43697479 11.56302521],0
v4,1,0.008253,6.977776,[28  5] ; [83  2],[31.04237288  1.95762712] ; [79.95762712  5.04237288],0
p8,1,0.00867,6.889588,[ 9 24] ; [45 38],[15.36206897 17.63793103] ; [38.63793103 44.36206897],0
r3,1,0.008769,6.869236,[28  5] ; [82  2],[31.02564103  1.97435897] ; [78.97435897  5.02564103],0
p4,1,0.032159,4.589993,[10 21] ; [46 38],[15.09565217 15.90434783] ; [40.90434783 43.09565217],0
s2,1,0.035701,4.411318,[10 23] ; [44 41],[15.10169492 17.89830508] ; [38.89830508 46.10169492],0
p3,1,0.040743,4.186691,[10 23] ; [44 42],[14.97478992 18.02521008] ; [39.02521008 46.97478992],0
n3,1,0.062548,3.468497,[6 4] ; [17  2],[7.93103448 2.06896552] ; [15.06896552  3.93103448],0
p6,1,0.131014,2.280454,[ 6 27] ; [27 57],[ 9.30769231 23.69230769] ; [23.69230769 60.30769231],0
a1,1,0.145175,2.122234,[ 4 29] ; [ 4 82],[ 2.21848739 30.78151261] ; [ 5.78151261 80.21848739],0
s5,1,0.14934,2.078974,[ 7 26] ; [29 54],[10.24137931 22.75862069] ; [25.75862069 57.24137931],0
d3,1,0.164709,1.930449,[19 14] ; [61 25],[22.18487395 10.81512605] ; [57.81512605 28.18487395],0
n6,1,0.17903,1.805656,[25  8] ; [74 12],[27.45378151  5.54621849] ; [71.54621849 14.45378151],0
n2,1,0.235605,1.406699,[8 3] ; [17  2],[9.16666667 1.83333333] ; [15.83333333  3.16666667],0
n4,1,0.243647,1.35937,[24  9] ; [70 15],[26.28813559  6.71186441] ; [67.71186441 17.28813559],0
a6,1,0.279503,1.169503,[20 13] ; [61 25],[22.46218487 10.53781513] ; [58.53781513 27.46218487],0
s6,1,0.292336,1.108832,[18 15] ; [54 29],[20.48275862 12.51724138] ; [51.51724138 31.48275862],0
b5,1,0.310792,1.027308,[15 18] ; [48 38],[17.47058824 15.52941176] ; [45.52941176 40.47058824],0
v2,1,0.328251,0.955784,[20 11] ; [62 22],[22.10434783  8.89565217] ; [59.89565217 24.10434783],0
a7,1,0.344066,0.895223,[22 11] ; [64 21],[24.05084746  8.94915254] ; [61.94915254 23.05084746],0
s7,1,0.349484,0.875332,[12 18] ; [40 40],[14.18181818 15.81818182] ; [37.81818182 42.18181818],0
