Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,39.966697,[80 21] ; [ 2 20],[67.33333333 33.66666667] ; [14.66666667  7.33333333],1
v4,1,2.3e-05,17.937125,[87 14] ; [10 12],[79.6504065 21.3495935] ; [17.3495935  4.6504065],1
r3,1,5.2e-05,16.363955,[85 15] ; [10 12],[77.86885246 22.13114754] ; [17.13114754  4.86885246],1
r1,1,0.00013,14.641539,[75 26] ; [ 7 15],[67.33333333 33.66666667] ; [14.66666667  7.33333333],1
a5,1,0.004699,7.99197,[61 40] ; [ 6 16],[55.01626016 45.98373984] ; [11.98373984 10.01626016],0
d5,1,0.008806,6.861657,[71 30] ; [ 9 13],[65.69105691 35.30894309] ; [14.30894309  7.69105691],0
d2,1,0.031986,4.599222,[52 47] ; [ 6 16],[47.45454545 51.54545455] ; [10.54545455 11.45454545],0
d1,1,0.058925,3.567399,[45 56] ; [ 5 17],[41.05691057 59.94308943] ; [ 8.94308943 13.05691057],0
a6,1,0.064022,3.430008,[63 38] ; [ 9 13],[59.12195122 41.87804878] ; [12.87804878  9.12195122],0
u3,1,0.073411,3.205062,[23 22] ; [ 3 10],[20.17241379 24.82758621] ; [5.82758621 7.17241379],0
v3,1,0.080506,3.054656,[26 72] ; [ 2 20],[22.86666667 75.13333333] ; [ 5.13333333 16.86666667],0
d4,1,0.134049,2.244975,[71 29] ; [12 10],[68.03278689 31.96721311] ; [14.96721311  7.03278689],0
a8,1,0.139773,2.180451,[ 5 90] ; [ 3 18],[ 6.55172414 88.44827586] ; [ 1.44827586 19.55172414],0
d3,1,0.146003,2.113522,[54 47] ; [ 8 14],[50.91056911 50.08943089] ; [11.08943089 10.91056911],0
n4,1,0.169299,1.889143,[62 39] ; [10 12],[59.12195122 41.87804878] ; [12.87804878  9.12195122],0
a2,1,0.192862,1.695619,[15 86] ; [ 1 21],[13.13821138 87.86178862] ; [ 2.86178862 19.13821138],0
p12,1,0.23216,1.427578,[  1 100] ; [ 1 21],[ 1.64227642 99.35772358] ; [ 0.35772358 21.64227642],0
