Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.01928,5.475978,[ 1 14] ; [ 60 104],[5.11173184 9.88826816] ; [ 55.88826816 108.11173184],0
p3,1,0.040404,4.200854,[ 4 10] ; [94 71],[7.66480447 6.33519553] ; [90.33519553 74.66480447],0
p1,1,0.087721,2.915702,[ 3 12] ; [ 12 153],[ 1.25 13.75] ; [ 13.75 151.25],0
b1,1,0.270912,1.212121,[8 7] ; [ 64 101],[6. 9.] ; [66. 99.],0
p11,1,0.653539,0.201467,[10  5] ; [119  46],[10.75  4.25] ; [118.25  46.75],0
