Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.6e-05,17.678429,[97 20] ; [86 60],[81.41064639 35.58935361] ; [101.58935361  44.41064639],1
s7,1,0.000338,12.848734,[97 15] ; [94 46],[84.88888889 27.11111111] ; [106.11111111  33.88888889],1
s6,1,0.002534,9.115676,[109   9] ; [117  31],[100.2556391  17.7443609] ; [125.7443609  22.2556391],0
p10,1,0.005849,7.596162,[112   6] ; [123  23],[105.03787879  12.96212121] ; [129.96212121  16.03787879],0
p7,1,0.006655,7.363761,[91 24] ; [91 52],[81.12403101 33.87596899] ; [100.87596899  42.12403101],0
p6,1,0.008699,6.883564,[64 54] ; [56 91],[53.43396226 64.56603774] ; [66.56603774 80.43396226],0
a5,1,0.01102,6.462019,[104  15] ; [111  37],[95.82397004 23.17602996] ; [119.17602996  28.82397004],0
v1,1,0.012019,6.307995,[81 36] ; [76 65],[71.19767442 45.80232558] ; [85.80232558 55.19767442],0
s4,1,0.013388,6.117133,[29 89] ; [ 19 129],[21.29323308 96.70676692] ; [ 26.70676692 121.29323308],0
p5,1,0.015187,5.894693,[25 94] ; [ 15 131],[ 17.96226415 101.03773585] ; [ 22.03773585 123.96226415],0
n1,1,0.015993,5.803636,[16 14] ; [ 6 21],[11.57894737 18.42105263] ; [10.42105263 16.57894737],0
a3,1,0.028426,4.802024,[100  18] ; [109  39],[92.71428571 25.28571429] ; [116.28571429  31.71428571],0
p8,1,0.060343,3.527938,[75 43] ; [76 70],[67.49242424 50.50757576] ; [83.50757576 62.49242424],0
p11,1,0.070178,3.27885,[90 29] ; [125  23],[95.82397004 23.17602996] ; [119.17602996  28.82397004],0
s3,1,0.073693,3.19879,[90 26] ; [98 47],[83.55555556 32.44444444] ; [104.44444444  40.55555556],0
b4,1,0.076157,3.145073,[67 52] ; [99 49],[73.98501873 45.01498127] ; [92.01498127 55.98501873],0
p9,1,0.082492,3.015111,[113   6] ; [130  16],[109.12075472   9.87924528] ; [133.87924528  12.12075472],0
p1,1,0.1002,2.702364,[ 16 102] ; [ 11 137],[ 11.97744361 106.02255639] ; [ 15.02255639 132.97744361],0
v4,1,0.104558,2.634609,[117   1] ; [142   6],[114.89473684   3.10526316] ; [144.10526316   3.89473684],0
u1,1,0.118299,2.439701,[41 78] ; [ 38 110],[35.20973783 83.79026217] ; [ 43.79026217 104.20973783],0
p4,1,0.121104,2.402983,[87 31] ; [96 52],[81.18045113 36.81954887] ; [101.81954887  46.18045113],0
n5,1,0.149088,2.081562,[97 21] ; [110  37],[92.17358491 25.82641509] ; [114.82641509  32.17358491],0
v3,1,0.150688,2.065273,[58 57] ; [58 82],[52.31372549 62.68627451] ; [63.68627451 76.31372549],0
u4,1,0.170024,1.882734,[  2 117] ; [  7 141],[  4.01123596 114.98876404] ; [  4.98876404 143.01123596],0
v2,1,0.194225,1.685273,[79 37] ; [85 56],[74.0233463 41.9766537] ; [89.9766537 51.0233463],0
p12,1,0.223693,1.480519,[ 16 103] ; [ 13 135],[ 12.92509363 106.07490637] ; [ 16.07490637 131.92509363],0
b2,1,0.242967,1.363294,[32 42] ; [36 68],[28.26966292 45.73033708] ; [39.73033708 64.26966292],0
b3,1,0.242967,1.363294,[32 42] ; [36 68],[28.26966292 45.73033708] ; [39.73033708 64.26966292],0
n3,1,0.258822,1.275049,[23  7] ; [17 10],[21.05263158  8.94736842] ; [18.94736842  8.05263158],0
b1,1,0.300488,1.072027,[45 74] ; [ 47 101],[41.00374532 77.99625468] ; [50.99625468 97.00374532],0
a8,1,0.357571,0.846406,[16 89] ; [ 26 105],[18.68644068 86.31355932] ; [ 23.31355932 107.68644068],0
a2,1,0.371264,0.799428,[44 75] ; [ 47 101],[40.55805243 78.44194757] ; [50.44194757 97.55805243],0
r4,1,0.42296,0.642076,[115   4] ; [140   8],[113.65168539   5.34831461] ; [141.34831461   6.65168539],0
d5,1,0.426364,0.632708,[106  13] ; [127  21],[103.84644195  15.15355805] ; [129.15355805  18.84644195],0
p3,1,0.451791,0.566155,[69 50] ; [79 69],[65.96254682 53.03745318] ; [82.03745318 65.96254682],0
n6,1,0.456868,0.553556,[104  13] ; [127  21],[101.98867925  15.01132075] ; [129.01132075  18.98867925],0
d4,1,0.460999,0.543467,[105  14] ; [126  22],[102.95505618  16.04494382] ; [128.04494382  19.95505618],0
a6,1,0.491778,0.472633,[95 23] ; [114  34],[92.71428571 25.28571429] ; [116.28571429  31.71428571],0
d1,1,0.528619,0.397045,[87 32] ; [103  45],[84.68164794 34.31835206] ; [105.31835206  42.68164794],0
a4,1,0.536993,0.381141,[60 59] ; [69 79],[57.49438202 61.50561798] ; [71.50561798 76.49438202],0
u2,1,0.545531,0.365385,[12  7] ; [27 11],[13.  6.] ; [26. 12.],0
b5,1,0.558923,0.341573,[78 41] ; [102  46],[80.2247191 38.7752809] ; [99.7752809 48.2247191],0
n2,1,0.589882,0.290529,[23  7] ; [19  8],[22.10526316  7.89473684] ; [19.89473684  7.10526316],0
d3,1,0.71463,0.133697,[97 22] ; [118  30],[95.82397004 23.17602996] ; [119.17602996  28.82397004],0
s1,1,0.723713,0.124963,[  4 111] ; [  4 143],[  3.51145038 111.48854962] ; [  4.48854962 142.51145038],0
n4,1,0.748466,0.102825,[93 25] ; [119  29],[94.04511278 23.95488722] ; [117.95488722  30.04511278],0
r2,1,0.768971,0.086272,[114   4] ; [141   6],[113.54716981   4.45283019] ; [141.45283019   5.54716981],0
a1,1,0.836009,0.04285,[  5 114] ; [  7 141],[  5.34831461 113.65168539] ; [  6.65168539 141.34831461],0
d2,1,0.852974,0.034345,[67 52] ; [85 63],[67.74531835 51.25468165] ; [84.25468165 63.74531835],0
r1,1,0.944974,0.004764,[103  14] ; [129  18],[102.81818182  14.18181818] ; [129.18181818  17.81818182],0
p2,1,0.95477,0.003217,[104  15] ; [129  19],[103.84644195  15.15355805] ; [129.15355805  18.84644195],0
u3,1,0.956075,0.003034,[14  5] ; [29 10],[14.0862069  4.9137931] ; [28.9137931 10.0862069],0
r3,1,0.993884,5.9e-05,[115   4] ; [143   5],[114.98876404   4.01123596] ; [143.01123596   4.98876404],0
