Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,139.971323,[437  69] ; [40 75],[388.66666667 117.33333333] ; [88.33333333 26.66666667],1
n6,1,0.0,35.041846,[455  51] ; [79 36],[435.11111111  70.88888889] ; [98.88888889 16.11111111],1
s7,1,9.7e-05,15.195243,[273 210] ; [40 71],[254.51010101 228.48989899] ; [58.48989899 52.51010101],1
p6,1,0.000479,12.19749,[206 293] ; [27 87],[189.66884176 309.33115824] ; [43.33115824 70.66884176],1
r2,1,0.000749,11.3629,[499   4] ; [110   6],[494.87399031   8.12600969] ; [114.12600969   1.87399031],1
p11,1,0.000956,10.911294,[422  85] ; [81 35],[409.3434992  97.6565008] ; [93.6565008 22.3434992],1
p2,1,0.002014,9.536703,[439  66] ; [86 28],[428.31179321  76.68820679] ; [96.68820679 17.31179321],0
s4,1,0.002394,9.219562,[ 71 427] ; [30 86],[ 81.91856678 416.08143322] ; [19.08143322 96.91856678],0
r1,1,0.003157,8.714228,[458  48] ; [93 22],[448.96296296  57.03703704] ; [102.03703704  12.96296296],0
a8,1,0.004341,8.135449,[ 74 379] ; [  6 101],[ 64.71428571 388.28571429] ; [15.28571429 91.71428571],0
d2,1,0.004936,7.902589,[306 197] ; [54 62],[292.53634895 210.46365105] ; [67.46365105 48.53634895],0
p4,1,0.005021,7.872,[332 170] ; [60 55],[318.93679092 183.06320908] ; [73.06320908 41.93679092],0
v3,1,0.005305,7.772336,[221 265] ; [34 76],[207.93624161 278.06375839] ; [47.06375839 62.93624161],0
s8,1,0.012999,6.169225,[256 245] ; [44 71],[243.99350649 257.00649351] ; [56.00649351 58.99350649],0
u1,1,0.014884,5.930112,[128 379] ; [17 99],[118.00160514 388.99839486] ; [26.99839486 89.00160514],0
a4,1,0.016789,5.718319,[284 221] ; [51 65],[272.42351047 232.57648953] ; [62.57648953 53.42351047],0
p10,1,0.024477,5.060497,[431  71] ; [89 26],[423.07941653  78.92058347] ; [96.92058347 18.07941653],0
d1,1,0.031414,4.630221,[354 153] ; [69 47],[344.23916533 162.76083467] ; [78.76083467 37.23916533],0
p3,1,0.037152,4.343411,[282 222] ; [52 63],[271.94830372 232.05169628] ; [62.05169628 52.94830372],0
a2,1,0.037976,4.306116,[173 334] ; [28 88],[163.57463884 343.42536116] ; [37.42536116 78.57463884],0
d5,1,0.053791,3.719185,[439  65] ; [93 23],[432.46451613  71.53548387] ; [99.53548387 16.46451613],0
