Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,2.6e-05,17.70011,[53 19] ; [20 35],[41.38582677 30.61417323] ; [31.61417323 23.38582677],1
a4,1,0.000123,14.749327,[37 35] ; [10 45],[26.64566929 45.35433071] ; [20.35433071 34.64566929],1
d2,1,0.001944,9.601774,[35 37] ; [12 43],[26.64566929 45.35433071] ; [20.35433071 34.64566929],0
n4,1,0.002493,9.14574,[36 36] ; [13 42],[27.77952756 44.22047244] ; [21.22047244 33.77952756],0
u1,1,0.016558,5.742667,[10 62] ; [ 1 54],[ 6.23622047 65.76377953] ; [ 4.76377953 50.23622047],0
r1,1,0.021055,5.322219,[56 15] ; [33 22],[50.15079365 20.84920635] ; [38.84920635 16.15079365],0
d1,1,0.024411,5.065167,[42 30] ; [21 34],[35.71653543 36.28346457] ; [27.28346457 27.71653543],0
d4,1,0.034311,4.479125,[64  8] ; [41 14],[59.52755906 12.47244094] ; [45.47244094  9.52755906],0
b5,1,0.04441,4.040917,[37 35] ; [38 17],[42.51968504 29.48031496] ; [32.48031496 22.51968504],0
v2,1,0.051464,3.793115,[40 30] ; [20 31],[34.7107438 35.2892562] ; [25.2892562 25.7107438],0
r2,1,0.059395,3.554211,[65  5] ; [45 10],[61.6  8.4] ; [48.4  6.6],0
d5,1,0.059402,3.554016,[61 11] ; [39 16],[56.69291339 15.30708661] ; [43.30708661 11.69291339],0
a6,1,0.066805,3.359828,[47 25] ; [27 28],[41.95275591 30.04724409] ; [32.04724409 22.95275591],0
s2,1,0.066973,3.355698,[32 39] ; [16 39],[27.04761905 43.95238095] ; [20.95238095 34.04761905],0
v1,1,0.121264,2.400921,[33 37] ; [18 36],[28.79032258 41.20967742] ; [22.20967742 31.79032258],0
n3,1,0.143406,2.141021,[13 12] ; [14  5],[15.34090909  9.65909091] ; [11.65909091  7.34090909],0
p4,1,0.233383,1.420126,[24 48] ; [13 42],[20.97637795 51.02362205] ; [16.02362205 38.97637795],0
b4,1,0.23611,1.403668,[41 31] ; [37 18],[44.22047244 27.77952756] ; [33.77952756 21.22047244],0
v3,1,0.236749,1.39985,[21 46] ; [11 40],[18.16949153 48.83050847] ; [13.83050847 37.16949153],0
s7,1,0.244564,1.354093,[21 44] ; [12 41],[18.1779661 46.8220339] ; [14.8220339 38.1779661],0
s6,1,0.314701,1.010844,[38 33] ; [24 30],[35.216 35.784] ; [26.784 27.216],0
