Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,38.650419,[115  14] ; [44 42],[95.4 33.6] ; [63.6 22.4],1
d4,1,0.000171,14.122974,[96 32] ; [43 43],[83.14018692 44.85981308] ; [55.85981308 30.14018692],1
r2,1,0.000301,13.064391,[118  10] ; [63 22],[108.76995305  19.23004695] ; [72.23004695 12.76995305],1
s3,1,0.000377,12.641278,[72 54] ; [27 57],[59.4 66.6] ; [39.6 44.4],1
d5,1,0.000401,12.526349,[89 40] ; [38 47],[76.55607477 52.44392523] ; [50.44392523 34.55607477],1
u3,1,0.000474,12.213596,[42 25] ; [17 38],[32.40163934 34.59836066] ; [26.59836066 28.40163934],1
d1,1,0.00117,10.537515,[51 78] ; [16 70],[40.2 88.8] ; [26.8 59.2],0
s6,1,0.001536,10.035159,[72 56] ; [29 56],[60.69483568 67.30516432] ; [40.30516432 44.69483568],0
a7,1,0.001828,9.714387,[93 35] ; [44 41],[82.3286385 45.6713615] ; [54.6713615 30.3286385],0
v4,1,0.004703,7.990055,[118  10] ; [67 18],[111.17370892  16.82629108] ; [73.82629108 11.17370892],0
r3,1,0.005292,7.776853,[117  11] ; [67 19],[110.05607477  17.94392523] ; [73.94392523 12.05607477],0
s2,1,0.006035,7.539705,[53 75] ; [20 66],[43.6635514 84.3364486] ; [29.3364486 56.6635514],0
s7,1,0.014278,6.003425,[41 81] ; [15 68],[33.32682927 88.67317073] ; [22.67317073 60.32682927],0
a6,1,0.019336,5.470833,[72 57] ; [34 52],[63.6 65.4] ; [42.4 43.6],0
d3,1,0.02529,5.003915,[77 52] ; [37 47],[69.04225352 59.95774648] ; [44.95774648 39.04225352],0
s8,1,0.042354,4.120994,[40 89] ; [16 70],[33.6 95.4] ; [22.4 63.6],0
u2,1,0.049317,3.864544,[40 26] ; [23 31],[34.65 31.35] ; [28.35 25.65],0
v2,1,0.050891,3.811843,[57 61] ; [29 55],[50.23762376 67.76237624] ; [35.76237624 48.23762376],0
a1,1,0.064697,3.412698,[  1 128] ; [ 4 82],[  3. 126.] ; [ 2. 84.],0
a3,1,0.083171,3.001812,[61 66] ; [31 55],[54.85446009 72.14553991] ; [37.14553991 48.85446009],0
p12,1,0.08649,2.93852,[  2 126] ; [ 5 81],[  4.18691589 123.81308411] ; [ 2.81308411 83.18691589],0
p10,1,0.177546,1.818048,[85 41] ; [49 35],[80.4 45.6] ; [53.6 30.4],0
v1,1,0.207381,1.589619,[51 73] ; [28 58],[46.64761905 77.35238095] ; [32.35238095 53.64761905],0
s4,1,0.246408,1.343555,[ 15 112] ; [15 71],[ 17.88732394 109.11267606] ; [12.11267606 73.88732394],0
p11,1,0.263952,1.24791,[89 40] ; [53 33],[85.2 43.8] ; [56.8 29.2],0
p4,1,0.268207,1.225892,[55 71] ; [31 55],[51.11320755 74.88679245] ; [34.88679245 51.11320755],0
p7,1,0.273098,1.201117,[71 52] ; [42 42],[67.14492754 55.85507246] ; [45.85507246 38.14492754],0
a4,1,0.309676,1.032057,[ 23 105] ; [11 75],[ 20.3364486 107.6635514] ; [13.6635514 72.3364486],0
s1,1,0.360682,0.835516,[  6 120] ; [ 2 84],[  4.75471698 121.24528302] ; [ 3.24528302 82.75471698],0
n6,1,0.3985,0.712849,[96 32] ; [60 26],[93.30841121 34.69158879] ; [62.69158879 23.30841121],0
n2,1,0.444382,0.584941,[22 11] ; [16 12],[20.55737705 12.44262295] ; [17.44262295 10.55737705],0
u1,1,0.536477,0.382109,[  3 126] ; [ 1 85],[  2.4 126.6] ; [ 1.6 84.4],0
p1,1,0.584754,0.298611,[  8 121] ; [ 7 79],[  9. 120.] ; [ 6. 80.],0
n5,1,0.615386,0.252406,[84 43] ; [54 32],[82.28169014 44.71830986] ; [55.71830986 30.28169014],0
p5,1,0.618185,0.248427,[  8 120] ; [ 4 82],[  7.17757009 120.82242991] ; [ 4.82242991 81.17757009],0
b5,1,0.644075,0.213452,[80 49] ; [56 30],[81.6 47.4] ; [54.4 31.6],0
b4,1,0.65212,0.203238,[76 53] ; [48 38],[74.4 54.6] ; [49.6 36.4],0
b1,1,0.686023,0.163425,[46 83] ; [33 53],[47.4 81.6] ; [31.6 54.4],0
b3,1,0.687052,0.162295,[16 48] ; [15 38],[16.95726496 47.04273504] ; [14.04273504 38.95726496],0
b2,1,0.687052,0.162295,[16 48] ; [15 38],[16.95726496 47.04273504] ; [14.04273504 38.95726496],0
p3,1,0.719417,0.129052,[42 87] ; [26 60],[40.8 88.2] ; [27.2 58.8],0
a8,1,0.746851,0.104196,[ 12 108] ; [ 7 74],[ 11.34328358 108.65671642] ; [ 7.65671642 73.34328358],0
v3,1,0.777279,0.080014,[38 85] ; [25 61],[37.07655502 85.92344498] ; [25.92344498 60.07655502],0
n3,1,0.794159,0.068076,[22 12] ; [19  9],[22.48387097 11.51612903] ; [18.51612903  9.48387097],0
p2,1,0.806699,0.059872,[92 37] ; [60 26],[91.2 37.8] ; [60.8 25.2],0
p9,1,0.809693,0.057995,[86 40] ; [56 28],[85.2 40.8] ; [56.8 27.2],0
n1,1,0.816434,0.053886,[10 24] ; [ 9 19],[10.41935484 23.58064516] ; [ 8.58064516 19.41935484],0
d2,1,0.891991,0.018438,[ 28 101] ; [18 68],[ 27.6 101.4] ; [18.4 67.6],0
n4,1,0.900588,0.015605,[77 51] ; [51 35],[76.56074766 51.43925234] ; [51.43925234 34.56074766],0
p6,1,0.949487,0.004013,[34 92] ; [23 61],[34.2 91.8] ; [22.8 61.2],0
p8,1,0.980735,0.000583,[50 77] ; [34 52],[50.08450704 76.91549296] ; [33.91549296 52.08450704],0
